n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;8;8;measure;scatter;0.00460257;0.00210445;0.00248033;6.3058e-05;4.2059e-05;0.000260528;0.000115496;6.5543e-05;7.6242e-05;0.00176129;9.612e-05;
48;8;8;measure;scatter;0.00316779;0.00162484;0.00151696;6.8398e-05;4.2319e-05;0.000766184;0.00010115;5.9872e-05;6.2517e-05;0.00032611;9.041e-05;
48;8;8;measure;scatter;0.00306431;0.00152181;0.0015313;7.8698e-05;4.31e-05;0.000790981;8.9057e-05;4.84e-05;4.0606e-05;0.000333044;0.000107411;
48;8;8;measure;scatter;0.00305569;0.00159449;0.00143165;6.6034e-05;3.3833e-05;0.000704138;9.5579e-05;5.2639e-05;3.8251e-05;0.000343934;9.7242e-05;
48;8;8;measure;scatter;0.00308238;0.00164945;0.00140149;6.2928e-05;4.3812e-05;0.000636281;0.00010713;6.906e-05;4.801e-05;0.000329216;0.000105057;
48;8;8;measure;scatter;0.00292679;0.00156432;0.00135107;5.9752e-05;3.192e-05;0.000679662;8.0891e-05;4.5836e-05;4.8451e-05;0.000328845;7.5712e-05;
48;8;8;measure;scatter;0.00314107;0.00151566;0.00159383;4.0566e-05;3.3212e-05;0.000853448;0.00013357;6.0854e-05;4.7088e-05;0.000316703;0.000108393;
48;8;8;measure;scatter;0.00280836;0.00158613;0.00120698;3.9243e-05;3.6318e-05;0.000567463;0.000105768;5.7688e-05;5.6996e-05;0.000246191;9.7312e-05;
48;8;8;measure;scatter;0.00274957;0.00154633;0.00119072;5.9441e-05;3.3773e-05;0.00056602;8.3676e-05;5.7087e-05;4.0536e-05;0.000255749;9.4437e-05;
48;8;8;measure;scatter;0.00310139;0.00139211;0.00169267;5.3711e-05;3.764e-05;0.000922908;8.4328e-05;5.2568e-05;4.238e-05;0.000392344;0.00010679;
48;8;8;measure;scatter;0.00291745;0.00140735;0.00148548;5.2308e-05;4.3993e-05;0.000786011;0.000104395;5.2228e-05;4.3051e-05;0.000294732;0.000108763;
48;8;8;measure;scatter;0.00289806;0.00174815;0.00114218;5.7037e-05;3.7229e-05;0.000490699;8.9969e-05;4.5184e-05;3.2401e-05;0.000306504;8.31551e-05;
48;8;8;measure;scatter;0.00290248;0.00150176;0.00138809;7.0162e-05;7.2275e-05;0.000648203;0.000128611;7.6022e-05;5.857e-05;0.000226424;0.000107822;
48;8;8;measure;scatter;0.00352602;0.00130254;0.00220646;6.8579e-05;3.8852e-05;0.00143053;9.2934e-05;5.6356e-05;4.4032e-05;0.000382747;9.2433e-05;
48;8;8;measure;scatter;0.00305471;0.00138873;0.00165123;6.2026e-05;4.9032e-05;0.000930752;0.000102332;5.6305e-05;5.4252e-05;0.00032086;7.5672e-05;
48;8;8;measure;scatter;0.00296236;0.00154265;0.00141007;5.875e-05;3.8021e-05;0.000630059;9.2534e-05;5.4021e-05;5.2628e-05;0.000361277;0.000122779;
48;8;8;measure;scatter;0.00290732;0.00135172;0.00153653;5.6646e-05;3.7971e-05;0.000914422;9.3345e-05;5.7397e-05;3.5517e-05;0.000245049;9.618e-05;
48;8;8;measure;scatter;0.00286113;0.00137124;0.00146586;4.273e-05;3.7571e-05;0.000785039;8.5069e-05;4.8631e-05;5.0375e-05;0.00033133;8.5119e-05;
48;8;8;measure;scatter;0.00276227;0.00155237;0.00119402;6.2848e-05;3.0537e-05;0.000489056;9.6861e-05;7.448e-05;5.1726e-05;0.000302457;8.6051e-05;
48;8;8;measure;scatter;0.00297618;0.00154355;0.00141487;6.6384e-05;3.722e-05;0.000597408;0.000103434;6.2757e-05;5.0535e-05;0.000393336;0.000103794;
48;8;8;measure;scatter;0.00295994;0.00160013;0.00133616;4.6668e-05;4.6056e-05;0.000612627;0.000114364;5.338e-05;4.9112e-05;0.000332763;8.1192e-05;
48;8;8;measure;scatter;0.0029708;0.00153187;0.00141931;5.368e-05;4.4253e-05;0.000656449;8.8686e-05;4.796e-05;4.6216e-05;0.000382056;0.000100007;
48;8;8;measure;scatter;0.00281611;0.00151346;0.00127683;5.7007e-05;3.183e-05;0.000574525;0.000101901;6.1976e-05;4.3471e-05;0.000313547;9.2573e-05;
48;8;8;measure;scatter;0.00284481;0.00199557;0.000830966;0.000103604;4.9072e-05;0.0001072;8.2795e-05;4.9403e-05;3.4444e-05;0.000320841;8.3607e-05;
48;8;8;measure;scatter;0.00287022;0.00153745;0.00131074;4.9192e-05;4.0726e-05;0.000649185;8.1253e-05;3.3392e-05;4.0356e-05;0.000327052;8.9588e-05;
48;8;8;measure;scatter;0.00280947;0.00153633;0.00126369;6.25669e-05;4.2931e-05;0.000623687;9.9186e-05;6.0674e-05;5.1025e-05;0.000232275;9.1341e-05;
48;8;8;measure;scatter;0.00285456;0.00150538;0.00132896;6.4631e-05;3.5657e-05;0.000626493;9.0529e-05;3.2942e-05;5.3149e-05;0.000327874;9.7683e-05;
