n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;8;8;measure;scatter;0.056046;0.0200057;0.0360261;6.8088e-05;3.4054e-05;0.0248718;9.1461e-05;2.9666e-05;3.3333e-05;0.0108296;6.8068e-05;
48;8;8;measure;scatter;0.0519847;0.0100144;0.0419638;9.6741e-05;6.5363e-05;0.0307742;0.000110397;3.0788e-05;2.9686e-05;0.0108011;5.5535e-05;
48;8;8;measure;scatter;0.0580268;0.0079827;0.0500372;4.5766e-05;3.8813e-05;0.0388956;7.6583e-05;2.9616e-05;4.1999e-05;0.0108487;6.0033e-05;
48;8;8;measure;scatter;0.0620521;0.00900505;0.0530405;4.9563e-05;3.6959e-05;0.0368795;7.3207e-05;2.5949e-05;3.0307e-05;0.0158803;6.4641e-05;
48;8;8;measure;scatter;0.0569906;0.00599315;0.0509883;5.5554e-05;3.7691e-05;0.0398441;6.938e-05;2.9986e-05;2.5698e-05;0.0108679;5.7849e-05;
48;8;8;measure;scatter;0.05702;0.0120284;0.0449793;4.9283e-05;3.1218e-05;0.0328479;7.9088e-05;3.1489e-05;3.4154e-05;0.0118535;5.2608e-05;
48;8;8;measure;scatter;0.0560021;0.0110094;0.0449838;5.9833e-05;3.1789e-05;0.0338202;9.046e-05;3.0327e-05;2.112e-05;0.010873;5.7137e-05;
48;8;8;measure;scatter;0.0600188;0.00602149;0.0539885;4.9302e-05;3.5497e-05;0.0428505;7.5e-05;2.6069e-05;2.627e-05;0.0108633;6.2607e-05;
48;8;8;measure;scatter;0.0450317;0.00941748;0.0356048;5.7227e-05;2.9225e-05;0.0254755;8.6442e-05;2.9435e-05;2.8013e-05;0.00983321;6.5793e-05;
48;8;8;measure;scatter;0.0550497;0.0110149;0.044026;4.6557e-05;2.6159e-05;0.032907;7.1134e-05;2.9545e-05;2.7642e-05;0.0108608;5.7067e-05;
48;8;8;measure;scatter;0.0549841;0.0109554;0.0440197;4.9433e-05;3.3954e-05;0.0328714;6.5032e-05;2.8534e-05;2.5638e-05;0.0108872;5.858e-05;
48;8;8;measure;scatter;0.073026;0.0180357;0.0549831;5.2048e-05;3.1359e-05;0.0348483;7.9139e-05;3.5497e-05;2.3584e-05;0.0198648;4.837e-05;
48;8;8;measure;scatter;0.0500482;0.0109749;0.0390649;5.5865e-05;4.8611e-05;0.0218627;8.4619e-05;2.9746e-05;2.8403e-05;0.0168731;8.1934e-05;
48;8;8;measure;scatter;0.0600213;0.0190405;0.0409719;5.9121e-05;3.6108e-05;0.0298269;8.3787e-05;2.4706e-05;2.6981e-05;0.0108639;5.0284e-05;
48;8;8;measure;scatter;0.0569989;0.0137584;0.0432313;4.2479e-05;2.7322e-05;0.0321146;8.9488e-05;3.1869e-05;2.5258e-05;0.0108453;5.4893e-05;
48;8;8;measure;scatter;0.0560319;0.015008;0.0410132;4.254e-05;2.5077e-05;0.0219201;7.7866e-05;3.2832e-05;4.3692e-05;0.0188101;6.1045e-05;
48;8;8;measure;scatter;0.054931;0.0109056;0.0440154;4.8431e-05;3.4595e-05;0.0328534;7.8046e-05;3.0708e-05;2.655e-05;0.0108679;7.5773e-05;
48;8;8;measure;scatter;0.0580196;0.00697181;0.051039;5.6095e-05;3.4215e-05;0.0398894;7.2777e-05;3.21e-05;4.3963e-05;0.0108298;8.0681e-05;
48;8;8;measure;scatter;0.0499938;0.0280331;0.0219543;5.0454e-05;3.2411e-05;0.00483221;6.7968e-05;2.3444e-05;2.5377e-05;0.0168692;5.329e-05;
48;8;8;measure;scatter;0.0550214;0.0129519;0.0420599;4.3952e-05;2.9356e-05;0.0309198;7.0563e-05;3.3232e-05;2.644e-05;0.0108656;7.0993e-05;
48;8;8;measure;scatter;0.0730413;0.0199948;0.0530401;4.7559e-05;3.702e-05;0.0328936;9.042e-05;3.195e-05;3.4054e-05;0.0198511;5.4332e-05;
48;8;8;measure;scatter;0.0600064;0.0109879;0.04901;4.6668e-05;3.5707e-05;0.0348608;7.5842e-05;2.4837e-05;2.676e-05;0.0138773;6.2137e-05;
48;8;8;measure;scatter;0.051044;0.00617892;0.0448564;4.1918e-05;3.8272e-05;0.0337171;6.0724e-05;3.4525e-05;2.5307e-05;0.0108639;7.459e-05;
48;8;8;measure;scatter;0.0540642;0.0140083;0.0400505;4.5305e-05;2.9926e-05;0.032913;7.1424e-05;2.1721e-05;2.5518e-05;0.00688047;6.3129e-05;
48;8;8;measure;scatter;0.0540528;0.00904082;0.0450084;4.3181e-05;2.6801e-05;0.0328666;8.2034e-05;2.8493e-05;3.5106e-05;0.0118626;6.35789e-05;
48;8;8;measure;scatter;0.0549845;0.0119466;0.04303;5.5695e-05;4.3902e-05;0.0318846;0.000119784;4.1609e-05;4.1007e-05;0.0107785;6.4862e-05;
48;8;8;measure;scatter;0.0540349;0.0130097;0.0410188;6.6785e-05;3.4425e-05;0.0278599;0.00011214;5.1848e-05;5.1025e-05;0.0128006;4.2039e-05;
48;8;8;measure;scatter;0.0630462;0.0190473;0.0439879;5.2789e-05;4.4484e-05;0.0318343;9.6441e-05;2.9946e-05;2.8513e-05;0.0118492;5.2198e-05;
48;8;8;measure;scatter;0.0551119;0.0109923;0.0441108;5.9011e-05;4.829e-05;0.0339048;9.6772e-05;3.7059e-05;3.39641e-05;0.00984518;8.5731e-05;
48;8;8;measure;scatter;0.0650853;0.0130321;0.0520477;6.5803e-05;4.0446e-05;0.0328755;0.000101391;3.2912e-05;3.8101e-05;0.0188048;8.8766e-05;
48;8;8;measure;scatter;0.0590123;0.0109889;0.0480122;5.7518e-05;2.8142e-05;0.040874;9.8174e-05;5.8871e-05;3.9614e-05;0.00680014;5.5705e-05;
48;8;8;measure;scatter;0.0740556;0.0200061;0.0540399;4.5405e-05;4.1017e-05;0.0438812;8.1663e-05;2.67e-05;2.3564e-05;0.00986126;7.9158e-05;
48;8;8;measure;scatter;0.0550437;0.0109831;0.0440488;4.771e-05;2.9596e-05;0.0329047;8.0351e-05;2.8203e-05;1.8174e-05;0.010864;7.6042e-05;
48;8;8;measure;scatter;0.0479985;0.0119786;0.0360143;5.305e-05;3.0096e-05;0.0219064;7.4049e-05;3.5506e-05;2.8534e-05;0.0138388;4.791e-05;
48;8;8;measure;scatter;0.0750499;0.010015;0.0650256;5.2528e-05;3.2131e-05;0.0538717;7.3328e-05;3.201e-05;2.7281e-05;0.0108754;6.1164e-05;
