n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
40;128;128;measure;scatter;0.127001;0.101771;0.025219;7.03221e-05;5.0551e-05;0.0244589;7.54471e-05;6.29709e-05;5.04691e-05;0.000378501;7.1788e-05;
40;128;128;measure;scatter;0.0640788;0.0624513;0.00162386;5.725e-05;5.0989e-05;0.00085214;6.6292e-05;8.71671e-05;4.15498e-05;0.00039765;7.0822e-05;
40;128;128;measure;scatter;0.0639228;0.0624668;0.00144893;6.0112e-05;4.9436e-05;0.000704106;5.4267e-05;8.6657e-05;3.85488e-05;0.000388779;6.70201e-05;
40;128;128;measure;scatter;0.0638262;0.0624336;0.00138821;5.26679e-05;4.70171e-05;0.000595104;6.26179e-05;5.59841e-05;4.35349e-05;0.000467163;6.41211e-05;
40;128;128;measure;scatter;0.0640532;0.0624431;0.00160548;5.39669e-05;4.47971e-05;0.000864283;6.15669e-05;6.45551e-05;4.70269e-05;0.00040437;6.49111e-05;
40;128;128;measure;scatter;0.0638845;0.0626632;0.00120959;5.798e-05;5.94361e-05;0.000442295;5.9888e-05;7.18222e-05;3.98729e-05;0.000410675;6.76252e-05;
40;128;128;measure;scatter;0.0640676;0.0624932;0.00157124;5.0358e-05;4.82141e-05;0.000821408;5.81171e-05;6.50899e-05;4.5344e-05;0.000387191;9.55199e-05;
40;128;128;measure;scatter;0.0636788;0.0626389;0.00103558;5.58351e-05;5.42379e-05;0.000237989;8.98552e-05;6.17038e-05;3.27441e-05;0.000433946;6.9269e-05;
40;128;128;measure;scatter;0.0640651;0.062755;0.00130471;5.79709e-05;5.6155e-05;0.000531274;5.9118e-05;6.39418e-05;4.3151e-05;0.000430315;6.278e-05;
40;128;128;measure;scatter;0.0640785;0.0624813;0.00159305;5.91332e-05;5.93499e-05;0.000836394;6.2977e-05;9.5492e-05;3.9615e-05;0.00036128;7.8812e-05;
40;128;128;measure;scatter;0.0638155;0.062306;0.00150508;5.6769e-05;5.55918e-05;0.000765193;8.6054e-05;6.44911e-05;3.6689e-05;0.00037711;6.31812e-05;
40;128;128;measure;scatter;0.0639511;0.0624931;0.00145364;6.0732e-05;5.35508e-05;0.000690905;6.08929e-05;6.40431e-05;4.28979e-05;0.000404033;7.65868e-05;
