n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
40;128;128;measure;scatter;0.129624;0.127485;0.00213415;7.10809e-05;4.96651e-05;0.000257118;6.3929e-05;7.6737e-05;5.5264e-05;0.0014884;7.1961e-05;
40;128;128;measure;scatter;0.0672725;0.0647592;0.00250823;8.83779e-05;8.0836e-05;0.00019271;0.000121349;0.00011412;7.3004e-05;0.00174878;8.9058e-05;
40;128;128;measure;scatter;0.0657842;0.0624377;0.00334238;7.26099e-05;5.53101e-05;0.00118526;7.9795e-05;8.6433e-05;4.66141e-05;0.00175534;6.1023e-05;
40;128;128;measure;scatter;0.0655891;0.0625813;0.00300375;7.00301e-05;3.7306e-05;0.000908277;0.000127095;8.92091e-05;3.8312e-05;0.00164359;8.9929e-05;
40;128;128;measure;scatter;0.0657498;0.0624265;0.00331913;6.33299e-05;5.42121e-05;0.0011515;9.9868e-05;7.60199e-05;6.06941e-05;0.0017502;6.3302e-05;
40;128;128;measure;scatter;0.0666151;0.0642952;0.00231088;0.000115932;5.7379e-05;0.000230357;0.000134571;7.84439e-05;8.11261e-05;0.00148283;0.000130249;
40;128;128;measure;scatter;0.0655088;0.062637;0.00286734;7.99401e-05;5.2995e-05;0.00073639;0.000124902;7.3012e-05;3.87521e-05;0.00170075;6.05921e-05;
40;128;128;measure;scatter;0.0658082;0.0625246;0.00327892;8.0514e-05;5.04591e-05;0.00111829;7.1825e-05;6.08161e-05;4.66849e-05;0.0017596;9.07301e-05;
40;128;128;measure;scatter;0.066437;0.0642073;0.00221959;9.90669e-05;6.69342e-05;0.000130431;0.000108483;9.5275e-05;3.7933e-05;0.00161124;7.0225e-05;
40;128;128;measure;scatter;0.0667498;0.0626306;0.00411319;6.1529e-05;6.91789e-05;0.00228337;6.91849e-05;6.32161e-05;4.6222e-05;0.00145666;6.3838e-05;
40;128;128;measure;scatter;0.0655084;0.0625052;0.00299865;6.0092e-05;5.33941e-05;0.000998021;8.51802e-05;0.000105856;4.12529e-05;0.00159138;6.3475e-05;
40;128;128;measure;scatter;0.0657739;0.062424;0.0033458;7.62669e-05;4.13521e-05;0.00125759;8.33131e-05;8.8824e-05;5.2555e-05;0.00167806;6.78331e-05;
