n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
40;128;128;measure;scatter;0.359112;0.121023;0.238083;5.87439e-05;7.43452e-05;9.56829e-05;6.14941e-05;6.34289e-05;4.1977e-05;0.237611;7.61759e-05;
40;128;128;measure;scatter;0.111072;0.0739889;0.0370684;8.62172e-05;5.21909e-05;0.0258111;5.6054e-05;7.31531e-05;4.35589e-05;0.0108777;6.8363e-05;
40;128;128;measure;scatter;0.0990873;0.073969;0.0251134;6.80909e-05;4.9371e-05;0.0228665;6.42871e-05;4.89941e-05;3.6025e-05;0.0019026;7.75671e-05;
40;128;128;measure;scatter;0.233092;0.064924;0.168161;6.9866e-05;4.88751e-05;0.165881;6.6166e-05;9.7302e-05;4.8114e-05;0.00187333;7.66369e-05;
40;128;128;measure;scatter;0.20303;0.0688361;0.134189;6.59488e-05;4.8683e-05;0.0818723;5.40381e-05;6.25518e-05;5.22982e-05;0.0519519;8.123e-05;
40;128;128;measure;scatter;0.11007;0.0639216;0.0461425;5.87332e-05;3.9666e-05;0.0309227;6.56641e-05;5.4009e-05;3.7642e-05;0.0149066;5.74971e-05;
40;128;128;measure;scatter;0.146098;0.0739207;0.0721727;6.31111e-05;4.5696e-05;0.0569179;5.3287e-05;7.0686e-05;4.34162e-05;0.0149073;7.1296e-05;
40;128;128;measure;scatter;0.132961;0.111021;0.0219347;6.2455e-05;4.88511e-05;7.90539e-05;0.000101447;4.73892e-05;4.21088e-05;0.0214784;7.49261e-05;
40;128;128;measure;scatter;0.194108;0.074996;0.119097;6.18631e-05;4.14969e-05;0.108842;8.37492e-05;5.41038e-05;4.39272e-05;0.00989779;7.1621e-05;
40;128;128;measure;scatter;0.119952;0.108034;0.0119018;7.1439e-05;6.4783e-05;5.31471e-05;6.2491e-05;6.29351e-05;4.131e-05;0.0114681;7.76101e-05;
40;128;128;measure;scatter;0.144175;0.0629085;0.0812527;6.16862e-05;4.97359e-05;0.0589201;7.4435e-05;5.9752e-05;3.5485e-05;0.0219818;6.97272e-05;
40;128;128;measure;scatter;0.110127;0.0759797;0.0341425;6.31891e-05;3.68059e-05;0.0218573;7.86281e-05;6.4736e-05;3.8299e-05;0.0119281;7.54381e-05;
40;128;128;measure;scatter;0.114108;0.0628958;0.0512081;7.3829e-05;5.68989e-05;0.0388528;5.8135e-05;5.1057e-05;4.40942e-05;0.0119777;9.3638e-05;
40;128;128;measure;scatter;0.101046;0.0628983;0.0381421;5.87371e-05;5.99381e-05;0.0269488;7.9381e-05;4.9707e-05;4.0042e-05;0.010841;6.4509e-05;
40;128;128;measure;scatter;0.0961215;0.06294;0.0331755;6.15909e-05;4.7425e-05;0.021898;6.3295e-05;7.4358e-05;3.4991e-05;0.0109258;7.00939e-05;
40;128;128;measure;scatter;0.115008;0.0781113;0.0368907;5.96959e-05;4.653e-05;0.0226866;7.7894e-05;5.56849e-05;4.96251e-05;0.0138251;8.9525e-05;
40;128;128;measure;scatter;0.10014;0.0629198;0.0372151;6.91169e-05;5.19189e-05;0.0219702;6.19241e-05;4.28448e-05;4.7412e-05;0.0148964;7.5256e-05;
40;128;128;measure;scatter;0.105008;0.0639331;0.0410647;5.5755e-05;4.60718e-05;0.0259554;5.92861e-05;8.32209e-05;4.61591e-05;0.0147498;6.9008e-05;
40;128;128;measure;scatter;0.214979;0.07391;0.141063;6.1604e-05;5.42821e-05;0.118932;6.05921e-05;9.10419e-05;3.816e-05;0.021741;8.4409e-05;
