n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;16384;16384;measure;all_to_all;2.43313;1.4795;0.953604;0.0483911;0.0560431;0.300994;0.058663;0.0802971;0.0553663;0.300134;0.0537156;
48;16384;16384;measure;all_to_all;2.53687;1.49715;1.03971;0.0497577;0.0558313;0.301966;0.0591937;0.0819158;0.0553264;0.390717;0.0449989;
48;16384;16384;measure;all_to_all;2.46742;1.54245;0.924946;0.0485377;0.055819;0.303685;0.0602886;0.0425931;0.0554791;0.304206;0.0543381;
48;16384;16384;measure;all_to_all;2.40806;1.47985;0.928189;0.0486166;0.0557874;0.302705;0.0603424;0.0477712;0.0556345;0.303954;0.0533778;
48;16384;16384;measure;all_to_all;2.41073;1.48404;0.926678;0.0494148;0.0560005;0.305081;0.059801;0.0431555;0.0558294;0.304267;0.0531285;
48;16384;16384;measure;all_to_all;2.56608;1.46632;1.09975;0.0506163;0.0567242;0.405386;0.0423072;0.0470672;0.0557403;0.399889;0.0420159;
48;16384;16384;measure;all_to_all;2.4163;1.48488;0.931397;0.0501029;0.0560659;0.303354;0.0580774;0.0479946;0.0556864;0.305947;0.0541694;
48;16384;16384;measure;all_to_all;2.40419;1.48319;0.920978;0.0491829;0.0556175;0.299334;0.0583912;0.0475725;0.0556313;0.301579;0.0536693;
48;16384;16384;measure;all_to_all;2.434;1.47914;0.954846;0.0486711;0.0558136;0.3029;0.0580111;0.0800525;0.0554692;0.299818;0.0541109;
48;16384;16384;measure;all_to_all;2.42915;1.47836;0.950765;0.0492347;0.0556231;0.301161;0.0576625;0.0815964;0.055237;0.298057;0.0521926;
48;16384;16384;measure;all_to_all;2.39032;1.4811;0.909207;0.0484078;0.0559072;0.298508;0.0574966;0.0421901;0.0556905;0.300031;0.0509759;
48;16384;16384;measure;all_to_all;2.52932;1.48734;1.04196;0.048886;0.0557346;0.39814;0.041851;0.0802939;0.0560126;0.304054;0.0569838;
48;16384;16384;measure;all_to_all;2.46614;1.54146;0.924657;0.0492673;0.0557266;0.303435;0.0577534;0.0485029;0.0556145;0.300503;0.0538546;
48;16384;16384;measure;all_to_all;2.51167;1.47382;1.03783;0.0488262;0.0558843;0.39215;0.0417554;0.0827611;0.0563339;0.304605;0.055516;
48;16384;16384;measure;all_to_all;2.46104;1.53663;0.924393;0.0496559;0.0555456;0.30238;0.0596716;0.0482006;0.0556265;0.3004;0.052912;
48;16384;16384;measure;all_to_all;2.48377;1.47885;1.0049;0.0484164;0.0557887;0.29902;0.0571355;0.0495347;0.0555654;0.390098;0.0493421;
48;16384;16384;measure;all_to_all;2.43978;1.47694;0.962821;0.0491951;0.0561166;0.305083;0.05942;0.0849782;0.0557482;0.30049;0.0517898;
48;16384;16384;measure;all_to_all;2.40094;1.4795;0.921429;0.0488566;0.0557363;0.300172;0.0574831;0.0509282;0.0558386;0.298422;0.0539915;
48;16384;16384;measure;all_to_all;2.44782;1.48394;0.963859;0.0491125;0.0558197;0.304537;0.0586103;0.0840182;0.0556676;0.30173;0.054364;
48;16384;16384;measure;all_to_all;2.39602;1.47941;0.916588;0.0492473;0.0556858;0.300545;0.0575168;0.0484437;0.0555647;0.2992;0.0503853;
48;16384;16384;measure;all_to_all;2.43368;1.47505;0.958608;0.0485759;0.0558488;0.303327;0.0577532;0.0835692;0.0555271;0.302655;0.0513515;
48;16384;16384;measure;all_to_all;2.44749;1.48788;0.959598;0.0493706;0.0557396;0.302233;0.05784;0.0816515;0.0557093;0.305163;0.0518905;
48;16384;16384;measure;all_to_all;2.39696;1.47869;0.918252;0.0491076;0.0559431;0.298723;0.0592284;0.0459777;0.0555521;0.299946;0.0537739;
48;16384;16384;measure;all_to_all;2.43948;1.47889;0.960562;0.0485366;0.0557872;0.301762;0.0586175;0.085833;0.0555483;0.302246;0.0522315;
48;16384;16384;measure;all_to_all;2.43146;1.472;0.959447;0.0494908;0.0559399;0.301077;0.058333;0.0807684;0.0558055;0.305036;0.052997;
48;16384;16384;measure;all_to_all;2.40203;1.48138;0.920632;0.049534;0.0558872;0.299094;0.0584018;0.048354;0.0560648;0.299432;0.0538641;
48;16384;16384;measure;all_to_all;2.51859;1.47942;1.03914;0.049295;0.0557321;0.299411;0.0600221;0.0829665;0.0555289;0.390988;0.0452006;
48;16384;16384;measure;all_to_all;2.45267;1.53142;0.921236;0.0493318;0.0558571;0.301258;0.0591699;0.0478469;0.0553918;0.300239;0.0521407;
48;16384;16384;measure;all_to_all;2.43521;1.47991;0.955281;0.0496396;0.0555997;0.30095;0.0590413;0.0799713;0.0557047;0.302324;0.0520506;
48;16384;16384;measure;all_to_all;2.44394;1.4837;0.960215;0.049626;0.0559752;0.302196;0.0569843;0.0871332;0.0552334;0.302129;0.0509378;
48;16384;16384;measure;all_to_all;2.39931;1.4777;0.921595;0.049696;0.0556181;0.301884;0.0607651;0.042664;0.055774;0.303274;0.0519205;
48;16384;16384;measure;all_to_all;2.39668;1.47645;0.920213;0.0489105;0.0558975;0.304535;0.0600833;0.0424152;0.055613;0.300508;0.0522503;
48;16384;16384;measure;all_to_all;2.39934;1.47838;0.92094;0.0499029;0.0555324;0.302206;0.0585965;0.0483082;0.055697;0.298556;0.052141;
48;16384;16384;measure;all_to_all;2.28264;1.48421;0.798421;0.0507004;0.0556961;0.301491;0.057944;0.0774271;0.0553373;0.146778;0.0530477;
48;16384;16384;measure;all_to_all;2.49097;1.53222;0.95873;0.0489017;0.0559519;0.301575;0.060244;0.0824676;0.0553031;0.302423;0.0518639;
48;16384;16384;measure;all_to_all;2.51837;1.48158;1.03677;0.0495615;0.0560056;0.390411;0.0424371;0.0814152;0.0556284;0.302682;0.0586303;
48;16384;16384;measure;all_to_all;2.45959;1.53559;0.923984;0.0483144;0.0556496;0.303012;0.0570044;0.0486881;0.0556528;0.301979;0.0536835;
48;16384;16384;measure;all_to_all;2.39471;1.47508;0.919607;0.0485517;0.0559832;0.301596;0.0588217;0.0484435;0.0557539;0.298202;0.0522553;
48;16384;16384;measure;all_to_all;2.43597;1.48351;0.952442;0.0488063;0.055543;0.298723;0.0584839;0.0847071;0.0552622;0.300112;0.0508043;
48;16384;16384;measure;all_to_all;2.43774;1.48194;0.955792;0.0493465;0.055886;0.301397;0.0589629;0.0820837;0.055499;0.300557;0.0520608;
48;16384;16384;measure;all_to_all;2.43904;1.47685;0.962178;0.0489329;0.0558663;0.302543;0.0601105;0.0817957;0.0555648;0.305973;0.0513912;
48;16384;16384;measure;all_to_all;2.4805;1.4806;0.999886;0.0503658;0.0554427;0.392573;0.0411346;0.0483826;0.0558151;0.298685;0.0574875;
48;16384;16384;measure;all_to_all;2.40203;1.48011;0.921896;0.0489706;0.0558888;0.301662;0.0584446;0.0491417;0.055888;0.299129;0.0527714;
48;16384;16384;measure;all_to_all;2.407;1.48138;0.925599;0.0490783;0.056023;0.298795;0.0580086;0.0489366;0.0557767;0.299413;0.0595676;
48;16384;16384;measure;all_to_all;2.42624;1.47938;0.94685;0.0488117;0.0562537;0.300317;0.0568465;0.0789388;0.0556139;0.299376;0.0506935;
48;16384;16384;measure;all_to_all;2.49147;1.48149;1.00996;0.0485746;0.0557959;0.302336;0.0574542;0.0483524;0.0558548;0.392464;0.0491244;
48;16384;16384;measure;all_to_all;2.40158;1.47833;0.923227;0.0490516;0.0562373;0.300328;0.0577758;0.0477639;0.0563349;0.304034;0.0517018;
48;16384;16384;measure;all_to_all;2.4312;1.47627;0.954921;0.0487463;0.0560448;0.299133;0.0579044;0.0832578;0.0554735;0.303284;0.0510766;
48;16384;16384;measure;all_to_all;2.59562;1.4807;1.1149;0.0486289;0.0557782;0.392328;0.0416823;0.0804585;0.0541862;0.39335;0.0484899;
48;16384;16384;measure;all_to_all;2.44677;1.52971;0.917042;0.0491939;0.055948;0.300958;0.057918;0.047692;0.0556846;0.298731;0.0509166;
48;16384;16384;measure;all_to_all;3.43503;1.1725;2.26251;0.0292248;0.0288808;1.03531;0.0504062;0.062828;0.0297327;0.954364;0.0717699;
48;16384;16384;measure;all_to_all;3.3655;1.16224;2.20324;0.0315783;0.0287516;1.04072;0.0723649;0.0388768;0.0286851;0.906845;0.0554146;
48;16384;16384;measure;all_to_all;3.39039;1.16637;2.224;0.0296123;0.0287116;1.03422;0.0614954;0.0551709;0.0537639;0.889389;0.0716329;
48;16384;16384;measure;all_to_all;3.29559;1.16692;2.12865;0.029616;0.0287305;0.991343;0.0692726;0.0288965;0.0305127;0.874846;0.0754292;
48;16384;16384;measure;all_to_all;3.50424;1.16792;2.3363;0.0290454;0.0289354;1.05238;0.0383978;0.042769;0.0284977;1.03678;0.0795012;
48;16384;16384;measure;all_to_all;3.44274;1.16972;2.273;0.0294324;0.0285712;1.02465;0.0740831;0.036165;0.0295688;0.985195;0.065326;
48;16384;16384;measure;all_to_all;3.4059;1.17477;2.23111;0.0289715;0.0290298;1.05117;0.0382093;0.0294045;0.0288925;0.941224;0.0842153;
48;16384;16384;measure;all_to_all;3.3683;1.16421;2.20407;0.0297032;0.0281622;1.03228;0.0615856;0.032696;0.0295089;0.911276;0.078862;
48;16384;16384;measure;all_to_all;3.31726;1.1675;2.14974;0.0319292;0.0289007;0.970151;0.0735511;0.0287211;0.0307963;0.933826;0.0518695;
48;16384;16384;measure;all_to_all;3.46327;1.16677;2.29648;0.0317014;0.0277229;1.03934;0.0676297;0.0383843;0.0300063;1.00948;0.0522191;
48;16384;16384;measure;all_to_all;3.54756;1.16889;2.37865;0.0297254;0.0285231;1.09621;0.0610788;0.0271568;0.0285681;1.03164;0.0757444;
48;16384;16384;measure;all_to_all;3.43079;1.1667;2.26407;0.0302182;0.0287086;1.04494;0.0610167;0.0322502;0.0294104;0.964233;0.0732917;
48;16384;16384;measure;all_to_all;3.59561;1.1708;2.42479;0.0321728;0.0287568;1.05358;0.0582472;0.0366296;0.0293373;1.10834;0.0777375;
48;16384;16384;measure;all_to_all;3.34648;1.17059;2.17586;0.0323889;0.0286546;0.975719;0.0526343;0.0324439;0.0296558;0.942798;0.0815704;
48;16384;16384;measure;all_to_all;3.48051;1.17182;2.30867;0.0291769;0.0287254;1.02832;0.0399777;0.0331382;0.0290005;1.04224;0.0780928;
48;16384;16384;measure;all_to_all;3.33591;1.16678;2.16912;0.0349041;0.0286952;0.988224;0.067416;0.0316899;0.0298678;0.93239;0.055929;
48;16384;16384;measure;all_to_all;3.47106;1.1728;2.29825;0.0329314;0.0286459;1.03902;0.0518904;0.0559514;0.0297274;0.985292;0.0747907;
48;16384;16384;measure;all_to_all;3.3636;1.17221;2.19138;0.0296042;0.0285138;1.01297;0.0591517;0.0276854;0.0288935;0.952248;0.052317;
48;16384;16384;measure;all_to_all;3.43952;1.17686;2.26264;0.0353424;0.0287626;1.07948;0.0599835;0.0285828;0.0283776;0.93191;0.0701998;
48;16384;16384;measure;all_to_all;3.40251;1.16703;2.23547;0.0293033;0.0280587;1.01952;0.0406631;0.0538439;0.0285246;0.981325;0.054226;
48;16384;16384;measure;all_to_all;3.50865;1.16846;2.34017;0.0320808;0.0287356;1.04366;0.0749755;0.0273282;0.0305448;1.02659;0.0762515;
48;16384;16384;measure;all_to_all;3.33952;1.16857;2.17092;0.0288374;0.0282126;1.00391;0.0518926;0.0320611;0.0293738;0.93712;0.0595193;
48;16384;16384;measure;all_to_all;3.39258;1.16492;2.22765;0.0329583;0.0284157;1.05181;0.052719;0.033062;0.0295577;0.926975;0.0721458;
