n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;16384;16384;measure;all_to_all;1.87603;1.54284;0.333171;0.0486458;0.0554756;2.26399e-06;0.059696;0.0624348;0.0550671;1.1492e-05;0.0518378;
48;16384;16384;measure;all_to_all;1.8567;1.53764;0.319043;0.0485461;0.055579;1.50304e-06;0.0597133;0.0482678;0.055501;4.81901e-06;0.0514294;
48;16384;16384;measure;all_to_all;1.87167;1.55203;0.319618;0.0487947;0.0557476;1.27201e-06;0.060244;0.0479579;0.055358;1.3345e-05;0.0515011;
48;16384;16384;measure;all_to_all;1.8751;1.55591;0.319167;0.0495404;0.0553422;1.573e-06;0.060029;0.0471763;0.0555791;1.7603e-05;0.0514808;
48;16384;16384;measure;all_to_all;1.86034;1.54084;0.319473;0.0490001;0.0556914;2.54501e-06;0.0599166;0.0473003;0.0553354;7.38399e-06;0.0522196;
48;16384;16384;measure;all_to_all;1.87435;1.54995;0.324383;0.0526942;0.0558068;1.85403e-06;0.0589168;0.0496222;0.0557535;1.6571e-05;0.0515707;
48;16384;16384;measure;all_to_all;1.88062;1.55538;0.325228;0.0538799;0.055404;1.72399e-06;0.0604928;0.0485264;0.0554846;1.4427e-05;0.0514245;
48;16384;16384;measure;all_to_all;1.88034;1.54611;0.334215;0.0487198;0.0556105;1.61305e-06;0.0595168;0.0631603;0.0553737;1.2674e-05;0.0518198;
48;16384;16384;measure;all_to_all;1.87771;1.55662;0.321077;0.0488428;0.0555684;1.79303e-06;0.0603822;0.0482852;0.0555911;0.000312958;0.0520928;
48;16384;16384;measure;all_to_all;1.86276;1.54258;0.320157;0.0492495;0.0556111;2.274e-06;0.0596785;0.0489338;0.0553656;1.6281e-05;0.0513004;
48;16384;16384;measure;all_to_all;1.87591;1.53636;0.339536;0.0480809;0.0557229;1.54297e-06;0.0603787;0.0685308;0.055368;1.4086e-05;0.0514393;
48;16384;16384;measure;all_to_all;1.89296;1.55828;0.334665;0.0490416;0.0552658;1.56299e-06;0.0596619;0.0638875;0.0556167;1.3385e-05;0.0511761;
48;16384;16384;measure;all_to_all;1.87791;1.55537;0.322518;0.0487099;0.0553749;1.45298e-06;0.0600924;0.0511658;0.0555815;4.79899e-06;0.0515872;
48;16384;16384;measure;all_to_all;1.86634;1.54674;0.319584;0.0494588;0.055364;1.79303e-06;0.0596702;0.0479323;0.0554764;1.5449e-05;0.0516651;
48;16384;16384;measure;all_to_all;1.85667;1.53515;0.321496;0.0501442;0.0559572;1.81299e-06;0.0590449;0.0485329;0.0558415;4.43798e-06;0.0519693;
48;16384;16384;measure;all_to_all;1.87723;1.5544;0.32281;0.0493013;0.0559058;1.673e-06;0.0602284;0.0486296;0.0553677;1.5679e-05;0.0533596;
48;16384;16384;measure;all_to_all;1.8811;1.54658;0.334507;0.0489184;0.05598;1.573e-06;0.0597937;0.0633301;0.0557542;1.2874e-05;0.0507161;
