n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;16384;16384;measure;all_to_all;1.83657;1.51499;0.321563;0.048817;0.0555886;1.78302e-06;0.0606082;0.0496728;0.0554388;5.2849e-05;0.0513831;
48;16384;16384;measure;all_to_all;1.90749;1.56252;0.344955;0.0489378;0.0559416;1.77399e-06;0.0596355;0.0730801;0.055396;5.6667e-05;0.0519055;
48;16384;16384;measure;all_to_all;1.87916;1.55907;0.320076;0.0488488;0.0556372;1.46299e-06;0.0593977;0.049446;0.0553816;6.2187e-05;0.0513015;
48;16384;16384;measure;all_to_all;1.85687;1.53689;0.319959;0.0485194;0.0555413;1.78302e-06;0.059794;0.0491292;0.0555647;5.4212e-05;0.0513545;
48;16384;16384;measure;all_to_all;1.8729;1.55299;0.319894;0.0482566;0.0555334;1.52201e-06;0.0601436;0.0488573;0.0555154;6.5173e-05;0.0515209;
48;16384;16384;measure;all_to_all;1.87476;1.55345;0.321292;0.0486716;0.0557543;1.523e-06;0.0604262;0.0492666;0.0558925;6.5263e-05;0.051214;
48;16384;16384;measure;all_to_all;1.87257;1.55014;0.322413;0.0488137;0.0556447;1.73302e-06;0.0593608;0.0494473;0.0555856;5.2398e-05;0.0535071;
48;16384;16384;measure;all_to_all;1.8916;1.55011;0.341476;0.0487251;0.0557258;1.65298e-06;0.0596157;0.0687346;0.0559975;0.00126578;0.0514095;
48;16384;16384;measure;all_to_all;1.87158;1.54987;0.321685;0.0488335;0.0552949;1.34204e-06;0.0598881;0.0501793;0.0556525;4.6016e-05;0.0517891;
48;16384;16384;measure;all_to_all;1.89613;1.55432;0.341789;0.0479342;0.0557642;1.462e-06;0.0602401;0.0691886;0.0555488;0.00127735;0.0518347;
48;16384;16384;measure;all_to_all;1.90169;1.56138;0.340288;0.0487409;0.0555212;1.88401e-06;0.060344;0.0683386;0.0553265;0.00124035;0.0507742;
48;16384;16384;measure;all_to_all;1.87545;1.55439;0.321045;0.0489905;0.0557212;1.84303e-06;0.058904;0.048705;0.0553929;5.2048e-05;0.0532779;
48;16384;16384;measure;all_to_all;1.8796;1.55954;0.320048;0.0486637;0.0556949;1.46299e-06;0.0597864;0.049407;0.0555416;6.4602e-05;0.0508886;
48;16384;16384;measure;all_to_all;1.86374;1.54106;0.322668;0.0487166;0.0556813;8.77702e-06;0.0603564;0.0498655;0.0556463;4.8541e-05;0.0523443;
48;16384;16384;measure;all_to_all;1.89283;1.55368;0.339142;0.0490728;0.0556;2.34501e-06;0.0599537;0.0680863;0.0553566;6.8369e-05;0.0510019;
48;16384;16384;measure;all_to_all;1.87327;1.54849;0.324768;0.0494914;0.0561869;1.69297e-06;0.0599912;0.0497946;0.0554905;5.1056e-05;0.0537603;
48;16384;16384;measure;all_to_all;1.88044;1.55878;0.321646;0.049314;0.0559024;1.974e-06;0.0597784;0.0499702;0.0555719;4.6117e-05;0.0510606;
48;16384;16384;measure;all_to_all;1.88248;1.5439;0.338566;0.0489413;0.0555481;1.64297e-06;0.0595217;0.0665498;0.0555015;7.5532e-05;0.0524268;
48;16384;16384;measure;all_to_all;1.87535;1.552;0.323325;0.0487431;0.0558476;1.65298e-06;0.0599589;0.049519;0.055929;5.0115e-05;0.0532759;
48;16384;16384;measure;all_to_all;1.86866;1.54747;0.321171;0.0488351;0.0553628;1.59297e-06;0.0600132;0.049047;0.0557727;5.4622e-05;0.052084;
48;16384;16384;measure;all_to_all;1.88742;1.54354;0.343864;0.0486396;0.0557348;2.11399e-06;0.0603271;0.0728755;0.05542;6.901e-05;0.0507956;
48;16384;16384;measure;all_to_all;1.86901;1.54837;0.320621;0.0485613;0.0556856;1.71299e-06;0.0597;0.0494321;0.0558345;6.1205e-05;0.0513442;
48;16384;16384;measure;all_to_all;1.87316;1.55174;0.321399;0.0486643;0.055887;1.60298e-06;0.0597397;0.0495727;0.0554659;5.2368e-05;0.0520156;
48;16384;16384;measure;all_to_all;1.86928;1.54773;0.321529;0.0484824;0.0558852;1.53302e-06;0.0602021;0.050041;0.0552624;4.6398e-05;0.0516083;
48;16384;16384;measure;all_to_all;1.87535;1.55545;0.319886;0.0484492;0.0554904;1.63302e-06;0.060531;0.0488624;0.0554756;5.2218e-05;0.0510233;
48;16384;16384;measure;all_to_all;1.89835;1.56078;0.337556;0.0486593;0.0553811;1.50298e-06;0.0600542;0.0669462;0.0554201;6.9331e-05;0.0510245;
48;16384;16384;measure;all_to_all;1.89067;1.5491;0.341551;0.049855;0.0557305;1.68302e-06;0.0597411;0.0687292;0.0556182;5.5765e-05;0.0518194;
48;16384;16384;measure;all_to_all;1.88481;1.54891;0.335889;0.0488316;0.0578178;1.473e-06;0.0667975;0.052765;0.0557833;5.0816e-05;0.0538416;
48;16384;16384;measure;all_to_all;1.8993;1.55138;0.347907;0.0491396;0.0554575;1.473e-06;0.0601407;0.0753825;0.0556508;5.312e-05;0.0520816;
48;16384;16384;measure;all_to_all;1.88512;1.56228;0.322831;0.0488903;0.0559814;1.55304e-06;0.0589122;0.0513719;0.0556285;4.9122e-05;0.0519962;
48;16384;16384;measure;all_to_all;1.87838;1.55788;0.320479;0.0484862;0.0557121;1.49303e-06;0.0597569;0.0490321;0.0555205;6.951e-05;0.0518999;
