n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;48;16384;16384;measure;15.3586;0.132818;1.25314e+10;
1;48;16384;16384;measure;13.8794;0.13826;1.23804e+10;
1;48;16384;16384;measure;15.9807;0.144211;1.23804e+10;
1;48;16384;16384;measure;15.4062;0.103459;1.25314e+10;
1;48;16384;16384;measure;14.4411;0.114741;1.23972e+10;
1;48;16384;16384;measure;15.2729;0.109754;1.23972e+10;
1;48;16384;16384;measure;15.6909;0.158252;1.24643e+10;
1;48;16384;16384;measure;14.1815;0.165918;1.23972e+10;
1;48;16384;16384;measure;16.0631;0.133144;1.23636e+10;
1;48;16384;16384;measure;15.6115;0.162879;1.23972e+10;
1;48;16384;16384;measure;16.1984;0.105873;1.25314e+10;
1;48;16384;16384;measure;15.2785;0.151036;1.23636e+10;
1;48;16384;16384;measure;14.4268;0.174127;1.23972e+10;
1;48;16384;16384;measure;15.8662;0.154018;1.23636e+10;
1;48;16384;16384;measure;15.7414;0.130602;1.26162e+10;
1;48;16384;16384;measure;15.2397;0.152664;1.23972e+10;
1;48;16384;16384;measure;15.5738;0.135904;1.23972e+10;
1;48;16384;16384;measure;14.5981;0.151902;1.23972e+10;
1;48;16384;16384;measure;15.2021;0.123903;1.23972e+10;
1;48;16384;16384;measure;15.6033;0.114338;1.24652e+10;
1;48;16384;16384;measure;16.0982;0.127052;1.25314e+10;
1;48;16384;16384;measure;14.6749;0.123694;1.24643e+10;
1;48;16384;16384;measure;16.1767;0.134196;1.23972e+10;
1;48;16384;16384;measure;14.1763;0.157607;1.24978e+10;
1;48;16384;16384;measure;14.4046;0.140895;1.24139e+10;
1;48;16384;16384;measure;15.8183;0.12469;1.23972e+10;
1;48;16384;16384;measure;15.0794;0.119915;1.23972e+10;
1;48;16384;16384;measure;15.9219;0.117034;1.23972e+10;
1;48;16384;16384;measure;15.8144;0.145164;1.25314e+10;
1;48;16384;16384;measure;15.8339;0.175003;1.25314e+10;
1;48;16384;16384;measure;16.0004;0.122163;1.23972e+10;
1;48;16384;16384;measure;14.0346;0.129665;1.25314e+10;
1;48;16384;16384;measure;15.6014;0.112555;1.23972e+10;
1;48;16384;16384;measure;14.2121;0.144179;1.23972e+10;
1;48;16384;16384;measure;14.2197;0.169035;1.25314e+10;
1;48;16384;16384;measure;15.1911;0.109891;1.24652e+10;
1;48;16384;16384;measure;14.5371;0.133332;1.23804e+10;
1;48;16384;16384;measure;15.4146;0.146885;1.25314e+10;
1;48;16384;16384;measure;14.3498;0.163373;1.25314e+10;
1;48;16384;16384;measure;16.0088;0.125594;1.23804e+10;
1;48;16384;16384;measure;16.1527;0.125224;1.23972e+10;
1;48;16384;16384;measure;16.1306;0.179636;1.23984e+10;
1;48;16384;16384;measure;15.5716;0.124428;1.23972e+10;
1;48;16384;16384;measure;16.2634;0.128348;1.23972e+10;
1;48;16384;16384;measure;16.0326;0.161185;1.24484e+10;
