n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;16384;16384;measure;scatter;1.79352;1.47668;0.316822;0.0493859;0.0557934;0.0001756;0.0605034;0.0429908;0.0556596;0.000139793;0.0521738;
48;16384;16384;measure;scatter;1.86043;1.53582;0.324566;0.0495002;0.0561732;9.3125e-05;0.0596713;0.0506805;0.0555467;0.000152577;0.052748;
48;16384;16384;measure;scatter;1.87826;1.53273;0.345516;0.0494174;0.0559939;0.000112271;0.0594835;0.0711246;0.0557286;0.00128591;0.0523698;
48;16384;16384;measure;scatter;1.87633;1.53381;0.342507;0.0487373;0.0557188;7.82672e-05;0.0598175;0.0698198;0.0556727;0.000127861;0.0525351;
48;16384;16384;measure;scatter;1.87783;1.53763;0.340189;0.0491105;0.0556829;9.7343e-05;0.0602875;0.0670161;0.0555557;0.000135235;0.0523039;
48;16384;16384;measure;scatter;1.87828;1.53707;0.341196;0.0494936;0.0555296;0.000139762;0.0594155;0.0688975;0.0554281;0.000150764;0.0521415;
48;16384;16384;measure;scatter;1.85524;1.5396;0.315615;0.0490741;0.055815;8.26661e-05;0.0605845;0.0431807;0.0554607;0.000151094;0.051266;
48;16384;16384;measure;scatter;1.85023;1.5359;0.314271;0.0485841;0.0558162;0.000143741;0.0595523;0.0432115;0.0554591;0.000146305;0.0513581;
48;16384;16384;measure;scatter;1.85201;1.53646;0.315537;0.0491471;0.0559721;0.00011683;0.0598979;0.04339;0.0554103;0.000156945;0.0514464;
48;16384;16384;measure;scatter;1.8779;1.53711;0.340772;0.0488865;0.0559938;0.000167825;0.0594546;0.0679527;0.0554406;0.00015435;0.0527217;
48;16384;16384;measure;scatter;1.88142;1.53669;0.344715;0.0495322;0.0555482;0.000116389;0.0599553;0.0699097;0.0554513;0.00133316;0.0528687;
48;16384;16384;measure;scatter;1.8476;1.52395;0.323634;0.0505477;0.0556458;0.000109196;0.0597011;0.0502665;0.0557541;0.000147147;0.0514624;
48;16384;16384;measure;scatter;1.86207;1.53874;0.323304;0.0492188;0.0560514;0.000117992;0.0600344;0.0498768;0.0554853;0.000166733;0.0523527;
48;16384;16384;measure;scatter;1.84887;1.53146;0.317383;0.0485783;0.0560764;0.000170852;0.0600669;0.0434501;0.0557907;0.000168797;0.0530812;
48;16384;16384;measure;scatter;1.868;1.52569;0.342284;0.0486674;0.0557357;0.000136446;0.0597971;0.0694499;0.0557641;0.000152036;0.0525809;
48;16384;16384;measure;scatter;1.8928;1.54967;0.343111;0.0498817;0.0557465;0.000114034;0.0600259;0.0702232;0.0555359;0.000157245;0.0514259;
48;16384;16384;measure;scatter;1.86153;1.53887;0.322647;0.0495505;0.0557052;0.000118132;0.0596904;0.0499325;0.0556724;0.000154881;0.0518227;
48;16384;16384;measure;scatter;1.86333;1.53837;0.324939;0.0486395;0.0558743;7.37191e-05;0.0598828;0.0513044;0.0557205;0.000144261;0.0532997;
48;16384;16384;measure;scatter;1.87639;1.53244;0.343928;0.0494321;0.0557939;0.000174268;0.0601679;0.0703874;0.0553672;0.00133291;0.0512725;
48;16384;16384;measure;scatter;1.87855;1.53723;0.341255;0.0487117;0.0560767;0.000130265;0.0604843;0.0682741;0.0554817;0.00015947;0.051937;
48;16384;16384;measure;scatter;1.85108;1.5364;0.314663;0.0485702;0.0556894;0.000121047;0.0600824;0.0432499;0.0555911;0.000160081;0.0511984;
48;16384;16384;measure;scatter;1.87846;1.53589;0.342551;0.0491422;0.0558297;0.000148439;0.059505;0.0693536;0.0555639;0.00129012;0.051718;
48;16384;16384;measure;scatter;1.85109;1.53533;0.315736;0.0486512;0.0556943;0.000179698;0.059788;0.0437906;0.0557197;0.000164309;0.0517484;
48;16384;16384;measure;scatter;1.8575;1.53559;0.321853;0.0492503;0.0556425;0.000131086;0.0596505;0.0496531;0.0556066;0.00017023;0.051749;
48;16384;16384;measure;scatter;1.86127;1.54099;0.320263;0.047969;0.055655;0.000125266;0.0597772;0.049708;0.0553946;0.000156284;0.0514778;
48;16384;16384;measure;scatter;1.85754;1.53517;0.322346;0.0491076;0.0555309;0.000140404;0.0600545;0.0494934;0.0556666;0.000170761;0.0521818;
48;16384;16384;measure;scatter;1.88189;1.53646;0.345405;0.0501219;0.0554917;0.000115487;0.0600126;0.071459;0.0556574;0.001276;0.0512713;
48;16384;16384;measure;scatter;1.8446;1.52876;0.315824;0.0492841;0.056123;9.17919e-05;0.0596234;0.0431626;0.055618;0.000154029;0.0517674;
48;16384;16384;measure;scatter;1.84688;1.53074;0.316127;0.049197;0.0558846;0.000158548;0.0603324;0.0430763;0.05567;0.000152858;0.0516553;
48;16384;16384;measure;scatter;1.85852;1.53693;0.32157;0.0495012;0.0561355;0.00013863;0.059623;0.0494608;0.055593;0.000173846;0.0509444;
48;16384;16384;measure;scatter;1.91472;1.53889;0.375813;0.0486912;0.055745;0.000109886;0.0597712;0.103146;0.05634;0.000138039;0.0518722;
48;16384;16384;measure;scatter;1.85219;1.52875;0.323424;0.0494781;0.0558233;0.000125756;0.0602188;0.0499355;0.0558507;0.000179727;0.0518125;
48;16384;16384;measure;scatter;1.87461;1.53254;0.342059;0.0497288;0.0556383;0.000102653;0.0599446;0.0693662;0.0552878;0.000135284;0.0518558;
48;16384;16384;measure;scatter;1.87625;1.53474;0.341496;0.0486578;0.0559241;0.00012247;0.0600372;0.0697265;0.0553966;0.000139543;0.0514915;
48;16384;16384;measure;scatter;1.88358;1.54137;0.342194;0.0489242;0.055511;0.000151535;0.0596786;0.0709965;0.0555052;0.00014888;0.0512775;
48;16384;16384;measure;scatter;1.87718;1.536;0.341171;0.0482859;0.055661;0.000127209;0.0597263;0.067791;0.0555159;0.00135529;0.0527085;
48;16384;16384;measure;scatter;1.87836;1.53473;0.343583;0.0487276;0.0558712;8.47999e-05;0.0597595;0.0704581;0.0555715;0.000155683;0.0529551;
48;16384;16384;measure;scatter;1.87372;1.53441;0.339303;0.0485864;0.0556051;7.5602e-05;0.0596443;0.0671172;0.0555598;0.00139864;0.0513164;
48;16384;16384;measure;scatter;1.85379;1.53199;0.321743;0.0492826;0.0555446;0.000128863;0.0599279;0.0501913;0.0554854;0.000140855;0.0510418;
48;16384;16384;measure;scatter;1.87817;1.53748;0.340676;0.0496649;0.0555578;0.000157125;0.059852;0.0678425;0.055622;0.000161233;0.0518182;
48;16384;16384;measure;scatter;1.84802;1.53238;0.315625;0.0492013;0.0558458;0.000116579;0.060055;0.0433974;0.0555848;0.000156113;0.0512681;
48;16384;16384;measure;scatter;1.86464;1.54219;0.322433;0.0474807;0.056004;0.000134793;0.0598673;0.0505687;0.0556967;0.000162967;0.0525183;
48;16384;16384;measure;scatter;1.8617;1.54003;0.321654;0.0489246;0.0559634;0.000170981;0.0600021;0.0496954;0.0554394;0.000161213;0.0512973;
48;16384;16384;measure;scatter;1.88457;1.54412;0.340433;0.0498795;0.055904;9.74331e-05;0.0603158;0.0675537;0.0555116;0.000125997;0.0510452;
48;16384;16384;measure;scatter;1.84608;1.53178;0.31428;0.04833;0.0558127;0.000101641;0.0596979;0.043121;0.0558019;0.000151926;0.0512633;
48;16384;16384;measure;scatter;1.85464;1.54032;0.314302;0.0482324;0.055832;0.000146525;0.0595002;0.0426955;0.0556489;0.000134943;0.0521115;
48;16384;16384;measure;scatter;1.85541;1.5371;0.318297;0.0485229;0.0558947;0.000129243;0.0599103;0.0457168;0.0556007;0.000150002;0.0523725;
