n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;16384;16384;measure;scatter;1.80142;1.48054;0.320862;0.049612;0.0557611;0.000113934;0.0597096;0.0485896;0.0555385;8.2345e-05;0.0514549;
48;16384;16384;measure;scatter;1.88925;1.54958;0.339651;0.0493594;0.0557805;0.000144692;0.0597875;0.0663363;0.0556039;7.74348e-05;0.0525614;
48;16384;16384;measure;scatter;1.86737;1.53778;0.329575;0.0494895;0.0556762;0.000112712;0.0625687;0.0527401;0.0556295;7.4931e-05;0.053283;
48;16384;16384;measure;scatter;1.85109;1.5298;0.321272;0.049554;0.0558145;0.00017002;0.0595733;0.0489766;0.0556563;6.8669e-05;0.0514588;
48;16384;16384;measure;scatter;1.85563;1.53877;0.316838;0.0498741;0.0558521;0.000146285;0.0597216;0.043369;0.0558067;8.4098e-05;0.0519842;
48;16384;16384;measure;scatter;1.85118;1.53092;0.320218;0.049042;0.0558623;0.000130926;0.0596314;0.048201;0.0555618;7.09631e-05;0.0517181;
48;16384;16384;measure;scatter;1.85634;1.53737;0.318948;0.0500098;0.0555643;0.000153118;0.0588973;0.0479074;0.0553528;9.1752e-05;0.0509714;
48;16384;16384;measure;scatter;1.86281;1.54103;0.321762;0.0494466;0.0556701;0.000152436;0.0594889;0.0489931;0.0554106;7.04119e-05;0.0525299;
48;16384;16384;measure;scatter;1.85308;1.5372;0.315862;0.0491346;0.0559972;0.000124594;0.0593557;0.0429134;0.0557844;0.000382338;0.0521702;
48;16384;16384;measure;scatter;1.8616;1.54273;0.318821;0.0503075;0.0556985;0.000119815;0.0608353;0.042942;0.0559445;6.4922e-05;0.0529089;
48;16384;16384;measure;scatter;1.85555;1.53219;0.323344;0.051054;0.0557061;0.000140123;0.0600393;0.0484528;0.0558839;7.55212e-05;0.0519927;
48;16384;16384;measure;scatter;1.79894;1.46775;0.331176;0.0508863;0.054436;0.000189105;0.059634;0.062855;0.0556269;0.000394652;0.0471544;
48;16384;16384;measure;scatter;1.80022;1.47918;0.321021;0.0490875;0.0559105;0.000123613;0.0598587;0.0485316;0.0554886;7.09731e-05;0.0519492;
48;16384;16384;measure;scatter;1.87989;1.53709;0.342782;0.0491939;0.055862;0.000153649;0.0596015;0.0705615;0.0558083;8.9529e-05;0.0515115;
48;16384;16384;measure;scatter;1.85253;1.53145;0.321064;0.0504355;0.0557639;0.000119244;0.0596423;0.0476859;0.0557108;6.12051e-05;0.0516446;
48;16384;16384;measure;scatter;1.87214;1.53629;0.335835;0.0492429;0.0564027;8.2274e-05;0.059694;0.0625964;0.0556711;8.22139e-05;0.0520638;
48;16384;16384;measure;scatter;1.85702;1.53654;0.320414;0.0493715;0.0556185;0.000104256;0.0595831;0.0487463;0.055766;8.65629e-05;0.0511381;
48;16384;16384;measure;scatter;1.85314;1.53779;0.315325;0.048824;0.0559684;8.93879e-05;0.0595831;0.0434594;0.0557861;7.44802e-05;0.0515404;
48;16384;16384;measure;scatter;1.83463;1.51202;0.322595;0.0492459;0.0560975;0.000220284;0.060416;0.0484832;0.0556382;0.0003777;0.052116;
48;16384;16384;measure;scatter;1.85808;1.54219;0.315882;0.0498043;0.0563069;0.000110157;0.0593604;0.0429275;0.0558667;8.5711e-05;0.0514207;
48;16384;16384;measure;scatter;1.85755;1.53347;0.324056;0.0494653;0.0557449;0.000119585;0.0601552;0.0493788;0.0554162;7.01321e-05;0.0537063;
48;16384;16384;measure;scatter;1.84701;1.52647;0.320522;0.0483769;0.055742;0.000138611;0.0596464;0.0480475;0.0555742;7.8046e-05;0.0529179;
48;16384;16384;measure;scatter;1.79937;1.46806;0.331288;0.0515173;0.0532412;0.000114846;0.0578536;0.066087;0.0555346;0.000391195;0.0465487;
48;16384;16384;measure;scatter;1.78861;1.46967;0.318927;0.0491654;0.0561281;0.000172855;0.0586299;0.0475964;0.0557494;8.1433e-05;0.0514039;
48;16384;16384;measure;scatter;1.85172;1.53178;0.319922;0.0502179;0.0558728;0.000137269;0.05899;0.0476408;0.0554148;8.02611e-05;0.0515678;
48;16384;16384;measure;scatter;1.85667;1.53593;0.320721;0.0492003;0.0556495;0.000111028;0.0601329;0.0481717;0.0555275;5.69271e-05;0.0518712;
48;16384;16384;measure;scatter;1.85248;1.52887;0.323592;0.0489263;0.0558908;0.000101251;0.0592365;0.0518073;0.05562;6.79782e-05;0.0519415;
48;16384;16384;measure;scatter;1.78625;1.47136;0.314845;0.0516641;0.0553407;0.000105018;0.0593016;0.0429958;0.0568259;0.00040476;0.0482073;
48;16384;16384;measure;scatter;1.79598;1.47505;0.320911;0.0493106;0.0563527;0.000169789;0.0594481;0.0483869;0.0554619;6.03439e-05;0.0517211;
48;16384;16384;measure;scatter;1.85977;1.53817;0.321591;0.0494768;0.0559539;0.000104196;0.0595727;0.0481058;0.0557932;7.62029e-05;0.0525076;
48;16384;16384;measure;scatter;1.85099;1.53489;0.316078;0.0486056;0.0557371;0.0001065;0.0609028;0.0434666;0.0558686;8.79061e-05;0.0513032;
48;16384;16384;measure;scatter;1.84924;1.52817;0.321052;0.0488124;0.0558634;0.000108003;0.0604087;0.0486525;0.0555074;8.29359e-05;0.0516172;
48;16384;16384;measure;scatter;1.8641;1.52803;0.336056;0.0492762;0.0555597;0.000140804;0.0591349;0.063923;0.0555909;6.5553e-05;0.0523652;
48;16384;16384;measure;scatter;1.8737;1.53085;0.342832;0.0492683;0.0556684;0.000115958;0.0597194;0.0671134;0.0562661;6.90001e-05;0.0546119;
48;16384;16384;measure;scatter;1.86189;1.54666;0.315217;0.0496385;0.0554295;0.000141336;0.0587804;0.0434108;0.0554511;6.3359e-05;0.0523022;
48;16384;16384;measure;scatter;1.86273;1.5386;0.324114;0.0491809;0.0560501;7.0102e-05;0.059997;0.049162;0.0555953;7.34478e-05;0.0539855;
48;16384;16384;measure;scatter;1.85336;1.53593;0.317418;0.0501763;0.0557848;0.000160391;0.0599984;0.0440438;0.0555804;6.36501e-05;0.0516106;
48;16384;16384;measure;scatter;1.86506;1.5285;0.336513;0.0483848;0.0558871;0.000129654;0.059825;0.0638882;0.0554197;7.93489e-05;0.0528995;
48;16384;16384;measure;scatter;1.87655;1.53352;0.343014;0.0484678;0.0562504;0.000121358;0.0610895;0.0697726;0.055486;5.6396e-05;0.0517698;
48;16384;16384;measure;scatter;1.856;1.53447;0.321515;0.0494443;0.055325;0.000101561;0.059795;0.0483105;0.0556433;8.18339e-05;0.052814;
48;16384;16384;measure;scatter;1.8511;1.53055;0.320523;0.0491236;0.0558762;0.000168767;0.0603838;0.0480443;0.0555539;8.3707e-05;0.0512885;
48;16384;16384;measure;scatter;1.8526;1.53444;0.318146;0.050447;0.0556469;0.000124674;0.060132;0.043281;0.0559323;6.915e-05;0.0525128;
48;16384;16384;measure;scatter;1.85402;1.53315;0.320862;0.0483701;0.0556795;0.0001065;0.0602747;0.0483383;0.0566496;7.7616e-05;0.0513657;
48;16384;16384;measure;scatter;1.86649;1.5282;0.338277;0.0495242;0.0555885;0.000146376;0.0598707;0.0650436;0.0554118;7.96702e-05;0.0526123;
48;16384;16384;measure;scatter;1.85099;1.52996;0.321015;0.0490181;0.0557142;0.000167264;0.059674;0.0484997;0.0555715;7.453e-05;0.0522955;
48;16384;16384;measure;scatter;1.85676;1.53653;0.320205;0.0494416;0.0554713;9.6912e-05;0.0599008;0.0484431;0.0555539;8.16039e-05;0.051216;
48;16384;16384;measure;scatter;1.86389;1.54344;0.320434;0.0486296;0.0561213;0.000146746;0.0592558;0.0486559;0.0557319;0.000101942;0.0517912;
