n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;16384;16384;measure;scatter;1.79759;1.47896;0.318607;0.0491196;0.0561101;9.02792e-05;0.0630774;0.0432006;0.055789;0.000138029;0.0510819;
48;16384;16384;measure;scatter;1.88559;1.5419;0.34367;0.0489363;0.0563025;0.000172535;0.0598743;0.070036;0.0557518;0.00128105;0.0513151;
48;16384;16384;measure;scatter;1.84966;1.52809;0.32155;0.0485809;0.0556294;9.56899e-05;0.0601403;0.0496049;0.0555695;0.000121819;0.0518078;
48;16384;16384;measure;scatter;1.85764;1.53584;0.32179;0.049283;0.0555333;0.000121057;0.0598158;0.049347;0.0556477;0.000104086;0.0519376;
48;16384;16384;measure;scatter;1.84651;1.53231;0.314189;0.0481999;0.0556419;0.000116248;0.0603099;0.0428038;0.0559068;0.000125185;0.0510856;
48;16384;16384;measure;scatter;1.86899;1.53099;0.337948;0.0479172;0.0556195;0.000105288;0.0597434;0.0675543;0.0556935;0.000103765;0.051211;
48;16384;16384;measure;scatter;1.85263;1.53071;0.321907;0.0486906;0.0557962;0.000171322;0.0599203;0.0500926;0.0556395;0.000114805;0.0514813;
48;16384;16384;measure;scatter;1.85712;1.53357;0.32353;0.0488335;0.0560389;0.000179728;0.0598508;0.0498352;0.055686;0.000126738;0.0529796;
48;16384;16384;measure;scatter;1.85117;1.5293;0.321861;0.0481133;0.0559172;8.6643e-05;0.0596335;0.0505688;0.0556233;0.000119515;0.0517987;
48;16384;16384;measure;scatter;1.87875;1.53892;0.339812;0.0481353;0.0556015;8.6382e-05;0.0604153;0.067038;0.0555059;0.000140133;0.0528896;
48;16384;16384;measure;scatter;1.8515;1.52797;0.323511;0.0511806;0.0556215;0.00016465;0.0598153;0.0492266;0.0561918;0.000120246;0.0511899;
48;16384;16384;measure;scatter;1.85004;1.53389;0.316137;0.0490989;0.0561222;7.61931e-05;0.0607458;0.0431392;0.0555752;0.000117821;0.0512612;
48;16384;16384;measure;scatter;1.8735;1.53485;0.338634;0.0485172;0.0557253;7.0743e-05;0.0602634;0.0674483;0.0553551;0.000145022;0.0511089;
48;16384;16384;measure;scatter;1.86074;1.53934;0.321375;0.0471419;0.0559508;0.000115497;0.0606053;0.0501032;0.0554496;0.000129864;0.0518789;
48;16384;16384;measure;scatter;1.86716;1.52817;0.338977;0.0484039;0.0559274;0.000172484;0.060059;0.0663731;0.0555819;0.000142778;0.0523163;
48;16384;16384;measure;scatter;1.85732;1.53547;0.321836;0.0484721;0.0559338;0.000103434;0.0599053;0.0500278;0.0554431;0.000125315;0.051825;
48;16384;16384;measure;scatter;1.8717;1.53085;0.34083;0.0484773;0.0559087;0.000171322;0.0602486;0.0687399;0.0556702;0.000134362;0.0514793;
48;16384;16384;measure;scatter;1.85511;1.53047;0.324618;0.0495566;0.0559409;0.000113253;0.06023;0.0497434;0.0558987;0.000126238;0.0530092;
48;16384;16384;measure;scatter;1.85984;1.537;0.322824;0.0481282;0.0557865;0.000108554;0.0602142;0.0501685;0.0556562;9.4197e-05;0.0526674;
48;16384;16384;measure;scatter;1.86604;1.5489;0.31712;0.049891;0.0558193;0.000134112;0.0609691;0.043447;0.0556889;0.000130956;0.05104;
