n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
40;16384;16384;measure;all_to_all;6.53985;2.58891;3.95093;0.110932;0.11585;1.57481;0.173854;0.120542;0.131273;1.57761;0.146059;
40;16384;16384;measure;all_to_all;5.77176;2.61989;3.15186;0.110756;0.119248;1.54491;0.170207;0.113885;0.113112;0.85681;0.122933;
40;16384;16384;measure;all_to_all;5.74466;2.59689;3.14776;0.108466;0.114092;0.852747;0.10561;0.118213;0.112895;1.58979;0.145944;
40;16384;16384;measure;all_to_all;6.53742;2.61256;3.92484;0.110751;0.115092;1.57141;0.169455;0.11599;0.116189;1.57844;0.14752;
40;16384;16384;measure;all_to_all;6.54492;2.61853;3.92639;0.110937;0.114315;1.56264;0.173214;0.138257;0.11615;1.57146;0.13941;
40;16384;16384;measure;all_to_all;5.05475;2.6282;2.42654;0.110363;0.112283;0.850238;0.105161;0.159715;0.11308;0.838209;0.137486;
40;16384;16384;measure;all_to_all;6.58754;2.6144;3.97312;0.109771;0.115171;1.55877;0.171488;0.119575;0.114417;1.58336;0.200574;
40;16384;16384;measure;all_to_all;5.73834;2.60283;3.13551;0.110017;0.114976;0.848877;0.105142;0.117749;0.113112;1.5671;0.158531;
40;16384;16384;measure;all_to_all;6.50046;2.62733;3.87312;0.110258;0.115276;1.53623;0.169541;0.115094;0.11694;1.55975;0.150027;
40;16384;16384;measure;all_to_all;5.01522;2.60858;2.40663;0.108628;0.116515;0.848897;0.103443;0.15239;0.11543;0.818721;0.142602;
40;16384;16384;measure;all_to_all;6.52532;2.59642;3.92889;0.109654;0.117478;1.56934;0.172172;0.123255;0.117672;1.57454;0.144777;
40;16384;16384;measure;all_to_all;6.54056;2.61077;3.92977;0.110553;0.112982;1.57251;0.168844;0.124408;0.11712;1.57737;0.145983;
40;16384;16384;measure;all_to_all;5.80239;2.60751;3.19487;0.110865;0.114208;1.56601;0.17475;0.123383;0.119237;0.864676;0.12174;
40;16384;16384;measure;all_to_all;5.81133;2.60075;3.21056;0.111706;0.112732;1.60212;0.171946;0.118152;0.113187;0.860396;0.120322;
40;16384;16384;measure;all_to_all;6.55576;2.59783;3.95791;0.108374;0.113317;1.60616;0.172414;0.120375;0.113538;1.5814;0.142339;
40;16384;16384;measure;all_to_all;6.1049;2.64912;3.45577;0.203604;0.283527;1.54436;0.169525;0.153048;0.119689;0.862059;0.119959;
40;16384;16384;measure;all_to_all;5.75772;2.61826;3.13945;0.109094;0.114632;0.848162;0.107264;0.123765;0.120052;1.57911;0.137369;
40;16384;16384;measure;all_to_all;5.76981;2.61973;3.15006;0.110349;0.1169;1.53303;0.173015;0.116789;0.112503;0.861458;0.126017;
40;16384;16384;measure;all_to_all;6.55793;2.61854;3.93938;0.110498;0.113388;1.58566;0.172395;0.119108;0.12017;1.57596;0.142196;
40;16384;16384;measure;all_to_all;5.74707;2.59141;3.15565;0.109162;0.112889;1.56061;0.170406;0.156633;0.115737;0.787617;0.1426;
40;16384;16384;measure;all_to_all;5.64545;2.56521;3.08023;0.109843;0.112637;0.853522;0.108093;0.119334;0.117602;1.52472;0.134476;
40;16384;16384;measure;all_to_all;5.689;2.56835;3.12064;0.106521;0.112479;0.855134;0.106981;0.121563;0.119479;1.55862;0.139861;
40;16384;16384;measure;all_to_all;6.49246;2.59414;3.8983;0.107819;0.1115;1.55626;0.170571;0.116223;0.118775;1.57685;0.140295;
40;16384;16384;measure;all_to_all;5.69797;2.58596;3.112;0.108977;0.11739;0.844102;0.107269;0.119231;0.111838;1.56153;0.14167;
40;16384;16384;measure;all_to_all;6.53444;2.56365;3.97078;0.107874;0.117185;1.59397;0.175712;0.125532;0.116957;1.58402;0.149519;
40;16384;16384;measure;all_to_all;5.58793;2.4682;3.11973;0.110201;0.116455;0.849626;0.109317;0.119525;0.114681;1.55275;0.147174;
40;16384;16384;measure;all_to_all;4.91025;2.48974;2.4205;0.111671;0.113256;0.851055;0.107189;0.15744;0.116634;0.815615;0.147637;
40;16384;16384;measure;all_to_all;5.65545;2.45291;3.20253;0.109061;0.116783;1.58292;0.175058;0.118907;0.1136;0.860269;0.125937;
40;16384;16384;measure;all_to_all;6.43227;2.47019;3.96206;0.10939;0.119758;1.58617;0.172164;0.123491;0.117197;1.5855;0.148388;
40;16384;16384;measure;all_to_all;5.61901;2.51071;3.10829;0.108487;0.115811;0.845824;0.104494;0.119994;0.114264;1.56237;0.137046;
40;16384;16384;measure;all_to_all;5.67378;2.54752;3.12625;0.107658;0.111257;1.54156;0.17029;0.156535;0.113549;0.783522;0.141875;
40;16384;16384;measure;all_to_all;5.65656;2.52451;3.13204;0.108482;0.115272;0.840604;0.106916;0.118641;0.11308;1.56781;0.161228;
40;16384;16384;measure;all_to_all;6.4354;2.52089;3.9145;0.110578;0.118872;1.56291;0.17192;0.119896;0.117461;1.56886;0.143998;
40;16384;16384;measure;all_to_all;5.7135;2.54342;3.17006;0.115405;0.115095;1.56621;0.170789;0.154377;0.116347;0.790742;0.141097;
