n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
40;16384;16384;measure;all_to_all;4.8551;2.47184;2.38324;0.108571;0.111944;0.856434;0.108617;0.118902;0.112166;0.847686;0.118924;
40;16384;16384;measure;all_to_all;5.61431;2.50073;3.11356;0.106759;0.112939;0.847288;0.107282;0.121973;0.114191;1.56555;0.137579;
40;16384;16384;measure;all_to_all;6.38296;2.46876;3.91419;0.109948;0.1156;1.56173;0.172978;0.113849;0.113189;1.58314;0.143753;
40;16384;16384;measure;all_to_all;5.59463;2.46299;3.13162;0.108895;0.112111;0.849817;0.109321;0.118119;0.11365;1.57312;0.14658;
40;16384;16384;measure;all_to_all;6.3831;2.47908;3.90401;0.110753;0.115512;1.56226;0.172184;0.12089;0.1219;1.55765;0.142859;
40;16384;16384;measure;all_to_all;4.88484;2.45774;2.42709;0.109198;0.115641;0.841216;0.108246;0.156189;0.120052;0.857753;0.118789;
40;16384;16384;measure;all_to_all;5.65672;2.501;3.15571;0.11017;0.115297;1.56673;0.171023;0.154209;0.11273;0.782;0.14355;
40;16384;16384;measure;all_to_all;5.62185;2.46526;3.15658;0.107936;0.114716;1.55241;0.174272;0.115476;0.112148;0.857838;0.121777;
40;16384;16384;measure;all_to_all;6.36867;2.45571;3.91294;0.108549;0.112153;1.56528;0.172608;0.119571;0.121024;1.57039;0.143373;
40;16384;16384;measure;all_to_all;5.64449;2.48385;3.16062;0.109221;0.111759;1.55443;0.17316;0.153766;0.112351;0.8016;0.144337;
40;16384;16384;measure;all_to_all;6.36559;2.45676;3.90881;0.108729;0.115965;1.55386;0.172355;0.121247;0.114232;1.5836;0.138818;
40;16384;16384;measure;all_to_all;5.65582;2.48396;3.17184;0.107706;0.11552;1.56864;0.170752;0.116849;0.116771;0.856006;0.119594;
40;16384;16384;measure;all_to_all;5.59742;2.46202;3.13539;0.110892;0.113026;0.847131;0.108981;0.118087;0.113143;1.5865;0.137621;
40;16384;16384;measure;all_to_all;6.37564;2.46675;3.90888;0.109079;0.113071;1.55822;0.172924;0.115798;0.113048;1.58521;0.141528;
40;16384;16384;measure;all_to_all;5.60309;2.46628;3.1368;0.104884;0.112849;1.54377;0.17146;0.154867;0.115993;0.787451;0.145532;
40;16384;16384;measure;all_to_all;6.3986;2.49168;3.90691;0.107649;0.115368;1.54527;0.172492;0.120174;0.115862;1.58755;0.142542;
40;16384;16384;measure;all_to_all;5.67839;2.46773;3.21065;0.108146;0.115787;1.55889;0.17518;0.15543;0.113134;0.865541;0.118541;
40;16384;16384;measure;all_to_all;5.64101;2.45544;3.18556;0.108236;0.116601;1.58727;0.17112;0.15691;0.116714;0.785796;0.142911;
40;16384;16384;measure;all_to_all;6.39003;2.45796;3.93206;0.110249;0.11276;1.57449;0.169307;0.12121;0.116388;1.5836;0.144055;
40;16384;16384;measure;all_to_all;5.63292;2.45302;3.17989;0.110049;0.113167;1.58292;0.170567;0.156121;0.117049;0.790636;0.139389;
40;16384;16384;measure;all_to_all;5.66611;2.46353;3.20257;0.110062;0.115247;1.57751;0.17047;0.121557;0.124565;0.855735;0.127419;
40;16384;16384;measure;all_to_all;5.66439;2.46768;3.19669;0.108383;0.115833;1.59199;0.174822;0.11393;0.113306;0.85732;0.121114;
40;16384;16384;measure;all_to_all;5.64675;2.45488;3.19186;0.107915;0.114924;1.58655;0.172591;0.117677;0.115479;0.856709;0.120016;
40;16384;16384;measure;all_to_all;6.51195;2.45545;4.05649;0.109097;0.115181;1.70896;0.172494;0.120789;0.115377;1.56919;0.145398;
40;16384;16384;measure;all_to_all;5.73411;2.09019;3.64391;0.109621;0.116489;1.29808;0.166199;0.113637;0.114472;1.58007;0.14534;
40;16384;16384;measure;all_to_all;5.73485;2.09435;3.64049;0.108247;0.115859;1.2831;0.164012;0.114144;0.115937;1.59426;0.144939;
40;16384;16384;measure;all_to_all;4.44512;2.09135;2.35376;0.109828;0.111552;0.847734;0.108993;0.119348;0.118971;0.826703;0.110636;
40;16384;16384;measure;all_to_all;5.02429;2.14035;2.88392;0.108786;0.114911;1.28769;0.165113;0.155493;0.119739;0.786305;0.145888;
