n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
40;16384;16384;measure;all_to_all;8.71958;4.5894;4.13017;0.198184;0.182399;1.58574;0.170159;0.110578;0.114532;1.56234;0.206238;
40;16384;16384;measure;all_to_all;8.21255;4.5069;3.70564;0.200681;0.154012;1.23217;0.097492;0.111754;0.118088;1.59355;0.19789;
40;16384;16384;measure;all_to_all;8.54783;4.44392;4.10389;0.20086;0.107248;1.60162;0.169298;0.11057;0.112997;1.58652;0.214781;
40;16384;16384;measure;all_to_all;8.23387;4.52064;3.71321;0.202887;0.109983;1.58459;0.166796;0.111799;0.11078;1.22733;0.199049;
40;16384;16384;measure;all_to_all;8.47628;4.52353;3.95273;0.203016;0.110549;1.23966;0.0960991;0.321346;0.113824;1.66581;0.202431;
40;16384;16384;measure;all_to_all;8.6881;4.55263;4.13546;0.204074;0.168123;1.59329;0.167191;0.112039;0.114218;1.57095;0.205581;
40;16384;16384;measure;all_to_all;8.85534;4.53579;4.31953;0.201755;0.131497;1.59095;0.166335;0.320219;0.118405;1.58569;0.204677;
40;16384;16384;measure;all_to_all;8.81381;4.5052;4.30859;0.195901;0.124789;1.58431;0.166361;0.320514;0.113866;1.59625;0.206612;
40;16384;16384;measure;all_to_all;8.24663;4.50785;3.73876;0.204323;0.158164;1.57713;0.166982;0.112104;0.11084;1.21704;0.192185;
40;16384;16384;measure;all_to_all;8.47886;4.52207;3.95678;0.203101;0.140145;1.61685;0.169095;0.291663;0.111204;1.23277;0.191947;
40;16384;16384;measure;all_to_all;8.63077;4.52963;4.10112;0.202548;0.113816;1.59225;0.167073;0.11215;0.114411;1.58603;0.212846;
40;16384;16384;measure;all_to_all;8.42168;4.5014;3.92027;0.195282;0.106877;1.21488;0.0985338;0.326712;0.113661;1.64844;0.215883;
40;16384;16384;measure;all_to_all;8.81108;4.48516;4.32591;0.19609;0.121946;1.59027;0.176323;0.321716;0.119168;1.59538;0.205009;
40;16384;16384;measure;all_to_all;8.8118;4.49741;4.31438;0.193935;0.163846;1.58161;0.167272;0.289919;0.113815;1.60099;0.202995;
40;16384;16384;measure;all_to_all;8.19725;4.52828;3.66896;0.202809;0.137575;1.22004;0.0961972;0.112068;0.11093;1.58187;0.207468;
40;16384;16384;measure;all_to_all;8.16227;4.47069;3.69157;0.203914;0.11633;1.24252;0.0986312;0.115203;0.110593;1.59608;0.208298;
40;16384;16384;measure;all_to_all;8.19022;4.47761;3.71259;0.195;0.12491;1.24443;0.100904;0.110655;0.117541;1.59727;0.221887;
40;16384;16384;measure;all_to_all;8.85266;4.50866;4.34399;0.203403;0.115293;1.61582;0.169106;0.324325;0.114651;1.58954;0.211848;
