n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;40;16384;16384;measure;15.7945;0.228966;1.24475e+10;
1;40;16384;16384;measure;16.4756;0.184829;1.24139e+10;
1;40;16384;16384;measure;16.3434;0.2384;1.24475e+10;
1;40;16384;16384;measure;16.1953;0.234618;1.24475e+10;
1;40;16384;16384;measure;16.066;0.242176;1.24475e+10;
1;40;16384;16384;measure;16.1786;0.232472;1.25817e+10;
1;40;16384;16384;measure;16.4163;0.223191;1.24475e+10;
1;40;16384;16384;measure;15.8371;0.24076;1.23952e+10;
1;40;16384;16384;measure;15.7953;0.168755;1.24139e+10;
1;40;16384;16384;measure;15.856;0.213754;1.24287e+10;
1;40;16384;16384;measure;17.0733;0.239905;1.24475e+10;
1;40;16384;16384;measure;15.3467;0.20559;1.24475e+10;
1;40;16384;16384;measure;14.6893;0.245435;1.25817e+10;
1;40;16384;16384;measure;16.0011;0.220191;1.24139e+10;
1;40;16384;16384;measure;16.1582;0.216402;1.24475e+10;
1;40;16384;16384;measure;16.2233;0.246342;1.24475e+10;
1;40;16384;16384;measure;16.0064;0.205748;1.24475e+10;
1;40;16384;16384;measure;16.4587;0.251681;1.24475e+10;
1;40;16384;16384;measure;21.8672;0.222652;1.24475e+10;
1;40;16384;16384;measure;16.6093;0.202516;1.25817e+10;
1;40;16384;16384;measure;16.3924;0.241017;1.25817e+10;
1;40;16384;16384;measure;15.3093;0.195611;1.24475e+10;
1;40;16384;16384;measure;15.9623;0.193853;1.24475e+10;
1;40;16384;16384;measure;16.5344;0.225528;1.24475e+10;
1;40;16384;16384;measure;16.2701;0.171818;1.24475e+10;
1;40;16384;16384;measure;15.8186;0.234984;1.16666e+10;
1;40;16384;16384;measure;16.1187;0.217142;1.24475e+10;
1;40;16384;16384;measure;15.8742;0.275339;1.25817e+10;
1;40;16384;16384;measure;16.308;0.239821;1.24139e+10;
1;40;16384;16384;measure;16.6948;0.203926;1.24475e+10;
1;40;16384;16384;measure;16.7943;0.218585;1.24139e+10;
1;40;16384;16384;measure;16.1214;0.238736;1.24139e+10;
1;40;16384;16384;measure;15.6213;0.230154;1.24139e+10;
1;40;16384;16384;measure;15.8332;0.228323;1.24139e+10;
1;40;16384;16384;measure;15.9843;0.244126;1.24475e+10;
1;40;16384;16384;measure;15.8508;0.217987;1.24475e+10;
1;40;16384;16384;measure;16.1562;0.246872;1.24475e+10;
1;40;16384;16384;measure;16.8788;0.217376;1.24475e+10;
1;40;16384;16384;measure;16.1781;0.281186;1.25817e+10;
1;40;16384;16384;measure;15.3344;0.289607;1.24475e+10;
1;40;16384;16384;measure;16.4464;0.190097;1.24139e+10;
1;40;16384;16384;measure;16.1554;0.240412;1.24475e+10;
1;40;16384;16384;measure;16.1593;0.262381;1.25817e+10;
1;40;16384;16384;measure;16.2637;0.236857;1.24475e+10;
1;40;16384;16384;measure;16.0568;0.221133;1.24475e+10;
1;40;16384;16384;measure;14.4151;0.201754;1.24139e+10;
1;40;16384;16384;measure;15.7622;0.211382;1.24475e+10;
1;40;16384;16384;measure;16.1683;0.230183;1.24475e+10;
1;40;16384;16384;measure;15.9083;0.209777;1.24139e+10;
1;40;16384;16384;measure;16.2554;0.230852;1.24139e+10;
2;40;16384;16384;measure;43.8836;6.26075;0;
2;40;16384;16384;measure;43.1906;7.0921;0;
2;40;16384;16384;measure;45.3444;6.67931;0;
2;40;16384;16384;measure;44.3536;6.00842;0;
2;40;16384;16384;measure;43.7954;6.26967;0;
2;40;16384;16384;measure;43.8045;5.76597;0;
2;40;16384;16384;measure;44.3957;4.61628;0;
2;40;16384;16384;measure;44.0738;4.16741;0;
2;40;16384;16384;measure;45.1302;5.28476;0;
2;40;16384;16384;measure;42.9861;5.44496;0;
2;40;16384;16384;measure;43.3491;6.24695;0;
2;40;16384;16384;measure;44.7377;5.91084;0;
2;40;16384;16384;measure;43.3447;6.33458;0;
2;40;16384;16384;measure;43.6482;6.30597;0;
2;40;16384;16384;measure;43.6711;6.04174;0;
2;40;16384;16384;measure;45.8169;5.07703;0;
2;40;16384;16384;measure;44.397;5.74341;0;
2;40;16384;16384;measure;43.2572;5.40478;0;
2;40;16384;16384;measure;42.868;5.60931;0;
2;40;16384;16384;measure;43.4223;5.18194;0;
2;40;16384;16384;measure;44.5268;5.73309;0;
2;40;16384;16384;measure;44.1146;6.95755;0;
2;40;16384;16384;measure;43.6755;5.20533;0;
2;40;16384;16384;measure;43.8177;5.21383;0;
2;40;16384;16384;measure;44.4222;6.06266;0;
2;40;16384;16384;measure;43.1845;6.18595;0;
2;40;16384;16384;measure;45.2276;6.12586;0;
2;40;16384;16384;measure;44.4728;5.30944;0;
2;40;16384;16384;measure;43.9769;5.66291;0;
2;40;16384;16384;measure;43.5465;6.12478;0;
2;40;16384;16384;measure;44.1257;5.91422;0;
2;40;16384;16384;measure;42.7593;6.01693;0;
2;40;16384;16384;measure;44.0556;6.10082;0;
2;40;16384;16384;measure;43.4061;6.36492;0;
2;40;16384;16384;measure;44.1343;6.73454;0;
2;40;16384;16384;measure;44.4502;6.52548;0;
2;40;16384;16384;measure;44.1371;5.01202;0;
2;40;16384;16384;measure;45.3694;6.63912;0;
2;40;16384;16384;measure;44.4124;5.54349;0;
2;40;16384;16384;measure;43.3627;4.58914;0;
2;40;16384;16384;measure;44.3132;5.87659;0;
2;40;16384;16384;measure;44.0699;6.0805;0;
2;40;16384;16384;measure;44.4638;5.72492;0;
2;40;16384;16384;measure;44.1586;5.68325;0;
2;40;16384;16384;measure;43.7682;5.40876;0;
2;40;16384;16384;measure;43.6617;6.33701;0;
2;40;16384;16384;measure;44.0086;6.4917;0;
2;40;16384;16384;measure;44.8014;5.25543;0;
2;40;16384;16384;measure;44.8531;5.96288;0;
2;40;16384;16384;measure;43.5209;5.77272;0;
4;40;16384;16384;measure;24.5031;4.95018;0;
4;40;16384;16384;measure;25.0139;4.11815;0;
4;40;16384;16384;measure;25.2299;5.04972;0;
4;40;16384;16384;measure;25.3221;4.55011;0;
4;40;16384;16384;measure;25.101;4.75399;0;
4;40;16384;16384;measure;24.917;4.04922;0;
4;40;16384;16384;measure;23.9622;4.41937;0;
4;40;16384;16384;measure;24.4505;4.85534;0;
4;40;16384;16384;measure;24.7643;4.45354;0;
4;40;16384;16384;measure;24.3231;4.93149;0;
4;40;16384;16384;measure;24.691;3.97195;0;
4;40;16384;16384;measure;25.0559;4.94896;0;
4;40;16384;16384;measure;24.6734;4.57234;0;
4;40;16384;16384;measure;24.4507;4.50242;0;
4;40;16384;16384;measure;24.279;3.75755;0;
4;40;16384;16384;measure;24.6514;4.28236;0;
4;40;16384;16384;measure;24.4361;4.37552;0;
4;40;16384;16384;measure;23.9508;4.29275;0;
4;40;16384;16384;measure;25.2993;4.68586;0;
4;40;16384;16384;measure;23.8881;4.82452;0;
4;40;16384;16384;measure;24.564;5.25524;0;
4;40;16384;16384;measure;24.8899;5.01555;0;
