n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
40;16384;16384;measure;scatter;5.39351;4.49267;0.900829;0.200409;0.112072;0.000126458;0.168273;0.111816;0.110724;8.59709e-05;0.197323;
40;16384;16384;measure;scatter;5.37624;4.46473;0.911498;0.200586;0.112078;0.00011228;0.168401;0.114441;0.110734;8.32409e-05;0.205063;
40;16384;16384;measure;scatter;5.4265;4.47512;0.951372;0.195103;0.164844;0.000121129;0.167616;0.11256;0.112817;9.2651e-05;0.19822;
40;16384;16384;measure;scatter;5.4063;4.49447;0.911816;0.193446;0.119802;0.000124179;0.171169;0.111704;0.110682;8.72649e-05;0.204802;
40;16384;16384;measure;scatter;5.41498;4.51661;0.898355;0.1947;0.109341;7.5951e-05;0.168285;0.112772;0.114258;8.87578e-05;0.198835;
40;16384;16384;measure;scatter;5.42211;4.48696;0.935141;0.19669;0.149316;0.000111692;0.166708;0.11362;0.110709;8.61951e-05;0.1979;
40;16384;16384;measure;scatter;5.39931;4.47734;0.921956;0.197307;0.133444;7.61058e-05;0.168187;0.112155;0.110725;9.24279e-05;0.199968;
40;16384;16384;measure;scatter;5.396;4.48607;0.909919;0.200848;0.122822;9.38461e-05;0.168654;0.112154;0.110842;0.000105513;0.1944;
40;16384;16384;measure;scatter;5.40905;4.48732;0.92172;0.193709;0.133794;0.000104357;0.16852;0.11182;0.113976;9.3719e-05;0.199703;
40;16384;16384;measure;scatter;5.39548;4.48678;0.908688;0.196839;0.119921;8.33981e-05;0.168769;0.113115;0.110768;9.53942e-05;0.199098;
40;16384;16384;measure;scatter;5.44881;4.53959;0.909209;0.196929;0.110403;7.5714e-05;0.171176;0.112329;0.114155;8.9003e-05;0.204053;
40;16384;16384;measure;scatter;5.37902;4.46722;0.911784;0.201215;0.111372;0.000123132;0.171276;0.111913;0.113999;8.4789e-05;0.201802;
40;16384;16384;measure;scatter;5.41163;4.5098;0.901811;0.202292;0.112265;6.5248e-05;0.169033;0.114487;0.110883;9.47951e-05;0.192691;
40;16384;16384;measure;scatter;5.47636;4.48448;0.991874;0.202072;0.182683;6.5668e-05;0.170422;0.131049;0.110576;0.000102403;0.194904;
40;16384;16384;measure;scatter;5.41776;4.51803;0.899724;0.194936;0.108103;0.000124382;0.168062;0.112773;0.114397;8.647e-05;0.201243;
40;16384;16384;measure;scatter;5.44026;4.53567;0.904572;0.194392;0.114536;0.000113293;0.168585;0.112105;0.110617;0.000130785;0.204093;
40;16384;16384;measure;scatter;5.51424;4.53195;0.982276;0.193688;0.176218;0.000118421;0.17077;0.131423;0.110911;0.00107374;0.198073;
40;16384;16384;measure;scatter;5.44576;4.48188;0.963861;0.198598;0.170596;0.000116916;0.167753;0.111742;0.114151;7.7317e-05;0.200827;
40;16384;16384;measure;scatter;5.39925;4.47298;0.926259;0.19817;0.112763;0.000111024;0.16899;0.130868;0.11044;0.000113071;0.204804;
40;16384;16384;measure;scatter;5.3748;4.47083;0.903951;0.196136;0.1115;9.20061e-05;0.168841;0.111328;0.110693;9.13178e-05;0.205269;
40;16384;16384;measure;scatter;5.39748;4.48649;0.910964;0.193307;0.119998;0.000113305;0.169003;0.11241;0.111084;8.0246e-05;0.20497;
40;16384;16384;measure;scatter;5.39568;4.48415;0.911522;0.195099;0.11661;0.000115475;0.168373;0.111915;0.114252;8.26379e-05;0.205074;
40;16384;16384;measure;scatter;5.48291;4.5119;0.971001;0.203205;0.156668;7.82891e-05;0.167715;0.130229;0.113871;0.000101614;0.199133;
40;16384;16384;measure;scatter;5.38893;4.4873;0.901614;0.198363;0.112094;9.1274e-05;0.168345;0.111864;0.110373;8.6575e-05;0.200398;
40;16384;16384;measure;scatter;5.46261;4.50928;0.953319;0.20121;0.138586;7.66229e-05;0.170906;0.131563;0.11438;0.00101212;0.195586;
40;16384;16384;measure;scatter;5.43202;4.50093;0.931077;0.193612;0.124656;0.0001045;0.168483;0.130735;0.113744;0.000103312;0.19964;
40;16384;16384;measure;scatter;5.39567;4.48551;0.910148;0.202241;0.111604;8.29489e-05;0.17095;0.11104;0.114316;8.8685e-05;0.199825;
40;16384;16384;measure;scatter;5.38683;4.4594;0.927419;0.198159;0.109822;8.76361e-05;0.168482;0.134144;0.114167;9.71078e-05;0.20246;
40;16384;16384;measure;scatter;5.37655;4.47757;0.89896;0.193259;0.109265;8.8624e-05;0.168379;0.112562;0.111336;8.57781e-05;0.203985;
40;16384;16384;measure;scatter;5.41333;4.49093;0.922393;0.198003;0.136014;6.51481e-05;0.168538;0.113122;0.11079;8.17508e-05;0.195779;
40;16384;16384;measure;scatter;5.42598;4.50524;0.920717;0.197718;0.133435;0.000118857;0.168227;0.111539;0.11106;9.1197e-05;0.198528;
40;16384;16384;measure;scatter;5.41031;4.49897;0.911325;0.2038;0.108208;8.01599e-05;0.171321;0.112655;0.114375;8.5782e-05;0.200799;
40;16384;16384;measure;scatter;5.38724;4.47972;0.907509;0.198506;0.110578;8.80952e-05;0.170971;0.110986;0.110714;9.53039e-05;0.20557;
40;16384;16384;measure;scatter;5.38697;4.47754;0.909418;0.197548;0.111533;8.24919e-05;0.168207;0.112201;0.114337;8.02078e-05;0.205429;
40;16384;16384;measure;scatter;5.41103;4.48584;0.925175;0.194451;0.111047;6.1085e-05;0.170947;0.132421;0.113789;0.00100627;0.201452;
40;16384;16384;measure;scatter;5.45922;4.50233;0.956871;0.201058;0.133134;7.11721e-05;0.1708;0.13394;0.113701;9.86399e-05;0.204069;
40;16384;16384;measure;scatter;5.38894;4.47762;0.911302;0.194751;0.110962;6.21472e-05;0.167188;0.129372;0.110627;9.86331e-05;0.198241;
40;16384;16384;measure;scatter;5.47835;4.51516;0.963177;0.195887;0.159449;8.5789e-05;0.16826;0.132004;0.110444;0.00103382;0.196013;
40;16384;16384;measure;scatter;5.46996;4.51406;0.955889;0.202395;0.148641;6.98841e-05;0.16876;0.132811;0.11051;0.000106842;0.192595;
40;16384;16384;measure;scatter;5.41804;4.49563;0.922398;0.202119;0.131335;7.99452e-05;0.16811;0.110749;0.11065;8.82728e-05;0.199267;
40;16384;16384;measure;scatter;5.38179;4.47113;0.910649;0.204365;0.108126;0.000115407;0.168783;0.113758;0.113006;7.46071e-05;0.20242;
40;16384;16384;measure;scatter;5.41708;4.47864;0.938432;0.200274;0.127425;0.000114782;0.168671;0.126617;0.112039;0.000104399;0.203186;
40;16384;16384;measure;scatter;5.4543;4.52587;0.928415;0.196704;0.112105;0.000105653;0.168179;0.131708;0.117563;0.00102189;0.201029;
40;16384;16384;measure;scatter;5.42262;4.49026;0.932353;0.198441;0.138442;6.08391e-05;0.166371;0.111659;0.117434;8.42111e-05;0.199861;
40;16384;16384;measure;scatter;5.42545;4.50439;0.921047;0.195127;0.127358;9.18428e-05;0.171284;0.112516;0.117224;7.3235e-05;0.197374;
40;16384;16384;measure;scatter;5.38398;4.48146;0.902505;0.194299;0.112135;8.81539e-05;0.168026;0.113265;0.110692;8.2925e-05;0.203916;
40;16384;16384;measure;scatter;5.39022;4.48354;0.906663;0.202933;0.114934;0.000111974;0.168307;0.112085;0.111036;7.55081e-05;0.19718;
40;16384;16384;measure;scatter;5.3901;4.48474;0.905352;0.201773;0.111759;8.26269e-05;0.171148;0.111889;0.110878;9.11991e-05;0.197731;
40;16384;16384;measure;scatter;5.43625;4.48089;0.955349;0.194777;0.14862;8.91269e-05;0.168365;0.128848;0.117671;0.000108711;0.196871;
40;16384;16384;measure;scatter;5.40877;4.49031;0.91845;0.19858;0.132194;8.288e-05;0.168206;0.111669;0.11059;9.29369e-05;0.197036;
40;16384;16384;measure;scatter;5.16333;2.70179;2.46152;0.120913;0.0524672;0.973374;0.108911;0.057139;0.0568131;0.981194;0.110711;
40;16384;16384;measure;scatter;5.12141;2.71097;2.41043;0.125832;0.0518069;0.92099;0.105586;0.0732832;0.0565754;0.970916;0.105436;
40;16384;16384;measure;scatter;5.20451;2.76286;2.44164;0.101269;0.0538393;0.94428;0.104041;0.0712331;0.0584546;0.990804;0.117716;
