n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
40;16384;16384;measure;scatter;3.21312;2.47096;0.742147;0.108807;0.114696;0.000164277;0.151672;0.118608;0.112762;0.000136833;0.135302;
40;16384;16384;measure;scatter;3.27273;2.459;0.813723;0.110709;0.115935;0.000105201;0.149716;0.119337;0.123555;0.000137589;0.194228;
40;16384;16384;measure;scatter;3.21594;2.46529;0.750639;0.109767;0.113722;5.9217e-05;0.151066;0.128199;0.112434;0.000108732;0.135284;
40;16384;16384;measure;scatter;3.21608;2.4627;0.753378;0.108412;0.111941;7.45601e-05;0.14795;0.131578;0.116483;0.000108058;0.136831;
40;16384;16384;measure;scatter;3.22876;2.49253;0.736215;0.108881;0.114313;5.1701e-05;0.149046;0.113048;0.113708;0.000110506;0.137057;
40;16384;16384;measure;scatter;3.20464;2.4548;0.74982;0.110046;0.112436;0.000115972;0.152873;0.121116;0.117245;0.000114838;0.135873;
40;16384;16384;measure;scatter;3.20362;2.457;0.746561;0.10743;0.117063;7.6954e-05;0.151636;0.117762;0.114537;0.000125863;0.137931;
40;16384;16384;measure;scatter;3.22147;2.46133;0.760134;0.108524;0.111924;5.71262e-05;0.14878;0.136255;0.116919;0.00106186;0.136612;
40;16384;16384;measure;scatter;3.29333;2.49467;0.798639;0.110883;0.112935;0.000112428;0.148495;0.11351;0.119591;0.000152215;0.19296;
40;16384;16384;measure;scatter;3.28285;2.47853;0.804309;0.109423;0.11524;7.21859e-05;0.152025;0.120945;0.114652;0.000141586;0.191811;
40;16384;16384;measure;scatter;3.2483;2.49923;0.749056;0.109031;0.113506;0.00010866;0.148667;0.117881;0.116697;0.000121538;0.143043;
40;16384;16384;measure;scatter;3.29566;2.49067;0.804975;0.109027;0.114821;6.859e-05;0.151188;0.116259;0.118752;0.000116208;0.194744;
40;16384;16384;measure;scatter;3.26326;2.49614;0.767116;0.113059;0.113714;0.000112329;0.150179;0.135203;0.11223;9.96271e-05;0.142518;
40;16384;16384;measure;scatter;3.20854;2.46147;0.747059;0.108624;0.115673;4.8202e-05;0.151451;0.118411;0.117522;0.000146057;0.135184;
40;16384;16384;measure;scatter;3.23508;2.48378;0.751284;0.110328;0.115199;0.000100265;0.150211;0.114443;0.121584;0.000137195;0.139282;
40;16384;16384;measure;scatter;3.29137;2.47063;0.82073;0.109314;0.117884;0.000114063;0.150881;0.132811;0.117008;0.000100219;0.192617;
40;16384;16384;measure;scatter;3.28366;2.48671;0.796943;0.107654;0.113738;0.00012057;0.148392;0.120909;0.112086;0.000100888;0.193943;
40;16384;16384;measure;scatter;3.2019;2.45799;0.743897;0.109976;0.11853;0.000117203;0.150788;0.117608;0.11307;0.000120125;0.133687;
40;16384;16384;measure;scatter;3.20555;2.46392;0.741612;0.110929;0.115947;7.47868e-05;0.151496;0.113662;0.113629;0.0001504;0.135724;
40;16384;16384;measure;scatter;3.24214;2.49542;0.746707;0.109014;0.116334;9.75269e-05;0.150562;0.114949;0.116672;0.00014222;0.138936;
40;16384;16384;measure;scatter;3.21521;2.46549;0.749712;0.10946;0.116062;5.1114e-05;0.15251;0.117169;0.118881;0.000134616;0.135445;
40;16384;16384;measure;scatter;3.26556;2.491;0.774546;0.109206;0.115093;4.92549e-05;0.149504;0.137955;0.120336;9.07648e-05;0.142311;
40;16384;16384;measure;scatter;3.22042;2.48194;0.738466;0.109408;0.116316;5.4281e-05;0.149684;0.114207;0.1132;0.000151503;0.135445;
40;16384;16384;measure;scatter;3.25022;2.48509;0.765118;0.108214;0.114111;7.11111e-05;0.149467;0.136416;0.115472;0.00104502;0.140324;
40;16384;16384;measure;scatter;3.22835;2.48512;0.743225;0.108666;0.113024;8.2498e-05;0.149334;0.11894;0.11686;0.000121921;0.136197;
40;16384;16384;measure;scatter;3.23588;2.48732;0.748548;0.109352;0.115933;7.39701e-05;0.149674;0.11382;0.116965;0.000143715;0.142585;
40;16384;16384;measure;scatter;3.217;2.46829;0.748698;0.110298;0.113365;5.07059e-05;0.151591;0.116131;0.121077;0.000137433;0.136049;
40;16384;16384;measure;scatter;3.28314;2.48932;0.793815;0.107134;0.114896;7.21959e-05;0.146179;0.113464;0.120937;0.000177306;0.190956;
40;16384;16384;measure;scatter;3.29161;2.47451;0.817093;0.110118;0.118416;0.00010496;0.150325;0.131957;0.115715;0.00010818;0.190348;
40;16384;16384;measure;scatter;3.22029;2.47861;0.74167;0.109285;0.115199;0.000141136;0.150606;0.117536;0.114018;0.000144985;0.134741;
40;16384;16384;measure;scatter;3.29346;2.47662;0.816832;0.10949;0.116284;9.2037e-05;0.150162;0.134773;0.115772;0.000102574;0.190155;
40;16384;16384;measure;scatter;3.24124;2.4652;0.77603;0.108406;0.116018;0.000115234;0.151482;0.136175;0.12025;9.93651e-05;0.143485;
40;16384;16384;measure;scatter;3.21297;2.46337;0.749592;0.111194;0.116456;6.876e-05;0.152214;0.117395;0.113214;0.00012111;0.138929;
40;16384;16384;measure;scatter;3.21125;2.47049;0.740747;0.109093;0.111232;7.47868e-05;0.150476;0.121296;0.113139;0.000128224;0.135306;
40;16384;16384;measure;scatter;3.20605;2.46768;0.738362;0.109132;0.115297;7.62541e-05;0.151556;0.113467;0.113303;0.000125025;0.135406;
40;16384;16384;measure;scatter;3.22824;2.48439;0.743833;0.110758;0.1124;0.000122158;0.149891;0.114631;0.11798;0.000123985;0.137927;
40;16384;16384;measure;scatter;3.19962;2.4637;0.735908;0.108504;0.111751;6.01779e-05;0.147105;0.118196;0.114306;0.000149357;0.135837;
40;16384;16384;measure;scatter;3.19652;2.45808;0.738427;0.10976;0.112318;0.000100425;0.148214;0.119183;0.114387;0.000140331;0.134324;
40;16384;16384;measure;scatter;3.24055;2.48259;0.757951;0.110548;0.115702;8.38409e-05;0.155278;0.118729;0.119814;0.000120231;0.137676;
