n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
40;16384;16384;measure;scatter;5.45203;4.54468;0.90733;0.20567;0.11055;0.000122793;0.168784;0.112131;0.111267;8.51459e-05;0.19872;
40;16384;16384;measure;scatter;5.44288;4.52512;0.917736;0.195036;0.116125;0.000100916;0.168184;0.138629;0.110422;0.000100842;0.189138;
40;16384;16384;measure;scatter;5.40354;4.47202;0.931509;0.201609;0.145152;6.20189e-05;0.171086;0.112434;0.110659;8.78822e-05;0.190418;
40;16384;16384;measure;scatter;5.43461;4.47838;0.956212;0.197052;0.176414;8.63811e-05;0.170158;0.111926;0.110978;8.57031e-05;0.189513;
40;16384;16384;measure;scatter;5.4111;4.50721;0.90388;0.202764;0.118182;8.42931e-05;0.168498;0.111718;0.110671;8.89171e-05;0.191873;
40;16384;16384;measure;scatter;5.46446;4.5294;0.935047;0.197154;0.130675;6.15879e-05;0.168303;0.13484;0.110629;0.000110236;0.193274;
40;16384;16384;measure;scatter;5.41918;4.46676;0.952401;0.195899;0.174328;8.2806e-05;0.166716;0.111588;0.113996;8.16612e-05;0.18971;
40;16384;16384;measure;scatter;5.46771;4.52208;0.945617;0.203644;0.154232;6.51141e-05;0.17102;0.113076;0.11068;0.000112656;0.192786;
40;16384;16384;measure;scatter;5.42912;4.50004;0.929067;0.196839;0.146196;0.000107023;0.170441;0.112629;0.110753;9.69539e-05;0.192004;
40;16384;16384;measure;scatter;5.42019;4.50535;0.914828;0.198167;0.134457;0.000116031;0.168401;0.112474;0.11074;7.8121e-05;0.190395;
40;16384;16384;measure;scatter;5.47012;4.50757;0.962542;0.195602;0.179268;6.46431e-05;0.170537;0.112003;0.117332;7.96211e-05;0.187655;
40;16384;16384;measure;scatter;5.46227;4.52331;0.938942;0.195976;0.150253;7.76639e-05;0.168346;0.112148;0.114325;8.17759e-05;0.197734;
40;16384;16384;measure;scatter;5.43794;4.47606;0.96187;0.203836;0.164102;8.5965e-05;0.170288;0.112638;0.113945;0.000124673;0.196851;
40;16384;16384;measure;scatter;5.44558;4.52089;0.924682;0.195563;0.111828;8.42081e-05;0.171421;0.12889;0.117295;9.9571e-05;0.199501;
40;16384;16384;measure;scatter;5.46674;4.49468;0.972049;0.20624;0.166596;6.9407e-05;0.167867;0.12673;0.113769;9.8451e-05;0.190679;
40;16384;16384;measure;scatter;5.41885;4.49346;0.925348;0.195936;0.14835;6.91409e-05;0.166573;0.110524;0.110642;8.34751e-05;0.19317;
40;16384;16384;measure;scatter;5.4586;4.51416;0.944416;0.202404;0.142291;7.80229e-05;0.171404;0.12878;0.110492;9.09711e-05;0.188876;
40;16384;16384;measure;scatter;5.48629;4.53467;0.951613;0.196666;0.150402;8.3395e-05;0.170916;0.129173;0.113813;0.000111116;0.190448;
40;16384;16384;measure;scatter;5.45499;4.52957;0.925408;0.198284;0.118393;0.000117222;0.168182;0.129332;0.117214;9.71549e-05;0.193789;
40;16384;16384;measure;scatter;5.4328;4.50376;0.92903;0.196945;0.148146;9.78161e-05;0.166039;0.111802;0.114088;7.4811e-05;0.191836;
40;16384;16384;measure;scatter;5.4834;4.51137;0.972013;0.204842;0.180525;7.85422e-05;0.16793;0.111528;0.110627;8.5894e-05;0.196396;
40;16384;16384;measure;scatter;5.46272;4.52681;0.935891;0.195572;0.150934;8.73159e-05;0.170854;0.111549;0.115568;8.48118e-05;0.191241;
40;16384;16384;measure;scatter;5.43998;4.51963;0.920341;0.195275;0.134227;8.0528e-05;0.168054;0.110141;0.117317;8.1182e-05;0.195166;
40;16384;16384;measure;scatter;5.43365;4.49244;0.94119;0.20047;0.151072;0.000113223;0.170689;0.112063;0.11408;8.2697e-05;0.19262;
40;16384;16384;measure;scatter;5.44954;4.49782;0.951715;0.194974;0.165965;0.000117561;0.167387;0.111268;0.113869;8.08751e-05;0.198054;
40;16384;16384;measure;scatter;5.49083;4.52532;0.965493;0.203907;0.178741;0.000104513;0.170299;0.111172;0.110889;8.60761e-05;0.190295;
40;16384;16384;measure;scatter;5.42166;4.52551;0.896133;0.19618;0.111063;8.25361e-05;0.171064;0.111114;0.110749;8.39171e-05;0.195796;
40;16384;16384;measure;scatter;5.4309;4.48751;0.943383;0.193547;0.132381;0.000110603;0.171133;0.131644;0.117775;0.000110788;0.196682;
40;16384;16384;measure;scatter;5.44289;4.484;0.958882;0.204029;0.172351;7.6829e-05;0.167653;0.11132;0.110566;8.7834e-05;0.192799;
40;16384;16384;measure;scatter;5.4115;4.50425;0.907239;0.204366;0.11089;6.4384e-05;0.171021;0.111668;0.114171;8.3321e-05;0.194974;
40;16384;16384;measure;scatter;5.40546;4.48348;0.921965;0.202663;0.108939;0.000121216;0.168538;0.133435;0.110454;0.000123707;0.19769;
40;16384;16384;measure;scatter;5.4399;4.49759;0.942301;0.196568;0.158278;8.2359e-05;0.168091;0.111229;0.110881;8.34691e-05;0.197089;
40;16384;16384;measure;scatter;5.50327;4.5301;0.973156;0.203253;0.181276;6.7099e-05;0.167991;0.112307;0.11454;8.34728e-05;0.193638;
40;16384;16384;measure;scatter;5.45657;4.48913;0.96743;0.191887;0.180151;5.90489e-05;0.167493;0.12773;0.110388;0.000991421;0.18873;
40;16384;16384;measure;scatter;5.43813;4.49499;0.943101;0.202779;0.157148;7.20408e-05;0.167563;0.112221;0.110721;8.21978e-05;0.192515;
