N;loop;plan;plan_fftw_2D_r2c;plan_stride_r2c;plan_stride_c2c;plan_trans_r2c;plan_trans_c2c;plan_loop_r2c;plan_loop_c2c;
2;20;patient;7265.49;2.84;3.6;3.1;1941.01;415.832;1604.18;
4;20;patient;5554.12;2.67;6.26;2.74;1934.89;373.721;1592.57;
8;20;patient;5523.5;5.29;3.311;5.331;2084.45;20.93;1663.59;
16;20;patient;6426.56;2.69;6.73;2.96;2152.78;432.693;1560.7;
32;20;patient;103941;2.62;3.39;3.11;49012.2;15112.1;36743.2;
64;20;patient;220814;2.8;3.4;3.41;100789;43887;80872.8;
128;20;patient;499261;16.021;22.38;16.441;247221;100539;206349;
256;20;patient;1.14144e+06;28.071;24.521;29.031;483554;258187;402016;
512;20;patient;2.2036e+06;30.811;39.661;30.841;996119;478593;4193.31;
1024;20;patient;6.0644e+06;30.19;23.511;31.291;2.37406e+06;841768;8957.44;
2048;2;patient;2.94746e+07;32.281;30.59;41.302;6.46791e+06;1.32375e+06;16765.7;
4096;2;patient;1.20075e+08;44.342;63.952;122.344;2.70198e+07;150026;46146.3;
8192;2;patient;3.06073e+08;37.081;33.361;49.921;5.88836e+07;2.80023e+06;95259.5;
16384;2;patient;4.82193e+08;62.702;36.531;123.754;9.47733e+07;6.2614e+06;7.91722e+06;
32768;2;patient;1.45726e+09;41.301;46.221;45.811;2.32753e+08;1.18928e+07;1.55934e+07;
