N;loop;plan;fftw_2D_total;stride_total;stride_r2c;stride_c2c;trans_total;trans_r2c;trans_local;trans_c2c;loop_total;loop_r2c;loop_local;loop_c2c;
2;20;estimate;0.08755;0.078;0.04;0.038;0.127;0.0485;0.034;0.0445;0.14;0.058;0.033;0.049;
4;20;estimate;0.1535;0.1735;0.088;0.0855;0.255;0.09035;0.07705;0.0876;0.372;0.16255;0.08245;0.127;
8;20;estimate;0.4027;0.1861;0.085;0.1011;0.385;0.13;0.0955;0.1595;0.3785;0.173;0.0665;0.139;
16;20;estimate;1.53655;0.70955;0.324;0.38555;0.8539;0.3234;0.1475;0.383;1.16345;0.5189;0.1685;0.47605;
32;20;estimate;4.5022;5.27165;2.41555;2.8561;5.64325;2.2185;0.69005;2.7347;6.4817;2.7926;0.8371;2.852;
64;20;estimate;12.53;12.628;5.7888;6.8392;14.614;5.79875;1.457;7.35825;18.2684;6.3841;1.8642;10.0201;
128;20;estimate;112.902;119.031;43.6827;75.3487;125.666;43.4277;6.6222;75.6163;151.686;52.6135;23.3862;75.6867;
256;20;estimate;487.317;423.511;221.018;202.493;468.451;230.892;28.675;208.884;643.911;227.989;212.07;203.853;
512;20;estimate;2142.19;2133.56;1174.95;958.613;2198.83;1169.54;138.195;891.092;2966.31;1218.1;852.824;895.395;
1024;20;estimate;8547.31;8726.29;4217.99;4508.29;9122.04;4208.91;677.456;4235.67;10441.5;4789.13;1221.02;4431.34;
2048;2;estimate;50320.3;50843.1;18630.4;32212.6;48320;18641.7;10236.8;19441.6;44879.2;20137.7;4740.13;20001.3;
4096;2;estimate;319567;322500;94376.7;228123;258207;95376.5;55767.7;107063;264889;101969;54195.7;108724;
8192;2;estimate;1.28892e+06;1.33226e+06;380708;951547;1.08178e+06;338645;313573;429558;1.09698e+06;342002;326372;428605;
16384;2;estimate;6.67937e+06;6.71144e+06;2.61801e+06;4.09343e+06;5.81955e+06;2.63954e+06;1.34292e+06;1.83709e+06;5.82491e+06;2.47723e+06;1.53518e+06;1.81249e+06;
32768;2;estimate;3.16558e+07;3.09646e+07;1.12591e+07;1.97056e+07;3.03491e+07;1.19006e+07;6.69856e+06;1.175e+07;2.90561e+07;1.08267e+07;6.78681e+06;1.14426e+07;
