N;loop;plan;fftw_2D_total;stride_total;stride_r2c;stride_c2c;trans_total;trans_r2c;trans_local;trans_c2c;loop_total;loop_r2c;loop_local;loop_c2c;
2;20;patient;0.05445;0.0755;0.039;0.0365;0.11205;0.03905;0.035;0.038;0.137;0.0545;0.0335;0.049;
4;20;patient;0.0875;0.1075;0.0455;0.062;0.1275;0.0445;0.04;0.043;0.18685;0.08035;0.04195;0.06455;
8;20;patient;0.20655;0.23;0.14105;0.08895;0.293;0.142;0.055;0.096;0.33945;0.156;0.0594;0.12405;
16;20;patient;0.6831;0.6954;0.2909;0.4045;0.7771;0.28945;0.1342;0.35345;1.04805;0.4696;0.15195;0.4265;
32;20;patient;2.66695;2.66505;1.20355;1.4615;3.0541;1.20605;0.37175;1.4763;3.61815;1.56755;0.45155;1.59905;
64;20;patient;12.7019;12.7453;5.8041;6.9412;14.2513;5.8947;1.43955;6.9171;16.617;6.6708;1.9595;7.98675;
128;20;patient;74.1342;73.9768;34.2445;39.7323;77.4898;34.2976;5.9047;37.2875;113.902;50.0791;22.9881;40.8347;
256;20;patient;342.461;346.095;163.95;182.145;368.55;163.594;30.894;174.061;592.84;189.686;220.69;182.464;
512;20;patient;1600.97;1596.79;743.506;853.285;1678.42;742.562;141.637;794.219;2516.66;815.934;894.88;805.847;
1024;20;patient;7357.33;7417.17;3404.45;4012.72;8121.51;3452.35;683.206;3985.95;9998.43;4398.61;1240.65;4359.18;
2048;2;patient;38403.1;38479.6;18041.8;20437.8;47526.3;17920.2;10351.3;19254.8;46276.9;19655;7347.53;19274.3;
4096;2;patient;198534;198712;79201.5;119511;214705;79327.2;55027.6;80350.3;210038;80715;47430.9;81891.6;
8192;2;patient;1.15194e+06;1.1545e+06;358483;796014;999173;357473;289722;351977;1.02205e+06;359170;308827;354049;
16384;2;patient;5.1347e+06;5.36651e+06;1.63511e+06;3.7314e+06;4.41188e+06;1.48836e+06;1.45667e+06;1.46686e+06;4.46217e+06;1.50423e+06;1.48344e+06;1.4745e+06;
32768;2;patient;2.31677e+07;2.28546e+07;6.47249e+06;1.63821e+07;1.87468e+07;6.53792e+06;5.46246e+06;6.74646e+06;2.10286e+07;6.58177e+06;6.15012e+06;8.29669e+06;
