N;loop;plan;plan_fftw_2D_r2c;plan_stride_r2c;plan_stride_c2c;plan_trans_r2c;plan_trans_c2c;plan_loop_r2c;plan_loop_c2c;
2;20;estimate;5089.99;3.88;4.19;3.8;6.27;10;10.341;
4;20;estimate;614.778;5.28;6.27;5.64;15.171;26.891;21.301;
8;20;estimate;737.801;5.971;7.54;6.381;11.65;55.282;42.771;
16;20;estimate;766.412;6.11;16.941;6.57;11.431;110.373;84.542;
32;20;estimate;606.357;5.31;10.661;5.79;14.641;351.59;303.719;
64;20;estimate;617.347;3.07;7.37;5.281;26.191;496.954;229.177;
128;20;estimate;743.282;5.14;16.93;4.7;162.735;973.978;859.945;
256;20;estimate;1791.47;15.541;9.68;16.54;97.443;4496.61;929.737;
512;20;estimate;2373.81;22.89;9.661;23.231;127.124;11356.3;1962.78;
1024;20;estimate;2829.83;19.631;10.29;19.82;122.024;17837.7;3423.35;
2048;2;estimate;2552.86;16.35;8.891;17.65;91.953;36078;7701.07;
4096;2;estimate;3023.95;20.131;9.52;18.4;114.154;84237.4;16501.2;
8192;2;estimate;3227.02;21.331;22.07;22.13;133.564;163080;91920.9;
16384;2;estimate;3599.57;37.391;22.081;37.821;139.204;597633;180417;
32768;2;estimate;3946.47;40.081;22.391;40.021;144.724;1.27396e+06;381773;

