n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;1;1024;1024;estimate;0.00337191;0.00847943;
1;1;1024;1024;estimate;0.00329842;0.0113511;
1;1;1024;1024;estimate;0.00329371;0.0096815;
1;1;1024;1024;estimate;0.00276522;0.00829854;
1;1;1024;1024;estimate;0.00330762;0.0114216;
1;2;1024;1024;estimate;0.00382778;0.0104593;
1;2;1024;1024;estimate;0.00378698;0.0103693;
1;2;1024;1024;estimate;0.00379218;0.0104226;
1;2;1024;1024;estimate;0.00259956;0.0103304;
1;2;1024;1024;estimate;0.00378719;0.0104238;
1;4;1024;1024;estimate;0.00400813;0.00570179;
1;4;1024;1024;estimate;0.0040475;0.00578636;
1;4;1024;1024;estimate;0.00403175;0.00580036;
1;4;1024;1024;estimate;0.00403066;0.00579611;
1;4;1024;1024;estimate;0.00436736;0.00578335;
1;8;1024;1024;estimate;0.00453931;0.00380024;
1;8;1024;1024;estimate;0.0045308;0.00378777;
1;8;1024;1024;estimate;0.00475496;0.0038233;
1;8;1024;1024;estimate;0.0044989;0.00376674;
1;8;1024;1024;estimate;0.00451314;0.00396612;
1;16;1024;1024;estimate;0.00649481;0.00552294;
1;16;1024;1024;estimate;0.00665883;0.00544922;
1;16;1024;1024;estimate;0.00459062;0.0059311;
1;16;1024;1024;estimate;0.00489404;0.0110376;
1;16;1024;1024;estimate;0.00415571;0.00586207;
1;32;1024;1024;estimate;0.00840401;0.00813718;
1;32;1024;1024;estimate;0.00822689;0.00851517;
1;32;1024;1024;estimate;0.00851646;0.00862213;
1;32;1024;1024;estimate;0.00805712;0.00840058;
1;32;1024;1024;estimate;0.00859845;0.00865615;
1;64;1024;1024;estimate;0.0104319;0.0114331;
1;64;1024;1024;estimate;0.0105034;0.0106816;
1;64;1024;1024;estimate;0.00830991;0.0105436;
1;64;1024;1024;estimate;0.0113943;0.0103976;
1;64;1024;1024;estimate;0.00935282;0.0105391;
1;128;1024;1024;estimate;0.0153851;0.0507876;
1;128;1024;1024;estimate;0.0137947;0.0444292;
1;128;1024;1024;estimate;0.0138792;0.0241373;
1;128;1024;1024;estimate;0.0157747;0.0857269;
1;128;1024;1024;estimate;0.0154323;0.0510705;
1;256;1024;1024;estimate;0.0208103;0.325308;
1;256;1024;1024;estimate;0.0208595;0.335477;
1;256;1024;1024;estimate;0.021355;0.300998;
1;256;1024;1024;estimate;0.0222176;0.166394;
1;256;1024;1024;estimate;0.0184935;0.264639;
