n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
1;1024;1024;estimate;par;0.024085;0.0103878;0.0136897;0.00647435;0.00113105;0.00508558;0.000998699;
1;1024;1024;estimate;par;0.0155439;0.00475689;0.0107816;0.00447026;0.000811363;0.00431834;0.0011816;
1;1024;1024;estimate;par;0.0159311;0.00493766;0.0109875;0.00445986;0.000845874;0.00439585;0.00128595;
1;1024;1024;estimate;par;0.0159037;0.00492087;0.0109765;0.00453572;0.000839145;0.00432399;0.00127762;
1;1024;1024;estimate;par;0.0159078;0.00498621;0.0109094;0.00448154;0.000829323;0.00439078;0.00120773;
2;1024;1024;estimate;par;0.0110825;0.00503353;0.00603609;0.00281993;0.000521254;0.00218826;0.000506644;
2;1024;1024;estimate;par;0.0106726;0.00499948;0.00565877;0.00225443;0.0006991;0.00218359;0.000521655;
2;1024;1024;estimate;par;0.0112573;0.00512992;0.00611521;0.00225281;0.000997299;0.00223626;0.000628838;
2;1024;1024;estimate;par;0.0111;0.0050995;0.00599519;0.00223692;0.000963058;0.00218583;0.000609377;
2;1024;1024;estimate;par;0.0112122;0.00509292;0.00611286;0.00230982;0.000987448;0.00219572;0.000619878;
4;1024;1024;estimate;par;0.00893789;0.00503387;0.00389879;0.00121286;0.000632408;0.00165292;0.000400611;
4;1024;1024;estimate;par;0.010249;0.00596361;0.0042716;0.00122877;0.000720931;0.00163382;0.00068809;
4;1024;1024;estimate;par;0.00967084;0.00514791;0.00451907;0.00119215;0.000917616;0.00164927;0.000760032;
4;1024;1024;estimate;par;0.00939748;0.00510796;0.00428517;0.00143171;0.000596388;0.0016909;0.000566176;
4;1024;1024;estimate;par;0.00950067;0.0050522;0.00444363;0.00119497;0.000806584;0.00164447;0.000797603;
8;1024;1024;estimate;par;0.0101878;0.00741979;0.0027564;0.000834014;0.000652189;0.000827874;0.000442322;
8;1024;1024;estimate;par;0.00870292;0.00551457;0.0031849;0.000928327;0.000918366;0.000955098;0.000383111;
8;1024;1024;estimate;par;0.00824351;0.00550811;0.00272361;0.000765582;0.000722601;0.000827664;0.000407761;
8;1024;1024;estimate;par;0.00821986;0.00542976;0.00277939;0.00110911;0.000531246;0.000855744;0.000283288;
8;1024;1024;estimate;par;0.00862793;0.00586359;0.00276083;0.000812453;0.000724641;0.000822604;0.000401131;
16;1024;1024;estimate;par;0.00891872;0.00669628;0.00221861;0.000553646;0.000755962;0.000534985;0.000374021;
16;1024;1024;estimate;par;0.00942846;0.00707184;0.00235272;0.000526965;0.000934917;0.000529785;0.00036105;
16;1024;1024;estimate;par;0.00767749;0.00557804;0.00208686;0.000581076;0.00070462;0.000508895;0.000292268;
16;1024;1024;estimate;par;0.00734577;0.00536358;0.00196921;0.000533356;0.000552106;0.000545745;0.000338;
16;1024;1024;estimate;par;0.00942515;0.00722563;0.00219511;0.000535686;0.000816653;0.000492804;0.00034997;
32;1024;1024;estimate;par;0.00835047;0.00590073;0.00243744;0.000990778;0.000564326;0.000499915;0.000382421;
32;1024;1024;estimate;par;0.00768057;0.00547368;0.00220297;0.000650948;0.000756502;0.000427482;0.000368041;
32;1024;1024;estimate;par;0.0080229;0.00591387;0.0021053;0.000626418;0.000775382;0.000373541;0.000329959;
32;1024;1024;estimate;par;0.00800046;0.00565918;0.00232827;0.000953757;0.000608067;0.000373991;0.000392451;
32;1024;1024;estimate;par;0.00807959;0.00573648;0.00233187;0.000864584;0.000723281;0.000384581;0.00035942;
64;1024;1024;estimate;par;0.00899556;0.00592935;0.00306241;0.00117789;0.00071643;0.000656909;0.000511175;
64;1024;1024;estimate;par;0.00932923;0.00637682;0.00293856;0.00116439;0.000733322;0.000560116;0.000480724;
64;1024;1024;estimate;par;0.00897185;0.00623471;0.00273344;0.00112619;0.000662839;0.000447833;0.000496575;
64;1024;1024;estimate;par;0.010595;0.0079275;0.0026646;0.00103643;0.000637109;0.000453443;0.000537615;
64;1024;1024;estimate;par;0.00926917;0.00645232;0.00280335;0.00106617;0.00067236;0.000532915;0.000531906;
128;1024;1024;estimate;par;0.0100371;0.00628931;0.00374465;0.000995019;0.000966027;0.000884146;0.000899456;
128;1024;1024;estimate;par;0.00978663;0.0063946;0.00338788;0.000835444;0.00101496;0.000615628;0.000921846;
128;1024;1024;estimate;par;0.00953674;0.00623233;0.00329994;0.000923176;0.000876525;0.000656019;0.000844224;
128;1024;1024;estimate;par;0.00989808;0.00639049;0.00348977;0.00102953;0.000855325;0.000805643;0.000799272;
128;1024;1024;estimate;par;0.00943499;0.00587641;0.0035543;0.000992699;0.00100731;0.000652109;0.000902186;
256;1024;1024;estimate;par;0.0157062;0.0106406;0.0050607;0.0014934;0.000982888;0.00117851;0.00140589;
256;1024;1024;estimate;par;0.0279205;0.0221171;0.00579834;0.00160084;0.00144084;0.00137839;0.00137827;
256;1024;1024;estimate;par;0.0148091;0.00925118;0.00555327;0.00135001;0.00116819;0.00153127;0.00150379;
256;1024;1024;estimate;par;0.0162742;0.0108455;0.00542375;0.00136521;0.00115209;0.00141014;0.0014963;
256;1024;1024;estimate;par;0.0150978;0.00952075;0.00557288;0.00158808;0.00137415;0.00118327;0.00142738;
