n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;1024;1024;estimate;0.0978186;0.00553912;0.0922795;
1;1024;1024;estimate;0.0997225;0.00573092;0.0939916;
1;1024;1024;estimate;0.0973535;0.00547777;0.0918757;
1;1024;1024;estimate;0.0977367;0.00613786;0.0915989;
1;1024;1024;estimate;0.0951813;0.00496476;0.0902165;
2;1024;1024;estimate;0.0748254;0.004791;0.0700344;
2;1024;1024;estimate;0.074701;0.0048757;0.0698253;
2;1024;1024;estimate;0.0758894;0.00482055;0.0710689;
2;1024;1024;estimate;0.0732958;0.00475604;0.0685398;
2;1024;1024;estimate;0.0756473;0.00479415;0.0708532;
4;1024;1024;estimate;0.0700964;0.00475911;0.0653373;
4;1024;1024;estimate;0.0674239;0.00469537;0.0627285;
4;1024;1024;estimate;0.0658758;0.00478632;0.0610895;
4;1024;1024;estimate;0.0668854;0.0047374;0.062148;
4;1024;1024;estimate;0.0677278;0.0047261;0.0630017;
8;1024;1024;estimate;0.0753639;0.00698551;0.0683783;
8;1024;1024;estimate;0.0752518;0.00562971;0.0696221;
8;1024;1024;estimate;0.0731381;0.00549515;0.0676429;
8;1024;1024;estimate;0.0725326;0.00490831;0.0676243;
8;1024;1024;estimate;0.0758507;0.00627186;0.0695789;
16;1024;1024;estimate;0.0705977;0.0051958;0.0654019;
16;1024;1024;estimate;0.0711645;0.00621386;0.0649507;
16;1024;1024;estimate;0.0751125;0.00530932;0.0698032;
16;1024;1024;estimate;0.0736688;0.0053496;0.0683192;
16;1024;1024;estimate;0.0752184;0.00627615;0.0689423;
32;1024;1024;estimate;0.0884115;0.00553395;0.0828775;
32;1024;1024;estimate;0.0912506;0.00534472;0.0859058;
32;1024;1024;estimate;0.0893608;0.00534792;0.0840128;
32;1024;1024;estimate;0.0907714;0.0061569;0.0846145;
32;1024;1024;estimate;0.0856705;0.00532181;0.0803487;
64;1024;1024;estimate;0.13145;0.0060533;0.125397;
64;1024;1024;estimate;0.129196;0.00645206;0.122744;
64;1024;1024;estimate;0.134179;0.00616798;0.128011;
64;1024;1024;estimate;0.128168;0.0061182;0.12205;
64;1024;1024;estimate;0.132821;0.00606646;0.126755;
128;1024;1024;estimate;0.144728;0.00627336;0.138454;
128;1024;1024;estimate;0.143811;0.00759638;0.136215;
128;1024;1024;estimate;0.139626;0.00731506;0.132311;
128;1024;1024;estimate;0.143768;0.00748952;0.136279;
128;1024;1024;estimate;0.145735;0.0072646;0.13847;
256;1024;1024;estimate;0.163851;0.00939897;0.154452;
256;1024;1024;estimate;0.157438;0.0106859;0.146752;
256;1024;1024;estimate;0.196129;0.0109537;0.185175;
256;1024;1024;estimate;0.153167;0.0107212;0.142446;
256;1024;1024;estimate;0.163861;0.011282;0.152579;
