n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
1;1024;1024;estimate;scatter;0.220482;0.0114494;0.209032;
1;1024;1024;estimate;scatter;0.217092;0.0102343;0.206857;
1;1024;1024;estimate;scatter;0.219002;0.010238;0.208764;
1;1024;1024;estimate;scatter;0.218237;0.0103185;0.207919;
1;1024;1024;estimate;scatter;0.219791;0.0103984;0.209393;
2;1024;1024;estimate;scatter;0.214646;0.0101974;0.204449;
2;1024;1024;estimate;scatter;0.211144;0.0102536;0.20089;
2;1024;1024;estimate;scatter;0.214166;0.0100273;0.204138;
2;1024;1024;estimate;scatter;0.213332;0.010225;0.203107;
2;1024;1024;estimate;scatter;0.21461;0.0115335;0.203076;
4;1024;1024;estimate;scatter;0.20902;0.0101427;0.198877;
4;1024;1024;estimate;scatter;0.213279;0.0102179;0.203061;
4;1024;1024;estimate;scatter;0.207758;0.0103023;0.197456;
4;1024;1024;estimate;scatter;0.211382;0.0102365;0.201145;
4;1024;1024;estimate;scatter;0.20966;0.0103281;0.199331;
8;1024;1024;estimate;scatter;0.232706;0.0117821;0.220924;
8;1024;1024;estimate;scatter;0.23806;0.0133778;0.224682;
8;1024;1024;estimate;scatter;0.238875;0.0115028;0.227372;
8;1024;1024;estimate;scatter;0.232595;0.0112205;0.221375;
8;1024;1024;estimate;scatter;0.238664;0.0127944;0.22587;
16;1024;1024;estimate;scatter;0.214344;0.0110836;0.203261;
16;1024;1024;estimate;scatter;0.219432;0.0123286;0.207103;
16;1024;1024;estimate;scatter;0.211812;0.0123907;0.199421;
16;1024;1024;estimate;scatter;0.216121;0.0125218;0.203599;
16;1024;1024;estimate;scatter;0.217809;0.0140341;0.203775;
32;1024;1024;estimate;scatter;0.199261;0.0130553;0.186205;
32;1024;1024;estimate;scatter;0.201559;0.013344;0.188215;
32;1024;1024;estimate;scatter;0.199615;0.0134767;0.186138;
32;1024;1024;estimate;scatter;0.19988;0.0134419;0.186438;
32;1024;1024;estimate;scatter;0.202111;0.013502;0.188609;
64;1024;1024;estimate;scatter;0.212716;0.0141665;0.19855;
64;1024;1024;estimate;scatter;0.209246;0.0138064;0.19544;
64;1024;1024;estimate;scatter;0.213127;0.0141993;0.198927;
64;1024;1024;estimate;scatter;0.210214;0.014097;0.196117;
64;1024;1024;estimate;scatter;0.214324;0.0144402;0.199884;
128;1024;1024;estimate;scatter;0.276459;0.0144258;0.262034;
128;1024;1024;estimate;scatter;0.267564;0.0171287;0.250436;
128;1024;1024;estimate;scatter;0.273648;0.0172344;0.256413;
128;1024;1024;estimate;scatter;0.277481;0.0175258;0.259955;
128;1024;1024;estimate;scatter;0.274159;0.0170025;0.257156;
256;1024;1024;estimate;scatter;0.449668;0.0245535;0.425115;
256;1024;1024;estimate;scatter;0.448718;0.0239999;0.424718;
256;1024;1024;estimate;scatter;0.453936;0.0244858;0.42945;
256;1024;1024;estimate;scatter;0.436852;0.0221364;0.414716;
256;1024;1024;estimate;scatter;0.44436;0.0206859;0.423674;
