n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;1024;1024;estimate;0.0992612;0.00598034;0.0932809;
1;1024;1024;estimate;0.0993882;0.00549669;0.0938915;
1;1024;1024;estimate;0.0981856;0.00614643;0.0920392;
1;1024;1024;estimate;0.0977551;0.00529661;0.0924585;
1;1024;1024;estimate;0.0973551;0.0052563;0.0920988;
2;1024;1024;estimate;0.070788;0.00516182;0.0656261;
2;1024;1024;estimate;0.0774051;0.00510697;0.0722981;
2;1024;1024;estimate;0.074608;0.00512744;0.0694805;
2;1024;1024;estimate;0.0724274;0.00527338;0.067154;
2;1024;1024;estimate;0.0767748;0.00567621;0.0710986;
4;1024;1024;estimate;0.0679972;0.00497712;0.06302;
4;1024;1024;estimate;0.0682147;0.00523605;0.0629786;
4;1024;1024;estimate;0.0679952;0.00526317;0.062732;
4;1024;1024;estimate;0.0681468;0.0052566;0.0628902;
4;1024;1024;estimate;0.0690549;0.00522211;0.0638328;
8;1024;1024;estimate;0.0739984;0.00541034;0.0685881;
8;1024;1024;estimate;0.0719321;0.00541716;0.066515;
8;1024;1024;estimate;0.0745429;0.00715968;0.0673832;
8;1024;1024;estimate;0.0761757;0.00698122;0.0691945;
8;1024;1024;estimate;0.0760014;0.00674152;0.0692599;
16;1024;1024;estimate;0.0720891;0.00550487;0.0665843;
16;1024;1024;estimate;0.0700277;0.00635426;0.0636735;
16;1024;1024;estimate;0.0725371;0.00708353;0.0654536;
16;1024;1024;estimate;0.068986;0.0054864;0.0634997;
16;1024;1024;estimate;0.0694811;0.00560803;0.0638731;
32;1024;1024;estimate;0.0714011;0.00646594;0.0649351;
32;1024;1024;estimate;0.0720074;0.00581026;0.0661972;
32;1024;1024;estimate;0.0709061;0.00586617;0.06504;
32;1024;1024;estimate;0.0775338;0.00586919;0.0716646;
32;1024;1024;estimate;0.0722045;0.00726334;0.0649411;
64;1024;1024;estimate;0.105212;0.00645504;0.098757;
64;1024;1024;estimate;0.114903;0.00609819;0.108805;
64;1024;1024;estimate;0.11641;0.00611942;0.11029;
64;1024;1024;estimate;0.119985;0.00628137;0.113704;
64;1024;1024;estimate;0.11625;0.0066856;0.109565;
128;1024;1024;estimate;0.142737;0.0060769;0.13666;
128;1024;1024;estimate;0.145225;0.00626244;0.138963;
128;1024;1024;estimate;0.152693;0.00708965;0.145604;
128;1024;1024;estimate;0.14423;0.00673438;0.137495;
128;1024;1024;estimate;0.146466;0.00715366;0.139312;
256;1024;1024;estimate;0.152843;0.00955907;0.143284;
256;1024;1024;estimate;0.148027;0.00983667;0.13819;
256;1024;1024;estimate;0.153476;0.00980891;0.143667;
256;1024;1024;estimate;0.152108;0.00963537;0.142473;
256;1024;1024;estimate;0.167016;0.0101553;0.156861;
