n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;                                                                                                           
1;16384;16384;estimate;0.00669476;7.14727;
1;16384;16384;estimate;0.00516962;7.18662;
1;16384;16384;estimate;0.00609631;7.18003;
1;16384;16384;estimate;0.00610057;17.3221;
1;16384;16384;estimate;0.00570923;7.25385;
2;16384;16384;estimate;0.0052778;12.5184;
2;16384;16384;estimate;0.00753969;13.5926;
2;16384;16384;estimate;0.00638792;13.2587;
2;16384;16384;estimate;0.0059934;12.865;
2;16384;16384;estimate;0.00654293;12.6173;
4;16384;16384;estimate;0.00799435;7.24264;
4;16384;16384;estimate;0.00742413;7.32475;
4;16384;16384;estimate;0.00916189;7.36492;
4;16384;16384;estimate;0.00867426;7.27865;
4;16384;16384;estimate;0.00834285;7.039;
8;16384;16384;estimate;0.0107734;4.09405;
8;16384;16384;estimate;0.00659579;3.79038;
8;16384;16384;estimate;0.00918359;3.10286;
8;16384;16384;estimate;0.00800632;1.61664;
8;16384;16384;estimate;0.00570474;1.42632;
16;16384;16384;estimate;0.0068578;1.75876;
16;16384;16384;estimate;0.0112675;0.643136;
16;16384;16384;estimate;0.0118199;0.640869;
16;16384;16384;estimate;0.00794142;0.581526;
16;16384;16384;estimate;0.0133882;0.623813;
32;16384;16384;estimate;0.0136607;16.701;
32;16384;16384;estimate;0.0159507;16.8119;
32;16384;16384;estimate;0.0222798;16.5383;
32;16384;16384;estimate;0.0120169;16.7735;
32;16384;16384;estimate;0.0184769;17.7387;
64;16384;16384;estimate;0.0221688;231.867;
64;16384;16384;estimate;0.024313;228.001;
64;16384;16384;estimate;0.0189794;230.487;
64;16384;16384;estimate;0.0198617;224.492;
64;16384;16384;estimate;0.021515;240.461;
