n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;16384;16384;estimate;0.00298653;6.6932;1.27229e+10;
1;16384;16384;estimate;0.00301298;6.69508;1.27229e+10;
1;16384;16384;estimate;0.00298152;6.70664;1.27229e+10;
1;16384;16384;estimate;0.00294594;6.68694;1.27229e+10;
1;16384;16384;estimate;0.00284057;6.67474;1.27229e+10;
2;16384;16384;estimate;0.00334564;7.23405;1.27229e+10;
2;16384;16384;estimate;0.00325058;7.32663;1.27229e+10;
2;16384;16384;estimate;0.00327399;7.27174;1.27229e+10;
2;16384;16384;estimate;0.00323736;7.22554;1.27229e+10;
2;16384;16384;estimate;0.00324872;7.30424;1.27229e+10;
4;16384;16384;estimate;0.00428129;3.38243;1.27229e+10;
4;16384;16384;estimate;0.00411737;3.33496;1.27229e+10;
4;16384;16384;estimate;0.00415221;3.40576;1.27229e+10;
4;16384;16384;estimate;0.00411727;3.37259;1.27229e+10;
4;16384;16384;estimate;0.00415913;3.35823;1.27229e+10;
8;16384;16384;estimate;0.00488404;1.51937;1.27229e+10;
8;16384;16384;estimate;0.00482971;1.72485;1.27229e+10;
8;16384;16384;estimate;0.00484033;1.69257;1.27229e+10;
8;16384;16384;estimate;0.00486726;1.7005;1.27229e+10;
8;16384;16384;estimate;0.0048802;1.49501;1.27229e+10;
16;16384;16384;estimate;0.00629411;0.953092;1.27229e+10;
16;16384;16384;estimate;0.00627034;0.931346;1.27229e+10;
16;16384;16384;estimate;0.00594309;0.948975;1.27229e+10;
16;16384;16384;estimate;0.00597651;0.92889;1.27229e+10;
16;16384;16384;estimate;0.00596213;0.925519;1.27229e+10;
32;16384;16384;estimate;0.0081722;8.18596;1.27229e+10;
32;16384;16384;estimate;0.00852609;8.03944;1.27229e+10;
32;16384;16384;estimate;0.0084769;7.9297;1.27229e+10;
32;16384;16384;estimate;0.00845047;8.26569;1.27229e+10;
32;16384;16384;estimate;0.00863287;7.91349;1.27229e+10;
64;16384;16384;estimate;0.01216;446.807;1.27229e+10;
64;16384;16384;estimate;0.0121855;425.141;1.27229e+10;
64;16384;16384;estimate;0.0121538;443.686;1.27229e+10;
64;16384;16384;estimate;0.0121332;413.558;1.27229e+10;
64;16384;16384;estimate;0.0121605;450.751;1.27229e+10;
128;16384;16384;estimate;0.0385242;649.76;1.27229e+10;
128;16384;16384;estimate;0.0298964;639.354;1.27229e+10;
128;16384;16384;estimate;0.0345072;626.198;1.27229e+10;
128;16384;16384;estimate;0.0367214;658.691;1.27229e+10;
128;16384;16384;estimate;0.03704;693.11;1.27229e+10;

