n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;16384;16384;measure;14.2926;5.28483;
1;16384;16384;measure;14.1411;5.23278;
1;16384;16384;measure;12.3662;5.44009;
1;16384;16384;measure;14.9248;5.32695;
1;16384;16384;measure;13.9386;5.33041;
2;16384;16384;measure;30.2177;3.7825;
2;16384;16384;measure;29.4996;3.67351;
2;16384;16384;measure;29.6277;3.86471;
2;16384;16384;measure;30.4389;3.77922;
2;16384;16384;measure;29.8208;3.94042;
4;16384;16384;measure;182.106;1.71778;
4;16384;16384;measure;179.378;1.83695;
4;16384;16384;measure;179.83;1.657;
4;16384;16384;measure;180.265;1.68695;
4;16384;16384;measure;182.122;1.78531;
8;16384;16384;measure;104.435;0.777246;
8;16384;16384;measure;101.991;0.940278;
8;16384;16384;measure;102.182;0.907495;
8;16384;16384;measure;102.4;0.759293;
8;16384;16384;measure;104.009;0.871849;
16;16384;16384;measure;78.9373;0.479468;
16;16384;16384;measure;81.9067;0.461853;
16;16384;16384;measure;81.7507;0.575485;
16;16384;16384;measure;85.3353;0.876895;
16;16384;16384;measure;82.0489;0.618515;
32;16384;16384;measure;83.4359;0.24346;
32;16384;16384;measure;87.5795;0.301211;
32;16384;16384;measure;83.7039;0.235408;
32;16384;16384;measure;81.8946;0.27219;
32;16384;16384;measure;77.6937;0.310398;
64;16384;16384;measure;174.727;0.203684;
64;16384;16384;measure;190.643;0.550255;
64;16384;16384;measure;177.87;0.154822;
64;16384;16384;measure;193.516;0.257574;
64;16384;16384;measure;189.064;0.157668;
128;16384;16384;measure;238.367;0.183865;
128;16384;16384;measure;228.1;0.197396;
128;16384;16384;measure;265.07;0.195362;
128;16384;16384;measure;262.737;0.193752;
128;16384;16384;measure;255.994;0.198647;

