n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;16384;16384;measure;12.7052;5.43929;1.22797e+10;
1;16384;16384;measure;14.582;5.56272;1.22294e+10;
1;16384;16384;measure;14.3866;5.63547;1.23301e+10;
1;16384;16384;measure;14.2209;5.58008;1.22797e+10;
1;16384;16384;measure;14.2942;5.49447;1.27169e+10;
1;16384;16384;measure;14.4349;5.54539;1.22797e+10;
1;16384;16384;measure;14.2533;5.53674;1.23133e+10;
1;16384;16384;measure;14.1861;5.58271;1.22294e+10;
1;16384;16384;measure;14.3574;5.6899;1.25985e+10;
1;16384;16384;measure;14.2197;5.55132;1.22797e+10;
1;16384;16384;measure;14.4083;5.58606;1.24316e+10;
1;16384;16384;measure;14.4095;5.58761;1.22797e+10;
1;16384;16384;measure;14.2118;5.46879;1.23645e+10;
1;16384;16384;measure;14.1573;5.31448;1.22797e+10;
1;16384;16384;measure;14.4168;5.51605;1.23133e+10;
1;16384;16384;measure;14.1773;5.5714;1.22797e+10;
1;16384;16384;measure;14.2661;5.63096;1.22629e+10;
1;16384;16384;measure;14.2012;5.49363;1.23645e+10;
1;16384;16384;measure;14.1612;5.62972;1.22443e+10;
1;16384;16384;measure;14.4453;5.53431;1.22629e+10;
1;16384;16384;measure;14.3893;5.5614;1.22797e+10;
1;16384;16384;measure;14.3027;5.53246;1.22797e+10;
1;16384;16384;measure;14.4133;5.55033;1.22294e+10;
1;16384;16384;measure;14.4041;5.51717;1.22294e+10;
1;16384;16384;measure;14.3797;5.55244;1.22294e+10;
1;16384;16384;measure;14.1628;5.47887;1.23142e+10;
1;16384;16384;measure;14.4352;5.46172;1.23142e+10;
1;16384;16384;measure;14.3504;5.54641;1.22294e+10;
1;16384;16384;measure;14.3358;5.50585;1.22797e+10;
1;16384;16384;measure;14.3584;5.51571;1.22294e+10;
1;16384;16384;measure;14.1538;5.56438;1.22294e+10;
1;16384;16384;measure;13.374;5.15802;1.22462e+10;
1;16384;16384;measure;14.1721;5.56683;1.22797e+10;
1;16384;16384;measure;14.1763;5.59305;1.22797e+10;
1;16384;16384;measure;14.4009;5.53098;1.22797e+10;
1;16384;16384;measure;14.5067;5.59782;1.22797e+10;
1;16384;16384;measure;14.4026;5.55822;1.22797e+10;
1;16384;16384;measure;14.2345;5.51208;1.23133e+10;
1;16384;16384;measure;14.2881;5.59898;1.22797e+10;
1;16384;16384;measure;14.5157;5.54758;1.22797e+10;
1;16384;16384;measure;14.3636;5.54932;1.22294e+10;
1;16384;16384;measure;14.4103;5.52713;1.22629e+10;
1;16384;16384;measure;14.1896;5.58886;1.22797e+10;
1;16384;16384;measure;14.3003;5.53663;1.22294e+10;
1;16384;16384;measure;14.4065;5.53381;1.23636e+10;
1;16384;16384;measure;14.2205;5.46904;1.23645e+10;
1;16384;16384;measure;14.5348;5.52485;1.22797e+10;
1;16384;16384;measure;14.2576;5.53992;1.22294e+10;
1;16384;16384;measure;14.059;5.55458;1.24978e+10;
1;16384;16384;measure;12.465;5.4063;1.22797e+10;
2;16384;16384;measure;35.4752;3.12997;1.22713e+10;
2;16384;16384;measure;35.8769;3.25514;1.23384e+10;
2;16384;16384;measure;35.5558;3.23533;1.22713e+10;
2;16384;16384;measure;35.7161;2.99329;1.23217e+10;
2;16384;16384;measure;35.7973;2.95796;1.22965e+10;
2;16384;16384;measure;35.183;2.92503;1.23813e+10;
2;16384;16384;measure;35.2198;2.93848;1.22965e+10;
2;16384;16384;measure;35.0899;3.2097;1.24475e+10;
2;16384;16384;measure;35.2495;2.9443;1.22965e+10;
2;16384;16384;measure;35.5041;2.94219;1.22965e+10;
2;16384;16384;measure;35.0762;3.01547;1.22965e+10;
2;16384;16384;measure;34.8932;3.18554;1.22965e+10;
2;16384;16384;measure;34.6405;2.942;1.24223e+10;
2;16384;16384;measure;35.6879;3.12223;1.22713e+10;
2;16384;16384;measure;35.4073;2.8984;1.22713e+10;
2;16384;16384;measure;35.6297;3.1226;1.22713e+10;
2;16384;16384;measure;35.5489;2.97157;1.23636e+10;
2;16384;16384;measure;35.5875;2.95075;1.23636e+10;
2;16384;16384;measure;35.0216;2.96084;1.22965e+10;
2;16384;16384;measure;35.621;2.91807;1.23813e+10;
2;16384;16384;measure;35.5194;3.15748;1.23813e+10;
2;16384;16384;measure;35.41;2.95397;1.23636e+10;
2;16384;16384;measure;34.9254;2.95724;1.23813e+10;
2;16384;16384;measure;35.2375;2.92599;1.22965e+10;
2;16384;16384;measure;35.7902;2.919;1.24484e+10;
2;16384;16384;measure;35.4725;2.94834;1.22965e+10;
2;16384;16384;measure;36.2399;2.93827;1.23636e+10;
2;16384;16384;measure;35.5606;2.88786;1.22713e+10;
2;16384;16384;measure;35.8455;2.92611;1.22965e+10;
2;16384;16384;measure;35.6454;3.11648;1.22713e+10;
2;16384;16384;measure;35.1484;2.96733;1.23813e+10;
2;16384;16384;measure;35.6308;2.89509;1.22881e+10;
2;16384;16384;measure;35.3481;3.27138;1.22881e+10;
2;16384;16384;measure;35.728;2.97273;1.22965e+10;
2;16384;16384;measure;35.8857;2.93384;1.22965e+10;
2;16384;16384;measure;35.2525;3.12606;1.22713e+10;
2;16384;16384;measure;35.8582;3.17964;1.23813e+10;
2;16384;16384;measure;35.4984;2.93255;1.23813e+10;
2;16384;16384;measure;35.6777;2.94516;1.22965e+10;
2;16384;16384;measure;35.4507;3.12215;1.22713e+10;
2;16384;16384;measure;35.4419;2.92761;1.22965e+10;
2;16384;16384;measure;33.314;3.30285;1.24065e+10;
2;16384;16384;measure;35.5586;2.93423;1.23636e+10;
2;16384;16384;measure;35.8707;3.19168;1.23813e+10;
2;16384;16384;measure;35.9988;3.11935;1.22713e+10;
2;16384;16384;measure;35.6143;2.90798;1.23049e+10;
2;16384;16384;measure;35.525;2.93281;1.22965e+10;
2;16384;16384;measure;35.6745;3.1592;1.23133e+10;
2;16384;16384;measure;35.1085;2.93439;1.23217e+10;
2;16384;16384;measure;35.8228;3.21398;1.22965e+10;
4;16384;16384;measure;132.256;1.57557;1.23049e+10;
4;16384;16384;measure;129.385;1.67142;1.22503e+10;
4;16384;16384;measure;130.766;1.53116;1.23981e+10;
4;16384;16384;measure;131.957;1.98693;1.23351e+10;
4;16384;16384;measure;129.884;1.66888;1.24903e+10;
4;16384;16384;measure;130.005;1.6409;1.23729e+10;
4;16384;16384;measure;131.336;1.84158;1.23133e+10;
4;16384;16384;measure;131.157;2.00392;1.22503e+10;
4;16384;16384;measure;131.168;1.64381;1.22881e+10;
4;16384;16384;measure;130.707;2.09363;1.22671e+10;
4;16384;16384;measure;130.958;1.64204;1.22881e+10;
4;16384;16384;measure;131.326;2.00898;1.22503e+10;
4;16384;16384;measure;129.547;1.63217;1.22881e+10;
4;16384;16384;measure;132.357;1.99276;1.23351e+10;
4;16384;16384;measure;130.093;1.68997;1.22881e+10;
4;16384;16384;measure;133.005;1.55597;1.23729e+10;
4;16384;16384;measure;130.545;2.21454;1.22503e+10;
4;16384;16384;measure;130.17;2.10081;1.22503e+10;
4;16384;16384;measure;131.548;1.6429;1.22503e+10;
4;16384;16384;measure;131.413;1.56164;1.23729e+10;
4;16384;16384;measure;130.735;1.95556;1.23133e+10;
4;16384;16384;measure;131.543;1.67772;1.22503e+10;
4;16384;16384;measure;130.181;1.6735;1.23259e+10;
4;16384;16384;measure;130.954;1.61114;1.16131e+10;
4;16384;16384;measure;131.212;2.08379;1.22503e+10;
4;16384;16384;measure;130.814;1.85086;1.23133e+10;
4;16384;16384;measure;129.416;1.66542;1.23259e+10;
4;16384;16384;measure;130.504;1.64671;1.22881e+10;
4;16384;16384;measure;130.106;1.6484;1.22881e+10;
4;16384;16384;measure;131.175;1.59777;1.22881e+10;
4;16384;16384;measure;130.196;1.77145;1.22881e+10;
4;16384;16384;measure;130.214;1.64385;1.23259e+10;
4;16384;16384;measure;130.248;1.6336;1.22503e+10;
4;16384;16384;measure;130.062;1.59971;1.22881e+10;
4;16384;16384;measure;129.999;1.60966;1.23729e+10;
4;16384;16384;measure;130.303;2.14377;1.2351e+10;
4;16384;16384;measure;129.288;1.63776;1.25566e+10;
4;16384;16384;measure;130.264;1.74532;1.23385e+10;
4;16384;16384;measure;131.012;1.63695;1.22503e+10;
4;16384;16384;measure;132.92;1.74309;1.23603e+10;
4;16384;16384;measure;131.3;2.05958;1.22503e+10;
4;16384;16384;measure;130.301;1.62709;1.22881e+10;
4;16384;16384;measure;131.689;1.65941;1.23007e+10;
4;16384;16384;measure;130.358;1.60615;1.22527e+10;
4;16384;16384;measure;131.79;1.84367;1.23133e+10;
4;16384;16384;measure;131.889;2.14576;1.23385e+10;
4;16384;16384;measure;130.568;1.64404;1.23729e+10;
4;16384;16384;measure;129.17;1.63726;1.16257e+10;
