n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;1;16384;16384;estimate;0.00305483;6.97382;1.27229e+10;
1;1;16384;16384;estimate;0.00300839;6.9641;1.27229e+10;
1;1;16384;16384;estimate;0.00303773;6.97291;1.27229e+10;
1;1;16384;16384;estimate;0.00302068;6.98808;1.27229e+10;
1;1;16384;16384;estimate;0.0030018;6.96466;1.27229e+10;
1;1;16384;16384;estimate;0.00302239;6.95965;1.27229e+10;
1;1;16384;16384;estimate;0.00301582;6.96154;1.27229e+10;
1;1;16384;16384;estimate;0.00301814;6.95743;1.27229e+10;
1;1;16384;16384;estimate;0.00301306;7.01169;1.27229e+10;
1;1;16384;16384;estimate;0.00304252;6.97187;1.27229e+10;
1;1;16384;16384;estimate;0.00300882;6.95783;1.27229e+10;
1;1;16384;16384;estimate;0.00301808;6.95803;1.27229e+10;
1;1;16384;16384;estimate;0.00304067;6.96973;1.27229e+10;
1;1;16384;16384;estimate;0.00304272;6.95566;1.27229e+10;
1;1;16384;16384;estimate;0.00301373;6.95789;1.27229e+10;
1;1;16384;16384;estimate;0.00300981;6.96481;1.27229e+10;
1;1;16384;16384;estimate;0.00302547;6.96113;1.27229e+10;
1;1;16384;16384;estimate;0.00299805;6.95944;1.27229e+10;
1;1;16384;16384;estimate;0.00302644;6.96721;1.27229e+10;
1;1;16384;16384;estimate;0.00302711;6.93931;1.27229e+10;
1;1;16384;16384;estimate;0.00305852;7.01265;1.27229e+10;
1;1;16384;16384;estimate;0.00304876;6.95705;1.27229e+10;
1;1;16384;16384;estimate;0.00301353;6.97264;1.27229e+10;
1;1;16384;16384;estimate;0.0030289;6.95985;1.27229e+10;
1;1;16384;16384;estimate;0.00302031;6.96238;1.27229e+10;
1;1;16384;16384;estimate;0.00303776;6.95108;1.27229e+10;
1;1;16384;16384;estimate;0.00303423;6.9812;1.27229e+10;
1;1;16384;16384;estimate;0.0030134;6.9696;1.27229e+10;
