n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;1;16384;16384;measure;14.3367;5.53259;1.24484e+10;
1;1;16384;16384;measure;14.472;5.52569;1.23636e+10;
1;1;16384;16384;measure;14.3543;5.55994;1.23636e+10;
1;1;16384;16384;measure;14.3554;5.5307;1.24316e+10;
1;1;16384;16384;measure;14.3649;5.52353;1.24316e+10;
2;1;16384;16384;measure;35.1246;3.2234;0;
2;1;16384;16384;measure;34.8566;3.12448;0;
2;1;16384;16384;measure;35.7811;3.10423;0;
2;1;16384;16384;measure;35.0169;3.16894;0;
2;1;16384;16384;measure;35.4939;3.2963;0;
4;1;16384;16384;measure;21.2485;1.84362;0;
4;1;16384;16384;measure;19.0675;2.29908;0;
4;1;16384;16384;measure;18.8497;1.90604;0;
4;1;16384;16384;measure;19.7786;2.89642;0;
4;1;16384;16384;measure;18.9703;1.94204;0;
4;1;16384;16384;measure;19.0343;2.51052;0;
4;1;16384;16384;measure;19.2793;2.26845;0;
8;1;16384;16384;measure;10.4601;1.12005;0;
8;1;16384;16384;measure;10.6307;1.13846;0;
8;1;16384;16384;measure;10.4692;1.13904;0;
8;1;16384;16384;measure;10.4291;1.13331;0;
8;1;16384;16384;measure;10.5044;1.13182;0;
16;1;16384;16384;measure;7.49312;0.704781;0;
16;1;16384;16384;measure;7.03144;0.650196;0;
16;1;16384;16384;measure;7.42216;0.708896;0;
16;1;16384;16384;measure;7.39572;0.707813;0;
16;1;16384;16384;measure;7.42767;0.710321;0;
16;1;16384;16384;measure;7.11702;0.697726;0;
16;1;16384;16384;measure;7.53603;0.755867;0;
32;1;16384;16384;measure;5.04147;0.581086;0;
32;1;16384;16384;measure;5.15311;0.562087;0;
32;1;16384;16384;measure;5.09261;0.572633;0;
32;1;16384;16384;measure;5.04535;0.577635;0;
32;1;16384;16384;measure;5.05533;0.579361;0;
64;1;16384;16384;measure;4.43646;0.596843;0;
64;1;16384;16384;measure;4.67657;0.588959;0;
64;1;16384;16384;measure;4.57693;0.608995;0;
64;1;16384;16384;measure;5.00002;0.614127;0;
64;1;16384;16384;measure;4.81161;0.594055;0;
128;1;16384;16384;measure;4.53288;0.521758;0;
128;1;16384;16384;measure;3.99942;0.431712;0;
128;1;16384;16384;measure;3.91708;0.405301;0;
128;1;16384;16384;measure;4.69906;0.5583;0;
128;1;16384;16384;measure;3.83383;0.404638;0;

