n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;1;16384;16384;estimate;0.00303606;6.86669;1.27229e+10;
1;1;16384;16384;estimate;0.00299497;6.87185;1.27229e+10;
1;1;16384;16384;estimate;0.00302912;6.87922;1.27229e+10;
1;1;16384;16384;estimate;0.00298323;6.89379;1.27229e+10;
1;1;16384;16384;estimate;0.0030177;6.87698;1.27229e+10;
1;1;16384;16384;estimate;0.00304153;6.89771;1.27229e+10;
1;1;16384;16384;estimate;0.00301832;6.87067;1.27229e+10;
1;1;16384;16384;estimate;0.00300834;6.91524;1.27229e+10;
1;1;16384;16384;estimate;0.00300149;6.918;1.27229e+10;
1;1;16384;16384;estimate;0.0029775;6.92036;1.27229e+10;
1;1;16384;16384;estimate;0.00301629;6.89536;1.27229e+10;
1;1;16384;16384;estimate;0.00301722;6.88102;1.27229e+10;
1;1;16384;16384;estimate;0.00301034;6.91056;1.27229e+10;
1;1;16384;16384;estimate;0.00300846;6.87969;1.27229e+10;
1;1;16384;16384;estimate;0.00301128;6.88588;1.27229e+10;
1;1;16384;16384;estimate;0.00299277;6.88547;1.27229e+10;
1;1;16384;16384;estimate;0.00301226;6.88358;1.27229e+10;
1;1;16384;16384;estimate;0.00296641;6.88442;1.27229e+10;
1;1;16384;16384;estimate;0.00300217;6.88835;1.27229e+10;
1;1;16384;16384;estimate;0.00301111;6.86968;1.27229e+10;
1;1;16384;16384;estimate;0.00300108;6.9185;1.27229e+10;
1;1;16384;16384;estimate;0.00302834;6.89453;1.27229e+10;
1;1;16384;16384;estimate;0.0029935;6.88878;1.27229e+10;
1;1;16384;16384;estimate;0.00299789;6.89524;1.27229e+10;
1;1;16384;16384;estimate;0.00302373;6.90747;1.27229e+10;
1;1;16384;16384;estimate;0.00298477;6.89072;1.27229e+10;
1;1;16384;16384;estimate;0.00298336;6.88567;1.27229e+10;
1;1;16384;16384;estimate;0.00302512;6.91956;1.27229e+10;
1;1;16384;16384;estimate;0.00298194;6.86904;1.27229e+10;
1;1;16384;16384;estimate;0.00298286;6.87818;1.27229e+10;
1;1;16384;16384;estimate;0.00298685;6.88211;1.27229e+10;
1;1;16384;16384;estimate;0.00299346;6.90392;1.27229e+10;
1;1;16384;16384;estimate;0.00303192;6.90744;1.27229e+10;
1;1;16384;16384;estimate;0.00299094;6.88111;1.27229e+10;
1;1;16384;16384;estimate;0.00300148;6.91453;1.27229e+10;
1;1;16384;16384;estimate;0.00300102;6.92602;1.27229e+10;
