n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;1;16384;16384;measure;14.8014;5.5659;1.22294e+10;
1;1;16384;16384;measure;14.6147;5.5026;1.22797e+10;
1;1;16384;16384;measure;14.7217;5.51287;1.22294e+10;
1;1;16384;16384;measure;14.217;5.3617;1.22462e+10;
1;1;16384;16384;measure;14.4196;5.52282;1.2194e+10;
1;1;16384;16384;measure;14.433;5.40026;1.23636e+10;
1;1;16384;16384;measure;14.633;5.46125;1.22294e+10;
1;1;16384;16384;measure;14.5139;5.46346;1.22797e+10;
1;1;16384;16384;measure;14.6063;5.5016;1.22797e+10;
1;1;16384;16384;measure;14.3188;5.40774;1.23981e+10;
1;1;16384;16384;measure;14.455;5.44129;1.22797e+10;
1;1;16384;16384;measure;14.3213;5.36663;1.22965e+10;
1;1;16384;16384;measure;14.3327;5.37135;1.22462e+10;
1;1;16384;16384;measure;14.4928;5.44893;1.22294e+10;
1;1;16384;16384;measure;14.3042;5.37624;1.22294e+10;
1;1;16384;16384;measure;14.377;5.42066;1.23636e+10;
1;1;16384;16384;measure;14.2839;5.34348;1.22462e+10;
1;1;16384;16384;measure;14.5558;5.43616;1.23636e+10;
1;1;16384;16384;measure;14.6903;5.45886;1.26327e+10;
1;1;16384;16384;measure;14.4865;5.42729;1.23636e+10;
1;1;16384;16384;measure;14.4359;5.61106;1.2194e+10;
1;1;16384;16384;measure;14.363;5.46583;1.23636e+10;
1;1;16384;16384;measure;14.4167;5.41772;1.23133e+10;
1;1;16384;16384;measure;14.4769;5.45672;1.22294e+10;
1;1;16384;16384;measure;14.1869;5.39509;1.22462e+10;
1;1;16384;16384;measure;14.4685;5.48637;1.22797e+10;
1;1;16384;16384;measure;14.479;5.43814;1.22294e+10;
1;1;16384;16384;measure;14.6179;5.46077;1.22797e+10;
1;1;16384;16384;measure;14.4717;5.44689;1.22294e+10;
1;1;16384;16384;measure;14.6262;5.4439;1.22294e+10;
1;1;16384;16384;measure;14.661;5.44462;1.23133e+10;
1;1;16384;16384;measure;14.3897;5.42105;1.23142e+10;
1;1;16384;16384;measure;14.4785;5.44641;1.23133e+10;
1;1;16384;16384;measure;14.1741;5.3685;1.22462e+10;
1;1;16384;16384;measure;14.3877;5.41074;1.23636e+10;
1;1;16384;16384;measure;14.4412;5.4621;1.22797e+10;
1;1;16384;16384;measure;14.6016;5.49792;1.22797e+10;
1;1;16384;16384;measure;14.4408;5.45142;1.23133e+10;
1;1;16384;16384;measure;14.4568;5.45196;1.22294e+10;
1;1;16384;16384;measure;14.4651;5.45631;1.22294e+10;
1;1;16384;16384;measure;14.4291;5.4565;1.23133e+10;
1;1;16384;16384;measure;14.4287;5.43331;1.22294e+10;
1;1;16384;16384;measure;14.3972;5.37546;1.22462e+10;
1;1;16384;16384;measure;14.3341;5.3836;1.23981e+10;
1;1;16384;16384;measure;14.4752;5.45827;1.22797e+10;
1;1;16384;16384;measure;14.508;5.48764;1.22294e+10;
1;1;16384;16384;measure;14.5051;5.45417;1.22294e+10;
1;1;16384;16384;measure;14.4617;5.45944;1.22797e+10;
1;1;16384;16384;measure;14.3894;5.4336;1.22294e+10;
1;1;16384;16384;measure;14.3545;5.47091;1.22294e+10;
1;2;16384;16384;measure;30.1596;2.75415;1.23133e+10;
1;2;16384;16384;measure;29.6506;2.80915;1.25482e+10;
1;2;16384;16384;measure;29.4464;2.76506;1.22797e+10;
1;2;16384;16384;measure;29.242;2.73142;1.23645e+10;
1;2;16384;16384;measure;30.9827;2.80765;1.26327e+10;
1;2;16384;16384;measure;29.3592;2.88506;1.22797e+10;
1;2;16384;16384;measure;29.8047;2.85035;1.22797e+10;
1;2;16384;16384;measure;29.4084;2.74897;1.2414e+10;
1;2;16384;16384;measure;29.2451;2.86407;1.23468e+10;
1;2;16384;16384;measure;29.676;2.83376;1.23301e+10;
1;2;16384;16384;measure;29.6174;2.797;1.22797e+10;
1;2;16384;16384;measure;29.7521;3.10557;1.22294e+10;
1;2;16384;16384;measure;29.4677;2.7323;1.22797e+10;
1;2;16384;16384;measure;30.0482;3.25603;1.23133e+10;
1;2;16384;16384;measure;29.9188;2.7716;1.22443e+10;
1;2;16384;16384;measure;29.4128;2.78052;1.22797e+10;
1;2;16384;16384;measure;29.4461;2.75183;1.22797e+10;
1;2;16384;16384;measure;29.6985;3.07051;1.23133e+10;
1;2;16384;16384;measure;29.6946;3.07745;1.23133e+10;
1;2;16384;16384;measure;31.8702;2.76249;1.22797e+10;
1;2;16384;16384;measure;29.4085;2.73655;1.22797e+10;
1;2;16384;16384;measure;29.9279;2.79062;1.2414e+10;
1;2;16384;16384;measure;29.541;2.75621;1.22797e+10;
1;2;16384;16384;measure;29.7796;2.80591;1.22629e+10;
