n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;1;16384;16384;measure;13.2369;5.74601;1.23645e+10;
1;1;16384;16384;measure;12.7542;5.65844;1.23142e+10;
1;1;16384;16384;measure;14.3658;5.60876;1.24484e+10;
1;1;16384;16384;measure;12.6739;5.64845;1.23142e+10;
1;1;16384;16384;measure;14.3831;5.65412;1.22797e+10;
1;2;16384;16384;measure;30.1602;3.21597;1.22294e+10;
1;2;16384;16384;measure;29.8868;3.01023;1.22797e+10;
1;2;16384;16384;measure;30.403;3.23298;1.22294e+10;
1;2;16384;16384;measure;30.0136;2.9119;1.25482e+10;
1;2;16384;16384;measure;29.9251;2.80384;1.22629e+10;
1;4;16384;16384;measure;27.7403;1.48713;1.23981e+10;
1;4;16384;16384;measure;25.8662;1.51638;1.22294e+10;
1;4;16384;16384;measure;25.7424;1.48833;1.23142e+10;
1;4;16384;16384;measure;25.4839;1.52419;1.23133e+10;
1;4;16384;16384;measure;25.0395;1.42566;1.24825e+10;
1;8;16384;16384;measure;21.5915;0.946719;1.22294e+10;
1;8;16384;16384;measure;22.7458;0.913421;1.22294e+10;
1;8;16384;16384;measure;21.466;0.846324;1.25827e+10;
1;8;16384;16384;measure;23.1564;0.883226;1.26153e+10;
1;8;16384;16384;measure;23.1069;0.912607;1.26833e+10;
1;16;16384;16384;measure;19.3487;0.355986;1.23448e+10;
1;16;16384;16384;measure;19.2554;0.380351;1.22345e+10;
1;16;16384;16384;measure;19.8116;0.343771;1.17118e+10;
1;16;16384;16384;measure;19.2542;0.375273;1.22345e+10;
1;16;16384;16384;measure;19.6053;0.367039;1.23193e+10;
1;32;16384;16384;measure;16.3596;0.21221;1.22485e+10;
1;32;16384;16384;measure;16.4679;0.2027;1.23296e+10;
1;32;16384;16384;measure;17.0348;0.198507;1.22485e+10;
1;32;16384;16384;measure;15.8292;0.231758;1.21963e+10;
1;32;16384;16384;measure;15.9185;0.202096;1.23165e+10;
1;64;16384;16384;measure;12.7077;0.158009;1.23814e+10;
1;64;16384;16384;measure;13.1647;0.122061;1.24147e+10;
1;64;16384;16384;measure;13.2228;0.118855;1.23299e+10;
1;64;16384;16384;measure;12.4937;0.160968;1.22301e+10;
1;64;16384;16384;measure;12.5905;0.149012;1.22301e+10;
1;128;16384;16384;measure;15.2664;0.192437;1.22707e+10;
1;128;16384;16384;measure;14.4529;0.191116;1.22353e+10;
1;128;16384;16384;measure;14.1756;0.195398;1.22707e+10;
1;128;16384;16384;measure;14.6094;0.189226;1.23555e+10;
1;128;16384;16384;measure;21.1449;0.160995;1.25816e+10;
