n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;1;16384;16384;estimate;0.00301484;7.01465;1.27229e+10;
1;1;16384;16384;estimate;0.00302713;7.00933;1.27229e+10;
1;1;16384;16384;estimate;0.00303826;7.05927;1.27229e+10;
1;1;16384;16384;estimate;0.00302295;7.01013;1.27229e+10;
1;1;16384;16384;estimate;0.00300796;7.03092;1.27229e+10;
1;1;16384;16384;estimate;0.00300469;7.014;1.27229e+10;
1;1;16384;16384;estimate;0.00303937;7.01166;1.27229e+10;
1;1;16384;16384;estimate;0.00301963;7.01918;1.27229e+10;
1;1;16384;16384;estimate;0.0030161;6.9999;1.27229e+10;
1;1;16384;16384;estimate;0.00310707;7.01549;1.27229e+10;
1;1;16384;16384;estimate;0.00306192;6.99192;1.27229e+10;
1;1;16384;16384;estimate;0.00302318;6.99612;1.27229e+10;
1;1;16384;16384;estimate;0.00301305;7.00052;1.27229e+10;
1;1;16384;16384;estimate;0.00300895;6.98926;1.27229e+10;
1;1;16384;16384;estimate;0.00301005;6.99178;1.27229e+10;
1;1;16384;16384;estimate;0.00303737;6.98899;1.27229e+10;
1;1;16384;16384;estimate;0.00302058;7.01003;1.27229e+10;
1;1;16384;16384;estimate;0.00299975;7.00092;1.27229e+10;
1;1;16384;16384;estimate;0.00302937;6.98343;1.27229e+10;
1;1;16384;16384;estimate;0.00302488;7.39764;1.27229e+10;
1;1;16384;16384;estimate;0.0030194;7.00094;1.27229e+10;
1;1;16384;16384;estimate;0.00301677;6.99832;1.27229e+10;
1;1;16384;16384;estimate;0.00302513;6.98438;1.27229e+10;
1;1;16384;16384;estimate;0.00302054;6.99585;1.27229e+10;
1;1;16384;16384;estimate;0.00300655;6.98534;1.27229e+10;
1;1;16384;16384;estimate;0.00302246;6.99532;1.27229e+10;
1;1;16384;16384;estimate;0.00302344;6.97891;1.27229e+10;
1;1;16384;16384;estimate;0.00302135;7.00148;1.27229e+10;
1;1;16384;16384;estimate;0.00302645;6.99465;1.27229e+10;
1;1;16384;16384;estimate;0.00299195;7.01018;1.27229e+10;
1;1;16384;16384;estimate;0.00299556;6.99143;1.27229e+10;
1;1;16384;16384;estimate;0.00297815;6.98311;1.27229e+10;
1;1;16384;16384;estimate;0.00303124;6.9922;1.27229e+10;
1;1;16384;16384;estimate;0.00299757;7.02076;1.27229e+10;
1;1;16384;16384;estimate;0.00301022;6.98426;1.27229e+10;
1;1;16384;16384;estimate;0.00303522;6.98463;1.27229e+10;
1;1;16384;16384;estimate;0.00301809;6.99337;1.27229e+10;
1;1;16384;16384;estimate;0.0030236;6.97744;1.27229e+10;
1;1;16384;16384;estimate;0.00302019;7.00335;1.27229e+10;
1;1;16384;16384;estimate;0.00305594;6.98179;1.27229e+10;
1;1;16384;16384;estimate;0.00304082;6.98068;1.27229e+10;
1;1;16384;16384;estimate;0.00304759;6.97499;1.27229e+10;
1;1;16384;16384;estimate;0.00301788;7.03096;1.27229e+10;
1;1;16384;16384;estimate;0.00301717;6.99129;1.27229e+10;
1;1;16384;16384;estimate;0.0030118;6.97644;1.27229e+10;
1;1;16384;16384;estimate;0.00299581;7.03206;1.27229e+10;
1;1;16384;16384;estimate;0.0030217;6.97716;1.27229e+10;
1;1;16384;16384;estimate;0.00302254;8.18179;1.27229e+10;
1;1;16384;16384;estimate;0.00304016;7.00954;1.27229e+10;
1;1;16384;16384;estimate;0.00304517;6.98695;1.27229e+10;
1;2;16384;16384;estimate;0.00325954;4.04745;1.27229e+10;
1;2;16384;16384;estimate;0.00329181;4.04086;1.27229e+10;
1;2;16384;16384;estimate;0.00327956;4.04928;1.27229e+10;
1;2;16384;16384;estimate;0.00329064;4.05141;1.27229e+10;
1;2;16384;16384;estimate;0.00329427;4.05343;1.27229e+10;
1;2;16384;16384;estimate;0.00326718;4.0384;1.27229e+10;
1;2;16384;16384;estimate;0.00324578;4.04359;1.27229e+10;
1;2;16384;16384;estimate;0.00327976;3.91046;1.27229e+10;
1;2;16384;16384;estimate;0.00323013;4.0412;1.27229e+10;
1;2;16384;16384;estimate;0.00326389;4.04258;1.27229e+10;
1;2;16384;16384;estimate;0.0032648;4.04599;1.27229e+10;
1;2;16384;16384;estimate;0.0032806;4.03659;1.27229e+10;
1;2;16384;16384;estimate;0.00325352;4.69094;1.27229e+10;
1;2;16384;16384;estimate;0.00327283;3.95243;1.27229e+10;
1;2;16384;16384;estimate;0.00330905;4.07813;1.27229e+10;
1;2;16384;16384;estimate;0.00329978;3.94969;1.27229e+10;
1;2;16384;16384;estimate;0.00330109;4.06549;1.27229e+10;
1;2;16384;16384;estimate;0.00329411;4.07401;1.27229e+10;
