n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;1;16384;16384;measure;14.564;5.56245;1.23468e+10;
1;1;16384;16384;measure;14.4179;5.56652;1.24316e+10;
1;1;16384;16384;measure;14.4629;5.39896;1.23468e+10;
1;1;16384;16384;measure;14.1346;5.56582;1.24316e+10;
1;1;16384;16384;measure;14.3964;5.57796;1.23468e+10;
1;2;16384;16384;measure;29.3882;3.70919;1.22294e+10;
1;2;16384;16384;measure;29.6378;3.70783;1.22294e+10;
1;2;16384;16384;measure;30.6193;3.3996;1.30508e+10;
1;2;16384;16384;measure;29.9272;3.89839;1.23468e+10;
1;2;16384;16384;measure;29.231;3.85704;1.22294e+10;
1;4;16384;16384;measure;25.0768;1.35177;1.23385e+10;
1;4;16384;16384;measure;25.3465;1.31772;1.22503e+10;
1;4;16384;16384;measure;24.7152;1.33415;1.22881e+10;
1;4;16384;16384;measure;25.2951;1.32736;1.22503e+10;
1;4;16384;16384;measure;25.3614;1.31889;1.22503e+10;
1;8;16384;16384;measure;22.8874;0.671109;1.24275e+10;
1;8;16384;16384;measure;24.1601;0.676646;1.23246e+10;
1;8;16384;16384;measure;24.3362;0.669337;1.22398e+10;
1;8;16384;16384;measure;23.6761;0.686009;1.2354e+10;
1;8;16384;16384;measure;23.968;0.692056;1.22398e+10;
1;16;16384;16384;measure;18.8625;0.368475;1.22818e+10;
1;16;16384;16384;measure;18.723;0.367663;1.22345e+10;
1;16;16384;16384;measure;18.9158;0.37046;1.22345e+10;
1;16;16384;16384;measure;18.7683;0.353506;1.23448e+10;
1;16;16384;16384;measure;19.256;0.360184;1.22345e+10;
1;32;16384;16384;measure;15.674;0.21327;1.22643e+10;
1;32;16384;16384;measure;17.7777;0.218459;1.22643e+10;
1;32;16384;16384;measure;17.1655;0.222787;1.25847e+10;
1;32;16384;16384;measure;17.5651;0.214299;1.23165e+10;
1;32;16384;16384;measure;17.1241;0.218202;1.23165e+10;
1;64;16384;16384;measure;13.8407;0.200034;1.23481e+10;
1;64;16384;16384;measure;14.3628;0.19331;1.23976e+10;
1;64;16384;16384;measure;14.2162;0.209412;1.23112e+10;
1;64;16384;16384;measure;13.8563;0.23167;1.22822e+10;
1;64;16384;16384;measure;14.2022;0.214805;1.23648e+10;
1;128;16384;16384;measure;19.3266;0.327232;1.26665e+10;
1;128;16384;16384;measure;19.5588;0.567478;1.23301e+10;
1;128;16384;16384;measure;20.2311;0.534037;1.23133e+10;
1;128;16384;16384;measure;20.1714;0.487739;1.22294e+10;
1;128;16384;16384;measure;19.5596;0.434472;1.233e+10;
