n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;16384;16384;estimate;9.38425;0.589744;8.79451;
1;16384;16384;estimate;9.31504;0.539633;8.77541;
1;16384;16384;estimate;9.29807;0.526418;8.77166;
1;16384;16384;estimate;9.31384;0.536424;8.77742;
1;16384;16384;estimate;8.60187;0.53415;8.06772;
2;16384;16384;estimate;5.1784;0.538765;4.63963;
2;16384;16384;estimate;5.26541;0.545956;4.71945;
2;16384;16384;estimate;5.19901;0.534234;4.66478;
2;16384;16384;estimate;5.2565;0.536562;4.71994;
2;16384;16384;estimate;5.22058;0.54606;4.67452;
4;16384;16384;estimate;3.45425;0.553005;2.90125;
4;16384;16384;estimate;3.44313;0.553834;2.8893;
4;16384;16384;estimate;3.44393;0.557587;2.88634;
4;16384;16384;estimate;3.44216;0.548992;2.89317;
4;16384;16384;estimate;3.45323;0.556145;2.89708;
8;16384;16384;estimate;2.70918;0.549039;2.16015;
8;16384;16384;estimate;2.7175;0.561735;2.15577;
8;16384;16384;estimate;2.69631;0.541801;2.15451;
8;16384;16384;estimate;2.6908;0.543063;2.14773;
8;16384;16384;estimate;2.70255;0.542516;2.16003;
16;16384;16384;estimate;2.38929;0.549608;1.83969;
16;16384;16384;estimate;2.37142;0.540688;1.83074;
16;16384;16384;estimate;2.39329;0.545684;1.8476;
16;16384;16384;estimate;2.36622;0.538411;1.82781;
16;16384;16384;estimate;2.38559;0.547246;1.83834;
32;16384;16384;estimate;2.33739;0.559968;1.77743;
32;16384;16384;estimate;2.37906;0.578145;1.80091;
32;16384;16384;estimate;2.34158;0.558129;1.78345;
32;16384;16384;estimate;2.36475;0.566886;1.79786;
32;16384;16384;estimate;2.38205;0.569567;1.81248;
64;16384;16384;estimate;2.32057;0.623982;1.69659;
64;16384;16384;estimate;2.28291;0.592985;1.68993;
64;16384;16384;estimate;2.29385;0.62767;1.66618;
64;16384;16384;estimate;2.29444;0.625594;1.66885;
64;16384;16384;estimate;2.2613;0.5861;1.6752;
128;16384;16384;estimate;2.34086;0.575142;1.76572;
128;16384;16384;estimate;2.9471;0.625402;2.3217;
128;16384;16384;estimate;3.07084;0.617764;2.45308;
128;16384;16384;estimate;3.07339;0.63441;2.43898;
128;16384;16384;estimate;3.01413;0.632818;2.38132;
