n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;16384;16384;estimate;9.26989;0.589552;8.68034;
1;16384;16384;estimate;9.16831;0.533343;8.63497;
1;16384;16384;estimate;9.15893;0.535937;8.62299;
1;16384;16384;estimate;8.59133;0.542094;8.04924;
1;16384;16384;estimate;9.10516;0.540002;8.56516;
2;16384;16384;estimate;5.12172;0.545858;4.57586;
2;16384;16384;estimate;5.12939;0.540708;4.58868;
2;16384;16384;estimate;5.08427;0.550224;4.53405;
2;16384;16384;estimate;5.13543;0.543955;4.59147;
2;16384;16384;estimate;5.10831;0.549548;4.55876;
4;16384;16384;estimate;3.20977;0.553427;2.65635;
4;16384;16384;estimate;3.21107;0.550484;2.66059;
4;16384;16384;estimate;3.20674;0.555127;2.65161;
4;16384;16384;estimate;3.21477;0.547781;2.66698;
4;16384;16384;estimate;3.20446;0.55553;2.64893;
8;16384;16384;estimate;2.28665;0.54532;1.74133;
8;16384;16384;estimate;2.29196;0.554512;1.73745;
8;16384;16384;estimate;2.27807;0.550549;1.72752;
8;16384;16384;estimate;2.28637;0.554152;1.73222;
8;16384;16384;estimate;2.31958;0.565111;1.75447;
16;16384;16384;estimate;1.6645;0.561005;1.1035;
16;16384;16384;estimate;1.69199;0.583783;1.10821;
16;16384;16384;estimate;1.6737;0.558491;1.11521;
16;16384;16384;estimate;1.66489;0.563095;1.10179;
16;16384;16384;estimate;1.65848;0.555203;1.10328;
32;16384;16384;estimate;1.58258;0.560866;1.02172;
32;16384;16384;estimate;1.58508;0.567684;1.01739;
32;16384;16384;estimate;1.59338;0.561052;1.03233;
32;16384;16384;estimate;1.58273;0.566263;1.01646;
32;16384;16384;estimate;1.57253;0.563099;1.00944;
64;16384;16384;estimate;1.73523;0.595044;1.14018;
64;16384;16384;estimate;1.71815;0.593119;1.12503;
64;16384;16384;estimate;1.73066;0.595889;1.13477;
64;16384;16384;estimate;1.71654;0.587629;1.12891;
64;16384;16384;estimate;1.71762;0.593346;1.12427;
128;16384;16384;estimate;2.07929;0.587725;1.49157;
128;16384;16384;estimate;2.19862;0.61396;1.58466;
128;16384;16384;estimate;2.19068;0.61376;1.57692;
128;16384;16384;estimate;2.25313;0.627031;1.6261;
128;16384;16384;estimate;2.19882;0.6263;1.57252;
