n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
1;16384;16384;estimate;scatter;11.5916;1.28303;10.3085;
1;16384;16384;estimate;scatter;10.368;1.24752;9.12045;
1;16384;16384;estimate;scatter;11.483;1.24799;10.235;
1;16384;16384;estimate;scatter;11.532;1.24539;10.2866;
1;16384;16384;estimate;scatter;11.4784;1.24602;10.2323;
1;16384;16384;estimate;scatter;11.4758;1.24523;10.2306;
1;16384;16384;estimate;scatter;11.4687;1.24592;10.2228;
1;16384;16384;estimate;scatter;11.4638;1.24612;10.2176;
1;16384;16384;estimate;scatter;10.3354;1.24605;9.08936;
1;16384;16384;estimate;scatter;11.4428;1.24539;10.1974;
1;16384;16384;estimate;scatter;11.5088;1.24369;10.2651;
1;16384;16384;estimate;scatter;11.4657;1.24498;10.2208;
1;16384;16384;estimate;scatter;11.4462;1.24385;10.2024;
1;16384;16384;estimate;scatter;11.4611;1.24476;10.2164;
1;16384;16384;estimate;scatter;11.4747;1.24694;10.2278;
1;16384;16384;estimate;scatter;11.4769;1.24635;10.2305;
1;16384;16384;estimate;scatter;11.45;1.24661;10.2034;
1;16384;16384;estimate;scatter;11.4738;1.24338;10.2304;
1;16384;16384;estimate;scatter;11.45;1.24613;10.2039;
1;16384;16384;estimate;scatter;11.482;1.24576;10.2362;
1;16384;16384;estimate;scatter;11.4568;1.24512;10.2117;
1;16384;16384;estimate;scatter;11.4344;1.24471;10.1897;
1;16384;16384;estimate;scatter;11.459;1.24662;10.2124;
1;16384;16384;estimate;scatter;11.4154;1.2439;10.1715;
1;16384;16384;estimate;scatter;11.5225;1.24615;10.2763;
1;16384;16384;estimate;scatter;11.4324;1.24633;10.1861;
1;16384;16384;estimate;scatter;11.4394;1.24503;10.1943;
1;16384;16384;estimate;scatter;11.4525;1.24533;10.2072;
1;16384;16384;estimate;scatter;11.5042;1.24609;10.2581;
1;16384;16384;estimate;scatter;11.4463;1.24553;10.2008;
1;16384;16384;estimate;scatter;11.4624;1.24326;10.2191;
1;16384;16384;estimate;scatter;11.4762;1.24522;10.231;
1;16384;16384;estimate;scatter;11.5021;1.24696;10.2551;
1;16384;16384;estimate;scatter;11.458;1.24645;10.2116;
1;16384;16384;estimate;scatter;11.473;1.24683;10.2262;
1;16384;16384;estimate;scatter;11.4395;1.24369;10.1958;
1;16384;16384;estimate;scatter;11.4681;1.24724;10.2209;
1;16384;16384;estimate;scatter;11.4747;1.24585;10.2288;
1;16384;16384;estimate;scatter;11.4813;1.24806;10.2332;
1;16384;16384;estimate;scatter;11.4771;1.24593;10.2312;
1;16384;16384;estimate;scatter;11.4249;1.24441;10.1805;
1;16384;16384;estimate;scatter;11.4427;1.24632;10.1964;
1;16384;16384;estimate;scatter;11.476;1.2453;10.2307;
1;16384;16384;estimate;scatter;11.425;1.24484;10.1801;
1;16384;16384;estimate;scatter;11.4516;1.24441;10.2072;
1;16384;16384;estimate;scatter;11.4413;1.24551;10.1958;
1;16384;16384;estimate;scatter;11.4806;1.24418;10.2364;
1;16384;16384;estimate;scatter;11.4953;1.24163;10.2537;
1;16384;16384;estimate;scatter;11.4607;1.24533;10.2154;
1;16384;16384;estimate;scatter;11.4615;1.24535;10.2162;
2;16384;16384;estimate;scatter;6.83974;1.24569;5.59406;
2;16384;16384;estimate;scatter;6.83339;1.24525;5.58814;
2;16384;16384;estimate;scatter;6.86458;1.24509;5.61948;
2;16384;16384;estimate;scatter;6.82789;1.24533;5.58256;
2;16384;16384;estimate;scatter;6.84715;1.24363;5.60352;
2;16384;16384;estimate;scatter;6.82397;1.24634;5.57762;
2;16384;16384;estimate;scatter;6.81007;1.24283;5.56723;
2;16384;16384;estimate;scatter;6.87455;1.24154;5.63301;
2;16384;16384;estimate;scatter;6.87284;1.24231;5.63053;
2;16384;16384;estimate;scatter;6.85525;1.24552;5.60972;
2;16384;16384;estimate;scatter;6.85298;1.24211;5.61087;
2;16384;16384;estimate;scatter;6.8498;1.24585;5.60395;
2;16384;16384;estimate;scatter;6.8928;1.24554;5.64726;
2;16384;16384;estimate;scatter;6.86585;1.24498;5.62087;
2;16384;16384;estimate;scatter;6.80653;1.24328;5.56326;
2;16384;16384;estimate;scatter;6.89237;1.24505;5.64732;
2;16384;16384;estimate;scatter;6.87916;1.24571;5.63345;
2;16384;16384;estimate;scatter;6.8143;1.24511;5.56919;
2;16384;16384;estimate;scatter;6.89922;1.2444;5.65482;
2;16384;16384;estimate;scatter;6.92161;1.24408;5.67753;
2;16384;16384;estimate;scatter;6.84786;1.24323;5.60463;
2;16384;16384;estimate;scatter;6.82549;1.24497;5.58052;
2;16384;16384;estimate;scatter;6.81415;1.25308;5.56107;
2;16384;16384;estimate;scatter;6.88815;1.2448;5.64335;
2;16384;16384;estimate;scatter;6.89776;1.2456;5.65216;
2;16384;16384;estimate;scatter;6.84368;1.24538;5.5983;
2;16384;16384;estimate;scatter;6.818;1.24476;5.57324;
2;16384;16384;estimate;scatter;6.88749;1.24364;5.64384;
2;16384;16384;estimate;scatter;6.894;1.24563;5.64837;
2;16384;16384;estimate;scatter;6.88265;1.24508;5.63757;
2;16384;16384;estimate;scatter;6.89654;1.2446;5.65194;
2;16384;16384;estimate;scatter;6.83068;1.24526;5.58542;
2;16384;16384;estimate;scatter;6.80279;1.24286;5.55993;
2;16384;16384;estimate;scatter;6.85972;1.2438;5.61592;
2;16384;16384;estimate;scatter;6.78403;1.24682;5.53721;
2;16384;16384;estimate;scatter;6.76792;1.24621;5.5217;
2;16384;16384;estimate;scatter;6.81172;1.24767;5.56405;
2;16384;16384;estimate;scatter;6.81621;1.24236;5.57385;
2;16384;16384;estimate;scatter;6.86935;1.24328;5.62606;
2;16384;16384;estimate;scatter;6.7671;1.24539;5.52171;
2;16384;16384;estimate;scatter;6.90779;1.24377;5.66402;
2;16384;16384;estimate;scatter;6.86332;1.24406;5.61926;
2;16384;16384;estimate;scatter;6.78648;1.24493;5.54155;
2;16384;16384;estimate;scatter;6.84783;1.24239;5.60544;
2;16384;16384;estimate;scatter;6.81703;1.24462;5.57241;
2;16384;16384;estimate;scatter;6.81455;1.24677;5.56778;
2;16384;16384;estimate;scatter;6.86214;1.24581;5.61632;
2;16384;16384;estimate;scatter;6.83279;1.24653;5.58627;
2;16384;16384;estimate;scatter;6.75776;1.24228;5.51548;
2;16384;16384;estimate;scatter;6.87265;1.24506;5.62759;
4;16384;16384;estimate;scatter;5.19873;1.23884;3.95989;
4;16384;16384;estimate;scatter;5.12906;1.25584;3.87322;
4;16384;16384;estimate;scatter;5.13647;1.24201;3.89446;
4;16384;16384;estimate;scatter;5.2045;1.26258;3.94192;
4;16384;16384;estimate;scatter;5.20773;1.24209;3.96565;
4;16384;16384;estimate;scatter;5.14434;1.24356;3.90078;
4;16384;16384;estimate;scatter;5.16575;1.25205;3.9137;
4;16384;16384;estimate;scatter;5.19105;1.24371;3.94734;
4;16384;16384;estimate;scatter;5.16442;1.24488;3.91954;
4;16384;16384;estimate;scatter;5.17821;1.25119;3.92702;
4;16384;16384;estimate;scatter;5.15013;1.24228;3.90785;
4;16384;16384;estimate;scatter;5.14312;1.24262;3.9005;
4;16384;16384;estimate;scatter;5.18994;1.25262;3.93732;
4;16384;16384;estimate;scatter;5.13611;1.23956;3.89655;
4;16384;16384;estimate;scatter;5.14271;1.25272;3.88999;
4;16384;16384;estimate;scatter;5.19781;1.25294;3.94487;
4;16384;16384;estimate;scatter;5.21889;1.25934;3.95955;
4;16384;16384;estimate;scatter;5.12993;1.24179;3.88814;
4;16384;16384;estimate;scatter;5.19846;1.25351;3.94495;
4;16384;16384;estimate;scatter;5.1462;1.25598;3.89022;
4;16384;16384;estimate;scatter;5.19699;1.24405;3.95294;
4;16384;16384;estimate;scatter;5.17068;1.25697;3.91371;
4;16384;16384;estimate;scatter;5.21323;1.24671;3.96652;
4;16384;16384;estimate;scatter;5.21;1.24576;3.96423;
4;16384;16384;estimate;scatter;5.18885;1.24235;3.9465;
4;16384;16384;estimate;scatter;5.19857;1.25509;3.94348;
4;16384;16384;estimate;scatter;5.13591;1.25735;3.87856;
4;16384;16384;estimate;scatter;5.18058;1.24653;3.93405;
4;16384;16384;estimate;scatter;5.13026;1.24662;3.88364;
4;16384;16384;estimate;scatter;5.19199;1.24517;3.94683;
4;16384;16384;estimate;scatter;5.14282;1.24127;3.90155;
4;16384;16384;estimate;scatter;5.14159;1.2434;3.89819;
4;16384;16384;estimate;scatter;5.16687;1.25408;3.91279;
4;16384;16384;estimate;scatter;5.20411;1.24561;3.9585;
4;16384;16384;estimate;scatter;5.17334;1.24135;3.93199;
4;16384;16384;estimate;scatter;5.14352;1.24691;3.89661;
4;16384;16384;estimate;scatter;5.20663;1.25367;3.95295;
4;16384;16384;estimate;scatter;5.16929;1.25464;3.91465;
4;16384;16384;estimate;scatter;5.20234;1.25417;3.94817;
4;16384;16384;estimate;scatter;5.16144;1.25825;3.90319;
4;16384;16384;estimate;scatter;5.1486;1.24242;3.90618;
4;16384;16384;estimate;scatter;5.15806;1.25644;3.90162;
4;16384;16384;estimate;scatter;5.17396;1.2586;3.91536;
4;16384;16384;estimate;scatter;5.19273;1.24748;3.94525;
4;16384;16384;estimate;scatter;5.16342;1.25199;3.91143;
