n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;16384;16384;estimate;8.70779;0.467413;8.24038;
1;16384;16384;estimate;8.6435;0.41907;8.22443;
1;16384;16384;estimate;8.63681;0.420587;8.21622;
1;16384;16384;estimate;8.63227;0.419969;8.2123;
1;16384;16384;estimate;8.63377;0.420155;8.21362;
1;16384;16384;estimate;8.63612;0.418048;8.21807;
1;16384;16384;estimate;8.56373;0.420497;8.14323;
1;16384;16384;estimate;8.61747;0.418321;8.19915;
1;16384;16384;estimate;8.61356;0.420428;8.19313;
1;16384;16384;estimate;8.60328;0.419308;8.18397;
1;16384;16384;estimate;8.61183;0.418048;8.19378;
1;16384;16384;estimate;8.62704;0.418799;8.20824;
1;16384;16384;estimate;8.64738;0.417866;8.22951;
1;16384;16384;estimate;8.55797;0.418145;8.13982;
1;16384;16384;estimate;8.62881;0.418193;8.21062;
1;16384;16384;estimate;8.5909;0.417678;8.17323;
1;16384;16384;estimate;8.54565;0.417895;8.12776;
1;16384;16384;estimate;8.61893;0.41923;8.1997;
1;16384;16384;estimate;8.62902;0.417858;8.21116;
1;16384;16384;estimate;8.58076;0.41762;8.16314;
1;16384;16384;estimate;8.61315;0.417996;8.19515;
1;16384;16384;estimate;8.53071;0.418309;8.1124;
1;16384;16384;estimate;7.84346;0.418224;7.42523;
1;16384;16384;estimate;8.61694;0.418434;8.19851;
1;16384;16384;estimate;8.60938;0.418146;8.19123;
1;16384;16384;estimate;8.62307;0.421072;8.202;
1;16384;16384;estimate;8.61781;0.420574;8.19724;
1;16384;16384;estimate;8.55192;0.421872;8.13004;
1;16384;16384;estimate;8.60943;0.417717;8.19172;
1;16384;16384;estimate;8.63587;0.417931;8.21793;
1;16384;16384;estimate;7.88545;0.420559;7.46489;
1;16384;16384;estimate;8.61789;0.418615;8.19928;
1;16384;16384;estimate;8.60658;0.418161;8.18842;
1;16384;16384;estimate;8.64587;0.419467;8.2264;
1;16384;16384;estimate;8.59683;0.418934;8.1779;
1;16384;16384;estimate;8.60782;0.418416;8.18941;
1;16384;16384;estimate;8.61887;0.420723;8.19814;
1;16384;16384;estimate;8.59606;0.418202;8.17786;
1;16384;16384;estimate;8.58275;0.41777;8.16498;
1;16384;16384;estimate;7.87906;0.41841;7.46065;
1;16384;16384;estimate;7.86957;0.417478;7.45209;
1;16384;16384;estimate;8.53774;0.418991;8.11875;
1;16384;16384;estimate;8.63005;0.420146;8.2099;
1;16384;16384;estimate;8.59456;0.420059;8.1745;
1;16384;16384;estimate;8.6372;0.417729;8.21947;
1;16384;16384;estimate;8.62117;0.421177;8.2;
1;16384;16384;estimate;8.61249;0.419784;8.19271;
1;16384;16384;estimate;7.82462;0.417885;7.40674;
1;16384;16384;estimate;8.54484;0.419914;8.12493;
1;16384;16384;estimate;8.61647;0.417728;8.19874;
2;16384;16384;estimate;4.56544;0.418381;4.14706;
2;16384;16384;estimate;4.55283;0.418726;4.13411;
2;16384;16384;estimate;4.58703;0.420344;4.16669;
2;16384;16384;estimate;4.58272;0.41807;4.16465;
2;16384;16384;estimate;4.64328;0.420199;4.22308;
2;16384;16384;estimate;4.65453;0.42065;4.23388;
2;16384;16384;estimate;4.61087;0.41819;4.19268;
2;16384;16384;estimate;4.59444;0.417951;4.17649;
2;16384;16384;estimate;4.64712;0.417789;4.22933;
