n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
1;16384;16384;estimate;8.04331;0.421515;7.62179;2.86403;1.48517;1.86538;1.40721;
1;16384;16384;estimate;8.03039;0.420251;7.61013;2.85843;1.47189;1.86327;1.41653;
1;16384;16384;estimate;8.02993;0.419757;7.61016;2.87018;1.47018;1.85041;1.41939;
1;16384;16384;estimate;8.03506;0.419905;7.61515;2.85423;1.46438;1.88874;1.4078;
1;16384;16384;estimate;7.98382;0.419478;7.56434;2.88883;1.43619;1.85575;1.38356;
1;16384;16384;estimate;8.00545;0.421583;7.58386;2.85263;1.46442;1.85159;1.41522;
1;16384;16384;estimate;8.01157;0.417714;7.59385;2.85954;1.46202;1.85739;1.41491;
1;16384;16384;estimate;7.58794;0.419217;7.16872;2.50431;1.4334;1.84762;1.38339;
1;16384;16384;estimate;8.03306;0.419652;7.6134;2.88964;1.46074;1.85511;1.40791;
1;16384;16384;estimate;7.99299;0.418239;7.57474;2.8479;1.46036;1.8525;1.41399;
1;16384;16384;estimate;8.006;0.419675;7.58631;2.86099;1.45724;1.86205;1.40603;
1;16384;16384;estimate;7.98761;0.419728;7.56788;2.84885;1.45685;1.85551;1.40666;
1;16384;16384;estimate;7.99604;0.418074;7.57796;2.85168;1.45797;1.86118;1.40713;
1;16384;16384;estimate;8.01414;0.42066;7.59347;2.87272;1.45581;1.86129;1.40364;
1;16384;16384;estimate;7.98765;0.419608;7.56804;2.85233;1.45681;1.85307;1.40582;
1;16384;16384;estimate;7.63813;0.419611;7.21851;2.49543;1.45591;1.85986;1.4073;
1;16384;16384;estimate;7.98825;0.419887;7.56836;2.85757;1.4562;1.84981;1.40477;
1;16384;16384;estimate;7.9412;0.41947;7.52172;2.85379;1.43438;1.84535;1.3882;
1;16384;16384;estimate;8.00501;0.419976;7.58502;2.8627;1.45946;1.85664;1.40622;
1;16384;16384;estimate;7.95236;0.41929;7.53306;2.86601;1.43222;1.84855;1.38628;
1;16384;16384;estimate;7.98689;0.417829;7.56905;2.84854;1.45997;1.84686;1.41368;
