_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
1;16384;16384;estimate;scatter;8.6977;1.3236;7.37409;2.39038;0.204246;0.000948377;1.42809;1.80668;0.227659;0.0533694;1.26272;
1;16384;16384;estimate;scatter;8.58089;1.27802;7.30285;2.39484;0.200883;0.000252007;1.39053;1.79553;0.201062;0.0530782;1.26667;
1;16384;16384;estimate;scatter;8.5877;1.28067;7.30702;2.41346;0.205857;0.000236467;1.3888;1.79773;0.205458;0.0528376;1.24264;
1;16384;16384;estimate;scatter;8.5745;1.27547;7.29902;2.38665;0.199342;0.000228977;1.41806;1.79844;0.204821;0.0526839;1.23878;
1;16384;16384;estimate;scatter;8.54824;1.27794;7.27029;2.39013;0.20592;0.000230977;1.3881;1.7977;0.194398;0.0529903;1.24083;
2;16384;16384;estimate;scatter;5.06579;1.27637;3.78942;1.20444;0.134591;0.000189566;0.723693;0.903301;0.132288;0.0530709;0.637842;
2;16384;16384;estimate;scatter;5.07358;1.27762;3.79592;1.21242;0.132328;0.000221786;0.723778;0.900083;0.133223;0.0528052;0.641058;
2;16384;16384;estimate;scatter;5.06565;1.27857;3.78705;1.20612;0.134648;0.000184485;0.725873;0.896623;0.131053;0.0533213;0.639226;
2;16384;16384;estimate;scatter;5.06716;1.27583;3.79132;1.20505;0.132378;0.000223346;0.728885;0.899793;0.131878;0.0527055;0.64041;
2;16384;16384;estimate;scatter;5.06176;1.27903;3.78273;1.19947;0.132254;0.000186365;0.72226;0.903968;0.13185;0.0528165;0.639924;
4;16384;16384;estimate;scatter;3.41753;1.2842;2.13333;0.608988;0.132269;0.000223466;0.392364;0.47486;0.129092;0.0532323;0.342297;
4;16384;16384;estimate;scatter;3.42542;1.28523;2.14016;0.610056;0.131832;0.000229446;0.398831;0.476142;0.130211;0.053068;0.339793;
4;16384;16384;estimate;scatter;3.42403;1.28308;2.14093;0.611043;0.131827;0.000311449;0.401149;0.476452;0.128008;0.0528542;0.339284;
4;16384;16384;estimate;scatter;3.42519;1.27792;2.14725;0.610323;0.130729;0.000211866;0.400235;0.474378;0.130403;0.0530993;0.347868;
4;16384;16384;estimate;scatter;3.4153;1.27859;2.13669;0.610481;0.131013;0.000203576;0.400036;0.470566;0.129313;0.0531291;0.341953;
8;16384;16384;estimate;scatter;2.50876;1.28766;1.22108;0.309881;0.132857;0.000260047;0.19726;0.221767;0.12995;0.0558654;0.173234;
8;16384;16384;estimate;scatter;2.53508;1.28839;1.24668;0.311194;0.133439;0.000258668;0.217756;0.22835;0.132949;0.0522168;0.170515;
8;16384;16384;estimate;scatter;2.50021;1.28368;1.21652;0.306745;0.13368;0.000279478;0.197457;0.222294;0.130811;0.0537033;0.171556;
8;16384;16384;estimate;scatter;2.50634;1.28009;1.22625;0.31205;0.133863;0.000247297;0.199788;0.226883;0.130604;0.0534676;0.169343;
8;16384;16384;estimate;scatter;2.50773;1.28294;1.22478;0.308934;0.133803;0.000267517;0.19654;0.225772;0.130622;0.0559793;0.172858;
16;16384;16384;estimate;scatter;1.96994;1.2901;0.679821;0.156945;0.0754242;0.000232826;0.113104;0.117376;0.0748285;0.0524603;0.0894499;
16;16384;16384;estimate;scatter;1.96246;1.28531;0.67715;0.15858;0.0755684;0.000239276;0.112721;0.112933;0.0742048;0.0526237;0.0902804;
