n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;plan_time;plan_flops;
1;16384;16384;estimate;par;7.2568;0.427494;6.82929;2.35741;1.3751;1.77655;1.32023;0.0146188;1.94665e+10;
1;16384;16384;estimate;par;7.24541;0.416626;6.82877;2.34954;1.37272;1.7837;1.32281;0.00331801;1.94665e+10;
1;16384;16384;estimate;par;7.27616;0.418212;6.85794;2.36658;1.38147;1.78695;1.32294;0.00328751;1.94665e+10;
1;16384;16384;estimate;par;7.26668;0.416973;6.8497;2.36826;1.37702;1.78682;1.3176;0.00327126;1.94665e+10;
1;16384;16384;estimate;par;7.26235;0.417115;6.84523;2.36506;1.37541;1.78299;1.32177;0.00330655;1.94665e+10;
1;16384;16384;estimate;par;7.19327;0.419665;6.7736;2.36437;1.34823;1.77266;1.28833;0.00330559;1.94665e+10;
1;16384;16384;estimate;par;7.2642;0.417343;6.84685;2.36626;1.38181;1.77999;1.3188;0.00329277;1.94665e+10;
1;16384;16384;estimate;par;7.24541;0.417592;6.82781;2.35253;1.37615;1.78209;1.31704;0.0032403;1.94665e+10;
1;16384;16384;estimate;par;7.26719;0.4175;6.84968;2.36719;1.37778;1.78775;1.31696;0.00325501;1.94665e+10;
1;16384;16384;estimate;par;7.25862;0.417019;6.84159;2.3639;1.37644;1.7825;1.31874;0.00329896;1.94665e+10;
1;16384;16384;estimate;par;7.2538;0.417941;6.83585;2.35812;1.38148;1.77552;1.32073;0.00324227;1.94665e+10;
1;16384;16384;estimate;par;7.25429;0.417531;6.83674;2.36375;1.37825;1.77931;1.31542;0.00327526;1.94665e+10;
1;16384;16384;estimate;par;7.25159;0.41826;6.83333;2.36086;1.37878;1.77843;1.31526;0.00331749;1.94665e+10;
1;16384;16384;estimate;par;7.26145;0.417921;6.84352;2.36538;1.37748;1.77815;1.32251;0.0033437;1.94665e+10;
1;16384;16384;estimate;par;7.20423;0.415533;6.78869;2.36641;1.34793;1.78335;1.291;0.00334004;1.94665e+10;
1;16384;16384;estimate;par;7.19703;0.41734;6.77968;2.35459;1.34438;1.78568;1.29503;0.00333551;1.94665e+10;
1;16384;16384;estimate;par;7.2525;0.418939;6.83355;2.35191;1.37962;1.78512;1.3169;0.00330827;1.94665e+10;
1;16384;16384;estimate;par;7.18592;0.415645;6.77027;2.35396;1.34132;1.78088;1.29411;0.0032602;1.94665e+10;
