n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;plan_time;plan_flops;
1;16384;16384;measure;par;7.10054;1.34821;5.75232;1.54414;1.36955;1.52047;1.31816;0.815069;1.83188e+10;
1;16384;16384;measure;par;7.19512;1.35228;5.84283;1.53378;1.38568;1.60485;1.31853;0.814349;1.8151e+10;
1;16384;16384;measure;par;7.1119;1.3669;5.74498;1.5339;1.37187;1.51841;1.3208;0.820662;1.83188e+10;
1;16384;16384;measure;par;7.06535;1.37227;5.69307;1.47264;1.37474;1.5204;1.32528;0.820059;1.84036e+10;
1;16384;16384;measure;par;7.32993;1.37666;5.95326;1.52576;1.37495;1.71379;1.33876;0.821475;1.82181e+10;
2;16384;16384;measure;par;4.24988;1.36544;2.88442;0.739696;0.732699;0.738185;0.673842;0.819357;1.89405e+10;
2;16384;16384;measure;par;4.37005;1.3702;2.99983;0.779944;0.734364;0.815963;0.669562;0.820611;1.84194e+10;
2;16384;16384;measure;par;4.27211;1.36273;2.90937;0.776181;0.732716;0.725866;0.674612;0.819981;1.83188e+10;
2;16384;16384;measure;par;4.37496;1.36804;3.00691;0.770638;0.748799;0.814213;0.673263;0.819119;1.82181e+10;
2;16384;16384;measure;par;4.26058;1.3513;2.90926;0.776698;0.733873;0.725293;0.6734;0.813815;1.83188e+10;
4;16384;16384;measure;par;2.92342;1.3647;1.55871;0.394038;0.416252;0.371549;0.376872;0.821948;1.83188e+10;
4;16384;16384;measure;par;2.89324;1.35272;1.54051;0.383225;0.412969;0.370071;0.374243;0.811205;1.84036e+10;
4;16384;16384;measure;par;2.92316;1.36938;1.55376;0.389037;0.415271;0.372472;0.376982;0.821744;1.81846e+10;
4;16384;16384;measure;par;2.92695;1.37141;1.55553;0.389985;0.416518;0.371337;0.377694;0.821345;1.83188e+10;
4;16384;16384;measure;par;2.9158;1.355;1.56079;0.401187;0.413758;0.369486;0.376363;0.816498;1.83188e+10;
8;16384;16384;measure;par;2.11852;1.36271;0.755806;0.192032;0.203536;0.189351;0.170886;0.81802;1.84036e+10;
8;16384;16384;measure;par;2.14767;1.36189;0.785777;0.200294;0.223042;0.187838;0.174603;0.819511;1.83188e+10;
8;16384;16384;measure;par;2.14996;1.36868;0.781272;0.200134;0.200761;0.207442;0.172935;0.82125;1.82852e+10;
8;16384;16384;measure;par;2.13719;1.36008;0.777111;0.206739;0.206696;0.191821;0.171855;0.819472;1.83188e+10;
8;16384;16384;measure;par;2.13443;1.36344;0.77098;0.20445;0.205485;0.188439;0.172607;0.822205;1.83188e+10;
16;16384;16384;measure;par;1.76858;1.35934;0.409235;0.105257;0.117465;0.0924497;0.0940635;0.82037;1.83188e+10;
16;16384;16384;measure;par;1.76918;1.36043;0.408741;0.104755;0.11734;0.0924098;0.094237;0.820058;1.83188e+10;
16;16384;16384;measure;par;1.77856;1.36739;0.411171;0.106115;0.117673;0.0931806;0.0942022;0.81918;1.83188e+10;
16;16384;16384;measure;par;1.78507;1.36548;0.419582;0.103785;0.117491;0.105365;0.0929407;0.819413;1.84194e+10;
16;16384;16384;measure;par;1.76748;1.34858;0.418891;0.10382;0.117491;0.10535;0.0922296;0.811832;1.8488e+10;
32;16384;16384;measure;par;1.61375;1.36104;0.252697;0.0603819;0.0722706;0.0585281;0.0615163;0.823493;1.82181e+10;
32;16384;16384;measure;par;1.63593;1.38699;0.248929;0.063345;0.072835;0.0502945;0.0624542;0.823393;1.83188e+10;
32;16384;16384;measure;par;1.62862;1.37379;0.254827;0.0641342;0.0712734;0.0583917;0.0610277;0.824411;1.81827e+10;
32;16384;16384;measure;par;1.62995;1.3805;0.249443;0.0608134;0.0702528;0.0566827;0.0616937;0.829668;1.82852e+10;
32;16384;16384;measure;par;1.63089;1.38205;0.248828;0.0602991;0.0677742;0.0595965;0.0611578;0.82237;1.84194e+10;
64;16384;16384;measure;par;1.63802;1.43222;0.205791;0.0446386;0.0615297;0.0423662;0.0572568;0.849168;1.88557e+10;
64;16384;16384;measure;par;1.64249;1.4341;0.20838;0.043544;0.0609755;0.0467579;0.0571025;0.845047;1.84866e+10;
64;16384;16384;measure;par;1.65528;1.44802;0.207258;0.0439013;0.0608944;0.046918;0.055544;0.854111;1.88557e+10;
64;16384;16384;measure;par;1.648;1.44624;0.201751;0.0410089;0.058315;0.0456585;0.056769;0.854725;1.82834e+10;
64;16384;16384;measure;par;1.64897;1.43888;0.210084;0.0454844;0.0599413;0.0485809;0.056077;0.84496;1.90076e+10;
128;16384;16384;measure;par;1.73871;1.43923;0.299476;0.139739;0.0587577;0.0354143;0.0655654;0.844758;1.83356e+10;
128;16384;16384;measure;par;1.74209;1.44175;0.300328;0.132298;0.0631546;0.0393005;0.0655751;0.843003;1.82181e+10;
128;16384;16384;measure;par;1.7437;1.45617;0.287525;0.121305;0.0603867;0.0412589;0.064574;0.845277;1.83859e+10;
128;16384;16384;measure;par;1.77587;1.44575;0.330116;0.16499;0.0638225;0.0372394;0.0640639;0.837554;1.85043e+10;
128;16384;16384;measure;par;1.74478;1.45355;0.291217;0.135784;0.0586263;0.0343684;0.0624381;0.846904;1.82163e+10;
