n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;16384;16384;estimate;9.23187;0.45072;8.78115;
1;16384;16384;estimate;9.20355;0.467345;8.73621;
1;16384;16384;estimate;9.16982;0.440912;8.72891;
1;16384;16384;estimate;9.20429;0.44012;8.76417;
1;16384;16384;estimate;9.15816;0.439357;8.71881;
2;16384;16384;estimate;5.16171;0.438712;4.723;
2;16384;16384;estimate;5.12901;0.438067;4.69095;
2;16384;16384;estimate;5.06902;0.437413;4.63161;
2;16384;16384;estimate;5.08398;0.437568;4.64642;
2;16384;16384;estimate;5.03024;0.438714;4.59153;
4;16384;16384;estimate;3.33647;0.43958;2.89689;
4;16384;16384;estimate;3.33099;0.437452;2.89353;
4;16384;16384;estimate;3.3484;0.440309;2.90809;
4;16384;16384;estimate;3.31177;0.435269;2.87651;
4;16384;16384;estimate;3.30903;0.436853;2.87218;
8;16384;16384;estimate;2.60324;0.440604;2.16264;
8;16384;16384;estimate;2.60002;0.436436;2.16358;
8;16384;16384;estimate;2.59914;0.436997;2.16214;
8;16384;16384;estimate;2.59131;0.439025;2.15229;
8;16384;16384;estimate;2.60109;0.442257;2.15884;
16;16384;16384;estimate;2.29041;0.437867;1.85254;
16;16384;16384;estimate;2.30415;0.43582;1.86833;
16;16384;16384;estimate;2.29858;0.440445;1.85813;
16;16384;16384;estimate;2.2985;0.442185;1.85631;
16;16384;16384;estimate;2.29579;0.438371;1.85742;
32;16384;16384;estimate;2.2541;0.45604;1.79806;
32;16384;16384;estimate;2.27173;0.456855;1.81488;
32;16384;16384;estimate;2.24807;0.457204;1.79087;
32;16384;16384;estimate;2.26388;0.45808;1.8058;
32;16384;16384;estimate;2.25383;0.453463;1.80036;
64;16384;16384;estimate;2.17914;0.481464;1.69768;
64;16384;16384;estimate;2.22143;0.510451;1.71098;
64;16384;16384;estimate;2.1735;0.482642;1.69086;
64;16384;16384;estimate;2.18266;0.484387;1.69827;
64;16384;16384;estimate;2.18659;0.481632;1.70496;
128;16384;16384;estimate;2.27348;0.485025;1.78845;
128;16384;16384;estimate;3.02712;0.603205;2.42392;
128;16384;16384;estimate;2.8151;0.493194;2.32191;
128;16384;16384;estimate;2.94334;0.605004;2.33833;
128;16384;16384;estimate;2.80043;0.488671;2.31176;
