n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
1;16384;16384;estimate;8.11373;0.436022;7.6777;2.91237;1.5052;1.8543;1.40583;
1;16384;16384;estimate;8.09777;0.437238;7.66052;2.90867;1.47287;1.87494;1.40403;
1;16384;16384;estimate;8.10924;0.436035;7.67319;2.9184;1.47514;1.87074;1.40891;
1;16384;16384;estimate;8.075;0.437254;7.63773;2.90097;1.46861;1.86753;1.40062;
1;16384;16384;estimate;8.01839;0.435701;7.58268;2.89186;1.44655;1.85919;1.38508;
2;16384;16384;estimate;4.1452;0.434535;3.71066;1.30362;0.752689;0.913193;0.741158;
2;16384;16384;estimate;4.14415;0.436478;3.70766;1.30137;0.752458;0.912485;0.741344;
2;16384;16384;estimate;4.14248;0.436418;3.70605;1.30297;0.752409;0.911662;0.739008;
2;16384;16384;estimate;4.14123;0.434763;3.70645;1.30131;0.751742;0.914974;0.73843;
2;16384;16384;estimate;4.12502;0.43593;3.68908;1.29792;0.742062;0.918367;0.730736;
4;16384;16384;estimate;2.38453;0.436336;1.94819;0.662458;0.390003;0.463533;0.432192;
4;16384;16384;estimate;2.36572;0.437044;1.92867;0.661286;0.390002;0.463801;0.413578;
4;16384;16384;estimate;2.36616;0.436933;1.92922;0.66291;0.387807;0.464748;0.413759;
4;16384;16384;estimate;2.37533;0.436089;1.93923;0.663532;0.394735;0.461942;0.419018;
4;16384;16384;estimate;2.36772;0.435505;1.9322;0.663552;0.388246;0.464063;0.416341;
8;16384;16384;estimate;1.54114;0.435003;1.10613;0.358353;0.242046;0.23257;0.273159;
8;16384;16384;estimate;1.54005;0.437925;1.10212;0.357267;0.241424;0.234838;0.268589;
8;16384;16384;estimate;1.56764;0.437535;1.13009;0.357741;0.239652;0.233712;0.298988;
8;16384;16384;estimate;1.54145;0.43598;1.10546;0.358669;0.242806;0.232926;0.271063;
8;16384;16384;estimate;1.53683;0.438288;1.09853;0.358091;0.236465;0.232189;0.271787;
16;16384;16384;estimate;1.03468;0.43711;0.597564;0.200018;0.129916;0.119263;0.148367;
16;16384;16384;estimate;1.04257;0.440306;0.602263;0.20183;0.132561;0.11893;0.148942;
16;16384;16384;estimate;1.02531;0.436604;0.588702;0.199302;0.129819;0.118527;0.141053;
16;16384;16384;estimate;1.03863;0.440533;0.598092;0.200206;0.131645;0.118808;0.147433;
16;16384;16384;estimate;1.0378;0.43536;0.60243;0.200107;0.133294;0.119293;0.149736;
32;16384;16384;estimate;0.838342;0.438221;0.400113;0.160859;0.0854807;0.0660809;0.0876929;
32;16384;16384;estimate;0.84073;0.445505;0.395219;0.159053;0.0852619;0.0658229;0.0850808;
32;16384;16384;estimate;0.839875;0.439128;0.400741;0.161216;0.0845762;0.0657259;0.0892223;
32;16384;16384;estimate;0.846837;0.441352;0.405479;0.164596;0.0859953;0.0662161;0.0886715;
32;16384;16384;estimate;0.844973;0.445173;0.399794;0.160975;0.0857845;0.0658382;0.0871958;
64;16384;16384;estimate;0.955809;0.479995;0.475807;0.272503;0.076998;0.0569898;0.0693163;
64;16384;16384;estimate;0.948268;0.480724;0.467537;0.264348;0.0749689;0.0574877;0.0707322;
64;16384;16384;estimate;0.958515;0.485261;0.473247;0.269522;0.0766547;0.0571883;0.0698822;
64;16384;16384;estimate;0.953057;0.484679;0.468371;0.265422;0.0754171;0.0574261;0.0701066;
64;16384;16384;estimate;0.950671;0.482815;0.467849;0.264979;0.0744679;0.0574895;0.0709126;
128;16384;16384;estimate;1.37891;0.475314;0.90359;0.46993;0.249456;0.0625204;0.121684;
128;16384;16384;estimate;1.4378;0.497545;0.940254;0.462031;0.195188;0.0629505;0.220085;
128;16384;16384;estimate;1.63019;0.484046;1.14614;0.730513;0.126102;0.064188;0.22534;
128;16384;16384;estimate;1.56472;0.480013;1.0847;0.77707;0.126068;0.0646291;0.116931;
128;16384;16384;estimate;1.4801;0.496279;0.983811;0.472576;0.198383;0.0632879;0.249564;
