n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;512;512;estimate;0.00302152;0.00478759;
1;512;512;estimate;0.00233793;0.00357089;
1;512;512;estimate;0.00238387;0.00356423;
1;512;512;estimate;0.00283444;0.00473106;
1;512;512;estimate;0.00231093;0.0035743;
2;512;512;estimate;0.00307354;0.00229833;
2;512;512;estimate;0.00306169;0.00227838;
2;512;512;estimate;0.00370152;0.00228316;
2;512;512;estimate;0.00309444;0.00199694;
2;512;512;estimate;0.00305423;0.00225182;
4;512;512;estimate;0.00394685;0.00165485;
4;512;512;estimate;0.00325686;0.0016006;
4;512;512;estimate;0.00423363;0.00198195;
4;512;512;estimate;0.0043335;0.00203814;
4;512;512;estimate;0.00331925;0.00182349;
8;512;512;estimate;0.00376905;0.0018668;
8;512;512;estimate;0.00435867;0.00214855;
8;512;512;estimate;0.00490792;0.00158675;
8;512;512;estimate;0.00466447;0.00154353;
8;512;512;estimate;0.00378436;0.0017313;
16;512;512;estimate;0.00589618;0.466073;
16;512;512;estimate;0.0056207;0.4855;
16;512;512;estimate;0.00623277;0.467642;
16;512;512;estimate;0.00676995;0.473104;
16;512;512;estimate;0.00675789;0.468536;
32;512;512;estimate;0.0102448;0.332034;
32;512;512;estimate;0.0102637;0.307691;
32;512;512;estimate;0.00999775;0.330373;
32;512;512;estimate;0.00974379;0.305154;
32;512;512;estimate;0.00826311;0.299785;
64;512;512;estimate;0.0111068;0.0051254;
64;512;512;estimate;0.0112521;0.00541908;
64;512;512;estimate;0.0126734;0.00527401;
64;512;512;estimate;0.0119163;0.00561881;
64;512;512;estimate;0.0115116;0.00556509;
128;512;512;estimate;0.0228688;0.137366;
128;512;512;estimate;0.0227994;0.118045;
128;512;512;estimate;0.0250479;0.155313;
128;512;512;estimate;0.0238173;0.121821;
128;512;512;estimate;0.0272642;0.100344;


