n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;24;16384;16384;estimate;0.00852962;9.6206;
1;24;16384;16384;estimate;0.00860053;9.53961;
1;24;16384;16384;estimate;0.00856216;9.58119;
1;24;16384;16384;estimate;0.00857391;9.5236;
1;24;16384;16384;estimate;0.00857667;9.48548;
2;24;16384;16384;estimate;0.00960106;9.4262;
2;24;16384;16384;estimate;0.00959725;9.41854;
2;24;16384;16384;estimate;0.00955258;9.41933;
2;24;16384;16384;estimate;0.00968337;9.42189;
2;24;16384;16384;estimate;0.009559;9.42323;
4;24;16384;16384;estimate;0.0445315;6.366;
4;24;16384;16384;estimate;0.100052;6.3783;
4;24;16384;16384;estimate;0.0387517;6.36437;
4;24;16384;16384;estimate;0.100059;6.34384;
4;24;16384;16384;estimate;0.0349636;6.34064;
8;24;16384;16384;estimate;0.0230004;3.50379;
8;24;16384;16384;estimate;0.0242133;3.46014;
8;24;16384;16384;estimate;0.0885576;3.46033;
8;24;16384;16384;estimate;0.0136111;3.61025;
8;24;16384;16384;estimate;0.0243348;3.46621;
16;24;16384;16384;estimate;0.0902732;2.39432;
16;24;16384;16384;estimate;0.14269;2.05424;
16;24;16384;16384;estimate;0.0307911;2.13478;
16;24;16384;16384;estimate;0.0344572;1.78298;
16;24;16384;16384;estimate;0.09209;2.23989;
