n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;48;16384;16384;measure;28.6846;3.59035;1.24978e+10;
1;48;16384;16384;measure;28.3459;3.53601;1.22294e+10;
1;48;16384;16384;measure;28.5186;3.5305;1.22294e+10;
1;48;16384;16384;measure;29.115;3.60964;1.22294e+10;
1;48;16384;16384;measure;28.4242;3.56685;1.22171e+10;
2;48;16384;16384;measure;56.8532;8.83085;0;
2;48;16384;16384;measure;54.3885;8.74445;0;
2;48;16384;16384;measure;56.7789;8.80832;0;
2;48;16384;16384;measure;54.371;8.65873;0;
2;48;16384;16384;measure;56.7586;8.79574;0;
4;48;16384;16384;measure;33.7175;6.91688;0;
4;48;16384;16384;measure;34.8663;6.98641;0;
4;48;16384;16384;measure;34.7625;6.96986;0;
4;48;16384;16384;measure;35.2935;7.06611;0;
4;48;16384;16384;measure;34.7161;7.03521;0;
8;48;16384;16384;measure;21.1986;3.89007;0;
8;48;16384;16384;measure;21.077;3.82765;0;
8;48;16384;16384;measure;21.1913;3.52714;0;
8;48;16384;16384;measure;21.0606;3.83309;0;
8;48;16384;16384;measure;21.2378;3.50359;0;
16;48;16384;16384;measure;17.0737;2.40204;0;
16;48;16384;16384;measure;16.992;2.21935;0;
16;48;16384;16384;measure;17.4433;2.3084;0;
16;48;16384;16384;measure;16.947;2.21591;0;
16;48;16384;16384;measure;17.0577;2.35852;0;


