n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;1;16384;16384;estimate;0.00336601;5.0222;
1;1;16384;16384;estimate;0.00343055;5.10182;
1;1;16384;16384;estimate;0.00340061;5.07142;
1;1;16384;16384;estimate;0.00341521;5.02348;
1;1;16384;16384;estimate;0.00330552;5.02484;
2;1;16384;16384;estimate;0.00370762;3.72129;
2;1;16384;16384;estimate;0.00371688;3.72817;
2;1;16384;16384;estimate;0.00368749;3.70739;
2;1;16384;16384;estimate;0.00368728;3.70642;
2;1;16384;16384;estimate;0.00377884;3.71833;
4;1;16384;16384;estimate;0.0304426;2.20238;
4;1;16384;16384;estimate;0.0936166;2.21534;
4;1;16384;16384;estimate;0.152752;2.22441;
4;1;16384;16384;estimate;0.0322491;2.20289;
4;1;16384;16384;estimate;0.0934288;2.20969;
8;1;16384;16384;estimate;0.0143895;1.19813;
8;1;16384;16384;estimate;0.0150308;1.20317;
8;1;16384;16384;estimate;0.00666954;1.19412;
8;1;16384;16384;estimate;0.0728005;1.19726;
8;1;16384;16384;estimate;0.0166389;1.19392;
16;1;16384;16384;estimate;0.0874778;1.11399;
16;1;16384;16384;estimate;0.0886585;0.674922;
16;1;16384;16384;estimate;0.0239346;0.869782;
16;1;16384;16384;estimate;0.0227184;0.938801;
16;1;16384;16384;estimate;0.139249;1.02793;
