n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;48;16384;16384;estimate;0.012924;11.8497;
1;48;16384;16384;estimate;0.0127236;13.8554;
1;48;16384;16384;estimate;0.0129074;11.8731;
1;48;16384;16384;estimate;0.0128472;13.8045;
1;48;16384;16384;estimate;0.0130745;11.8303;
2;48;16384;16384;estimate;0.0145767;10.1837;
2;48;16384;16384;estimate;0.0147274;9.87857;
2;48;16384;16384;estimate;0.0147712;9.79705;
2;48;16384;16384;estimate;0.0146229;9.95303;
2;48;16384;16384;estimate;0.0146357;9.80723;
4;48;16384;16384;estimate;0.110084;6.36965;
4;48;16384;16384;estimate;0.17005;6.03385;
4;48;16384;16384;estimate;0.10494;6.33807;
4;48;16384;16384;estimate;0.170413;6.30726;
4;48;16384;16384;estimate;0.0398828;6.32554;
8;48;16384;16384;estimate;0.0198983;3.60046;
8;48;16384;16384;estimate;0.0191379;3.62158;
8;48;16384;16384;estimate;0.0200667;3.82831;
8;48;16384;16384;estimate;0.0190786;3.63106;
8;48;16384;16384;estimate;0.0194894;3.73556;
16;48;16384;16384;estimate;0.0959489;2.53887;
16;48;16384;16384;estimate;0.0940451;2.35245;
16;48;16384;16384;estimate;0.0912965;2.60373;
16;48;16384;16384;estimate;0.0897945;2.50132;
16;48;16384;16384;estimate;0.0254077;2.60979;


