n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;48;16384;16384;measure;15.7115;3.47903;1.22462e+10;
1;48;16384;16384;measure;15.7352;3.60398;1.25827e+10;
1;48;16384;16384;measure;15.7348;3.57274;1.24978e+10;
1;48;16384;16384;measure;15.793;3.58653;1.22294e+10;
1;48;16384;16384;measure;15.697;3.63874;1.22839e+10;
2;48;16384;16384;measure;50.3612;5.23375;0;
2;48;16384;16384;measure;47.8306;5.22982;0;
2;48;16384;16384;measure;50.3308;5.35283;0;
2;48;16384;16384;measure;47.9949;5.24785;0;
2;48;16384;16384;measure;50.3059;5.24477;0;
4;48;16384;16384;measure;29.2051;4.09;0;
4;48;16384;16384;measure;27.5588;3.87396;0;
4;48;16384;16384;measure;28.7474;3.99258;0;
4;48;16384;16384;measure;29.2969;4.04376;0;
4;48;16384;16384;measure;28.8483;3.97251;0;
8;48;16384;16384;measure;14.7731;2.20341;0;
8;48;16384;16384;measure;14.6964;2.5457;0;
8;48;16384;16384;measure;14.7394;2.32285;0;
8;48;16384;16384;measure;14.6998;2.18554;0;
8;48;16384;16384;measure;14.7749;2.21645;0;
16;48;16384;16384;measure;10.2942;1.81359;0;
16;48;16384;16384;measure;10.4004;1.87936;0;
16;48;16384;16384;measure;10.3885;1.81149;0;
16;48;16384;16384;measure;10.4262;1.8973;0;
16;48;16384;16384;measure;10.3873;1.78624;0;


