n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
24;1;16384;16384;estimate;0.0053136;0.90611;
24;1;16384;16384;estimate;0.00553128;0.899662;
24;1;16384;16384;estimate;0.00547634;0.899934;
24;1;16384;16384;estimate;0.00556573;0.902904;
24;1;16384;16384;estimate;0.00528232;0.899352;
48;1;16384;16384;estimate;0.0157683;2.82028;
48;1;16384;16384;estimate;0.0143771;2.19794;
48;1;16384;16384;estimate;0.0223834;2.36857;
48;1;16384;16384;estimate;0.0147331;2.60585;
48;1;16384;16384;estimate;0.0128864;2.00418;
96;1;16384;16384;estimate;0.0368925;0.943125;
96;1;16384;16384;estimate;0.0502348;0.863505;
96;1;16384;16384;estimate;0.0314919;0.979134;
96;1;16384;16384;estimate;0.0355799;0.978913;
96;1;16384;16384;estimate;0.0387609;0.865518;
192;1;16384;16384;estimate;0.0232959;1.47527;
192;1;16384;16384;estimate;0.0241543;1.67725;
192;1;16384;16384;estimate;0.0100972;1.78681;
192;1;16384;16384;estimate;0.0129902;1.69358;
192;1;16384;16384;estimate;0.0107312;1.9929;
384;1;16384;16384;estimate;0.0422655;3.82942;
384;1;16384;16384;estimate;0.041962;3.15642;
384;1;16384;16384;estimate;0.0497976;3.18918;
384;1;16384;16384;estimate;0.0478696;3.5547;
384;1;16384;16384;estimate;0.0471416;4.00696;
