n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
48;1;32768;32768;measure;8.23561;2.29861;
48;1;32768;32768;measure;9.84805;3.6965;
48;1;32768;32768;measure;8.27794;2.27137;
48;1;32768;32768;measure;9.80273;3.55151;
48;1;32768;32768;measure;8.2267;2.31058;
96;1;32768;32768;measure;5.02064;6.46672;
96;1;32768;32768;measure;5.21978;6.42613;
96;1;32768;32768;measure;5.05714;6.02027;
96;1;32768;32768;measure;4.46112;6.06131;
96;1;32768;32768;measure;5.06655;4.64454;
192;1;32768;32768;measure;2.99359;9.41098;
192;1;32768;32768;measure;2.89677;4.76684;
192;1;32768;32768;measure;3.12704;4.98766;
192;1;32768;32768;measure;2.87917;7.2394;
192;1;32768;32768;measure;3.12992;4.91952;
384;1;32768;32768;measure;2.18808;8.51133;
384;1;32768;32768;measure;2.31217;8.63489;
384;1;32768;32768;measure;2.19906;8.92427;
384;1;32768;32768;measure;2.31451;8.99154;
384;1;32768;32768;measure;2.22245;8.98697;
768;1;32768;32768;measure;1.83312;18.4831;
768;1;32768;32768;measure;2.0272;17.7572;
768;1;32768;32768;measure;1.88085;21.8985;
768;1;32768;32768;measure;1.8688;19.6557;
768;1;32768;32768;measure;1.88759;18.2499;
