n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;16384;16384;measure;scatter;1.85989;1.52778;0.332078;0.0520851;0.0560965;0.000290266;0.0603527;0.043926;0.056242;0.00329312;0.0597922;
48;16384;16384;measure;scatter;1.81358;1.48517;0.328389;0.0531095;0.0559303;0.000282751;0.0602566;0.0476254;0.058695;0.00342914;0.0490607;
48;16384;16384;measure;scatter;1.79458;1.46805;0.326499;0.0496873;0.0565964;0.000310704;0.0603813;0.0503205;0.0564456;0.00338392;0.0493734;
48;16384;16384;measure;scatter;1.78587;1.46241;0.323436;0.0522142;0.0580806;0.000278292;0.0590476;0.0440775;0.0550478;0.00332144;0.0513682;
48;16384;16384;measure;scatter;1.7772;1.45642;0.320753;0.052412;0.0559678;0.000236143;0.0578595;0.0439301;0.0567134;0.0034487;0.0501855;
48;16384;16384;measure;scatter;7.8582;1.2199;6.63827;0.0411316;0.0413175;2.73555;0.0508343;0.0346848;0.0282464;3.66375;0.0427541;
48;16384;16384;measure;scatter;5.75205;1.14387;4.60815;0.0407893;0.0511871;2.4608;0.0433128;0.0317533;0.0280366;1.89308;0.05919;
48;16384;16384;measure;scatter;8.14486;1.15026;6.99457;0.0412826;0.0491245;1.93379;0.0518097;0.0377457;0.0278397;4.80253;0.0504472;
48;16384;16384;measure;scatter;6.11328;1.13849;4.97477;0.0409783;0.047039;1.80895;0.0447791;0.0341945;0.0287108;2.91848;0.0516463;
48;16384;16384;measure;scatter;7.10255;1.14818;5.95435;0.0416162;0.0335592;2.89929;0.0429576;0.0271901;0.0287303;2.83763;0.0433728;
48;16384;16384;measure;scatter;6.09668;1.01192;5.08474;0.0142612;0.0150208;1.09765;0.0723475;0.0164295;0.0161688;3.80663;0.0462245;
48;16384;16384;measure;scatter;5.08363;1.09723;3.98638;0.0130789;0.055928;1.87437;0.0755688;0.0148585;0.0169755;1.88507;0.0505316;
48;16384;16384;measure;scatter;6.43864;1.06443;5.37419;0.0157315;0.0593487;2.08227;0.0731207;0.0160632;0.0172961;3.06042;0.0499311;
48;16384;16384;measure;scatter;4.53663;1.05714;3.47946;0.016403;0.057015;1.45237;0.0717787;0.0165597;0.0261614;1.78651;0.0526638;
48;16384;16384;measure;scatter;6.36349;1.03445;5.32901;0.0159253;0.0539591;1.17606;0.0724168;0.0158759;0.0174959;3.92802;0.0492585;
48;16384;16384;measure;scatter;3.89592;0.917232;2.97864;0.0136165;0.0255026;1.51262;0.0961622;0.0274299;0.0291941;1.16259;0.111524;
48;16384;16384;measure;scatter;3.60609;0.937491;2.66857;0.0253201;0.0274791;1.20044;0.041803;0.0212054;0.0124128;1.30335;0.0365595;
48;16384;16384;measure;scatter;3.80244;0.930034;2.87237;0.0112043;0.0274364;1.20631;0.0382258;0.0439478;0.0179793;1.48672;0.0405443;
48;16384;16384;measure;scatter;5.0611;0.926638;4.13444;0.0338821;0.848362;0.374571;0.0961477;0.0393978;0.0243127;2.63325;0.0845138;
48;16384;16384;measure;scatter;3.29944;0.937434;2.36197;0.0342547;0.763037;0.0927936;0.179155;0.0120445;0.0138319;1.2331;0.0337586;
48;16384;16384;measure;scatter;3.58186;0.936917;2.64493;0.0304448;0.799438;0.389719;0.0334488;0.00554396;0.0116623;1.33022;0.0444499;
48;16384;16384;measure;scatter;3.49289;0.94268;2.55018;0.0376017;0.837819;0.333039;0.0337372;0.00539301;0.0119438;1.25635;0.0342944;
48;16384;16384;measure;scatter;3.61726;0.946824;2.67042;0.0271539;0.857351;0.338953;0.0996917;0.00571879;0.0105361;1.28446;0.0465524;
48;16384;16384;measure;scatter;3.39234;0.945171;2.44715;0.0266362;0.672444;0.484362;0.0356035;0.00506534;0.00977622;1.16437;0.0488847;
48;16384;16384;measure;scatter;3.56344;0.980297;2.58312;0.026382;0.841334;0.343043;0.0391855;0.00624584;0.0405422;1.19825;0.0881357;
