n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;16384;16384;measure;scatter;3.74497;2.55904;1.18589;0.097769;0.140684;0.000252186;0.297409;0.117862;0.184393;0.133085;0.214431;
48;16384;16384;measure;scatter;3.08955;2.54167;0.547852;0.0544065;0.0569606;0.000337455;0.170855;0.0416875;0.0551968;0.117784;0.0506245;
48;16384;16384;measure;scatter;3.78559;2.55792;1.22763;0.0986702;0.140676;0.00023312;0.305548;0.119771;0.221203;0.123253;0.218273;
48;16384;16384;measure;scatter;3.09572;2.57029;0.525408;0.0470023;0.057008;0.000280247;0.144092;0.0513877;0.0564528;0.118566;0.0506188;
48;16384;16384;measure;scatter;3.75029;2.57225;1.17798;0.0993551;0.139458;0.000236066;0.293702;0.116858;0.183668;0.123206;0.2215;
48;16384;16384;measure;scatter;3.43036;1.75581;1.67453;0.027437;0.0346104;0.454544;0.116344;0.0303337;0.0280397;0.937055;0.0461613;
48;16384;16384;measure;scatter;3.4182;1.70766;1.71052;0.0856345;0.0891016;0.37011;0.0925271;0.0366424;0.101631;0.785833;0.14904;
48;16384;16384;measure;scatter;3.40956;1.63599;1.77354;0.0623503;0.102996;0.40274;0.176412;0.0646742;0.128117;0.678611;0.157638;
48;16384;16384;measure;scatter;3.60346;1.77911;1.82433;0.0342719;0.0320689;0.513176;0.0801134;0.0298301;0.0280361;1.05758;0.0492554;
48;16384;16384;measure;scatter;3.07356;1.63408;1.43947;0.0853651;0.0992995;0.136104;0.158706;0.0455639;0.106107;0.629346;0.178977;
48;16384;16384;measure;scatter;2.25637;1.30209;0.954254;0.0140894;0.0394201;0.255372;0.0569006;0.012949;0.0379187;0.494846;0.0427587;
48;16384;16384;measure;scatter;2.46819;1.25444;1.21373;0.01374;0.0677131;0.245105;0.0609186;0.0149771;0.019252;0.744318;0.0477026;
48;16384;16384;measure;scatter;1.50092;0.996961;0.503911;0.012238;0.0152493;0.167642;0.0712538;0.0133845;0.0147172;0.163118;0.0463084;
48;16384;16384;measure;scatter;2.65219;1.15228;1.49989;0.0272041;0.0537765;0.486796;0.140469;0.0282018;0.0900523;0.523071;0.150317;
48;16384;16384;measure;scatter;2.20216;1.07756;1.12457;0.0136609;0.0865452;0.201582;0.0609523;0.0132081;0.0188021;0.681638;0.0481831;
48;16384;16384;measure;scatter;2.08271;1.06611;1.01658;0.0850416;0.0679526;0.120477;0.0839756;0.0180448;0.0755428;0.454439;0.111108;
48;16384;16384;measure;scatter;2.52188;1.06813;1.45373;0.0646007;0.0772783;0.397697;0.074746;0.0170932;0.073646;0.668842;0.0798226;
48;16384;16384;measure;scatter;2.72882;1.07365;1.65515;0.0421547;0.0716549;0.43844;0.0791368;0.0162744;0.0415613;0.88918;0.0767485;
48;16384;16384;measure;scatter;2.76982;1.05962;1.71019;0.0607818;0.0704326;0.434395;0.0784778;0.0181061;0.0404558;0.929798;0.0777388;
48;16384;16384;measure;scatter;2.16755;0.927518;1.24001;0.042277;0.0376167;0.376506;0.0850547;0.0545397;0.0535585;0.461879;0.128581;
48;16384;16384;measure;scatter;1.73507;0.904245;0.830792;0.0403736;0.0371058;0.288239;0.0187656;0.00643217;0.00444553;0.421168;0.0142623;
48;16384;16384;measure;scatter;1.58985;0.899282;0.690528;0.0393227;0.0377947;0.223946;0.0235352;0.00645389;0.00620779;0.338546;0.0147222;
48;16384;16384;measure;scatter;1.60442;0.904667;0.699721;0.0395041;0.0373624;0.150312;0.0231409;0.00857754;0.00474297;0.421415;0.0146664;
48;16384;16384;measure;scatter;1.78086;0.8969;0.883909;0.0395511;0.0402986;0.326102;0.0210533;0.00675384;0.00486529;0.429485;0.0158001;
48;16384;16384;measure;scatter;1.82496;0.886259;0.938664;0.00454931;0.0537252;0.377998;0.0178548;0.00521143;0.00933831;0.45025;0.0197364;
