n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
48;16384;16384;measure;scatter;3.64417;1.45067;2.1935;
48;16384;16384;measure;scatter;3.62729;1.45582;2.17147;
48;16384;16384;measure;scatter;3.6456;1.45139;2.19421;
48;16384;16384;measure;scatter;4.34406;1.46697;2.87708;
48;16384;16384;measure;scatter;3.63557;1.46119;2.17438;
48;16384;16384;measure;scatter;7.41083;1.14923;6.26159;
48;16384;16384;measure;scatter;7.66816;1.13956;6.5286;
48;16384;16384;measure;scatter;6.06156;1.14175;4.91981;
48;16384;16384;measure;scatter;6.85948;1.16272;5.69675;
48;16384;16384;measure;scatter;6.11191;1.14617;4.96574;
48;16384;16384;measure;scatter;3.97743;1.07488;2.90255;
48;16384;16384;measure;scatter;4.0712;1.05659;3.01461;
48;16384;16384;measure;scatter;5.3472;1.06273;4.28447;
48;16384;16384;measure;scatter;4.58083;0.989882;3.59095;
48;16384;16384;measure;scatter;5.33515;1.04074;4.29441;
48;16384;16384;measure;scatter;3.60089;1.04916;2.55173;
48;16384;16384;measure;scatter;3.86178;0.99522;2.86656;
48;16384;16384;measure;scatter;3.63063;1.08847;2.54216;
48;16384;16384;measure;scatter;3.56188;1.10217;2.45971;
48;16384;16384;measure;scatter;3.40136;1.06911;2.33225;
48;16384;16384;measure;scatter;3.6422;1.04349;2.59871;
48;16384;16384;measure;scatter;3.60466;1.46526;2.13939;
48;16384;16384;measure;scatter;3.50684;1.39123;2.11561;
48;16384;16384;measure;scatter;3.62589;1.01401;2.61189;
48;16384;16384;measure;scatter;3.73732;1.54612;2.1912;
