n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;48;16384;16384;measure;19.876;0.128172;1.22804e+10;
1;48;16384;16384;measure;15.3904;0.166491;1.23462e+10;
1;48;16384;16384;measure;16.2409;0.164691;1.23462e+10;
1;48;16384;16384;measure;19.3204;0.229376;1.2363e+10;
1;48;16384;16384;measure;18.5387;0.217584;1.2231e+10;
1;48;16384;16384;measure;22.4976;0.172875;1.2231e+10;
1;48;16384;16384;measure;23.6964;0.163498;1.22187e+10;
1;48;16384;16384;measure;20.2214;0.204056;1.2231e+10;
1;48;16384;16384;measure;23.4205;0.141317;1.23998e+10;
1;48;16384;16384;measure;21.9197;0.197328;1.2231e+10;
1;48;16384;16384;measure;22.5886;0.161649;1.23462e+10;
1;48;16384;16384;measure;28.6427;0.159125;1.23462e+10;
1;48;16384;16384;measure;20.7017;0.212898;1.23657e+10;
1;48;16384;16384;measure;22.961;0.176338;1.24172e+10;
1;48;16384;16384;measure;23.3879;0.191275;1.2231e+10;
1;48;16384;16384;measure;14.825;0.202294;1.2231e+10;
1;48;16384;16384;measure;17.7723;0.213349;1.23462e+10;
1;48;16384;16384;measure;18.8636;0.125737;1.22804e+10;
1;48;16384;16384;measure;19.1144;0.207596;1.23504e+10;
1;48;16384;16384;measure;17.6047;0.220157;1.2231e+10;
1;48;16384;16384;measure;18.0816;0.233519;1.24943e+10;
1;48;16384;16384;measure;17.9379;0.166085;1.24361e+10;
1;48;16384;16384;measure;15.6535;0.189518;1.23462e+10;
1;48;16384;16384;measure;15.8412;0.256733;1.22804e+10;
1;48;16384;16384;measure;15.2634;0.176332;1.24361e+10;
1;48;16384;16384;measure;20.522;0.233228;1.23462e+10;
1;48;16384;16384;measure;16.43;0.132045;1.2412e+10;
1;48;16384;16384;measure;14.8129;0.177234;1.23462e+10;
1;48;16384;16384;measure;18.5953;0.196675;1.23462e+10;
1;48;16384;16384;measure;20.3993;0.125868;1.22874e+10;
1;48;16384;16384;measure;19.4975;0.16953;1.23462e+10;
1;48;16384;16384;measure;20.7035;0.219267;1.2231e+10;
1;48;16384;16384;measure;15.2599;0.127465;1.16053e+10;
1;48;16384;16384;measure;19.724;0.134508;1.22971e+10;
1;48;16384;16384;measure;22.1373;0.12654;1.22804e+10;
1;48;16384;16384;measure;27.2108;0.217157;1.2431e+10;
1;48;16384;16384;measure;15.8984;0.127584;1.22804e+10;
1;48;16384;16384;measure;27.0338;0.248187;1.2231e+10;
1;48;16384;16384;measure;17.0996;0.22264;1.23462e+10;
1;48;16384;16384;measure;16.5631;0.187574;1.2238e+10;
1;48;16384;16384;measure;15.56;0.134869;1.2231e+10;
1;48;16384;16384;measure;24.9192;0.126858;1.22804e+10;
1;48;16384;16384;measure;16.441;0.215669;1.22187e+10;
1;48;16384;16384;measure;22.5527;0.184272;1.25108e+10;
1;48;16384;16384;measure;23.4859;0.516178;1.23158e+10;
1;48;16384;16384;measure;15.3125;0.228758;1.2231e+10;
1;48;16384;16384;measure;20.219;0.184401;1.2231e+10;
1;48;16384;16384;measure;15.7778;0.124578;1.22971e+10;
1;48;16384;16384;measure;22.9385;0.177082;1.2231e+10;
1;48;16384;16384;measure;24.0213;0.127939;1.22804e+10;
2;48;16384;16384;measure;48.3602;4.49809;0;
2;48;16384;16384;measure;48.4454;20.8477;0;
2;48;16384;16384;measure;52.2393;40.2001;0;
2;48;16384;16384;measure;46.5631;4.25443;0;
2;48;16384;16384;measure;46.3327;20.2183;0;
2;48;16384;16384;measure;54.819;9.28245;0;
2;48;16384;16384;measure;45.2265;3.91077;0;
2;48;16384;16384;measure;47.16;8.43834;0;
2;48;16384;16384;measure;50.828;26.9196;0;
2;48;16384;16384;measure;49.3753;3.61955;0;
2;48;16384;16384;measure;47.1406;17.7727;0;
2;48;16384;16384;measure;50.8578;18.1601;0;
2;48;16384;16384;measure;51.0801;3.74434;0;
2;48;16384;16384;measure;46.7887;19.7906;0;
2;48;16384;16384;measure;52.6409;3.83391;0;
2;48;16384;16384;measure;53.8967;28.1364;0;
2;48;16384;16384;measure;55.0535;16.7339;0;
2;48;16384;16384;measure;46.6905;18.55;0;
2;48;16384;16384;measure;52.9488;16.1836;0;
2;48;16384;16384;measure;62.085;9.84565;0;
2;48;16384;16384;measure;48.886;4.70738;0;
2;48;16384;16384;measure;50.6612;3.65785;0;
2;48;16384;16384;measure;44.3185;23.3865;0;
2;48;16384;16384;measure;51.3271;7.01952;0;
2;48;16384;16384;measure;45.7299;36.8994;0;
2;48;16384;16384;measure;45.5327;3.67872;0;
2;48;16384;16384;measure;51.7002;3.59402;0;
2;48;16384;16384;measure;50.242;3.59152;0;
2;48;16384;16384;measure;53.1874;16.1477;0;
2;48;16384;16384;measure;49.8305;13.9171;0;
2;48;16384;16384;measure;46.272;13.1747;0;
2;48;16384;16384;measure;48.2839;3.58324;0;
2;48;16384;16384;measure;53.4287;4.59907;0;
2;48;16384;16384;measure;49.3042;18.7966;0;
2;48;16384;16384;measure;45.9201;9.88497;0;
2;48;16384;16384;measure;51.2437;4.02026;0;
2;48;16384;16384;measure;47.8549;10.6288;0;
2;48;16384;16384;measure;46.9372;11.0752;0;
2;48;16384;16384;measure;51.3773;4.53201;0;
2;48;16384;16384;measure;49.1393;7.16392;0;
2;48;16384;16384;measure;46.3857;8.82099;0;
2;48;16384;16384;measure;49.6937;11.9871;0;
2;48;16384;16384;measure;54.7352;22.2389;0;
2;48;16384;16384;measure;52.6466;3.73752;0;
2;48;16384;16384;measure;49.0457;30.502;0;
2;48;16384;16384;measure;47.5025;26.1854;0;
2;48;16384;16384;measure;75.2731;4.53036;0;
2;48;16384;16384;measure;46.4225;3.62189;0;
2;48;16384;16384;measure;48.1308;37.1939;0;
2;48;16384;16384;measure;58.05;3.66699;0;
4;48;16384;16384;measure;34.3695;16.5904;0;
4;48;16384;16384;measure;34.3725;24.2034;0;
4;48;16384;16384;measure;40.5056;13.8572;0;
4;48;16384;16384;measure;30.8116;2.86409;0;
4;48;16384;16384;measure;30.7899;34.8773;0;
4;48;16384;16384;measure;35.319;2.72563;0;
4;48;16384;16384;measure;32.9008;4.91722;0;
