n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;48;16384;16384;measure;20.1945;0.260546;1.2334e+10;
1;48;16384;16384;measure;18.4584;0.187447;1.23627e+10;
1;48;16384;16384;measure;17.8472;0.392052;1.22804e+10;
1;48;16384;16384;measure;15.7722;0.22809;1.23652e+10;
1;48;16384;16384;measure;19.7695;0.192342;1.26614e+10;
1;48;16384;16384;measure;17.0884;0.140502;1.26144e+10;
1;48;16384;16384;measure;15.8356;0.39401;1.23228e+10;
1;48;16384;16384;measure;18.6992;0.258081;1.23019e+10;
1;48;16384;16384;measure;19.2284;0.223462;1.22675e+10;
1;48;16384;16384;measure;20.0084;0.260338;1.2334e+10;
1;48;16384;16384;measure;18.4175;0.201599;1.23513e+10;
1;48;16384;16384;measure;18.5017;0.24023;1.24172e+10;
1;48;16384;16384;measure;20.3313;0.259508;1.2334e+10;
1;48;16384;16384;measure;19.5105;0.395383;1.2351e+10;
1;48;16384;16384;measure;18.4024;0.198109;1.16053e+10;
1;48;16384;16384;measure;19.0492;0.327511;1.2533e+10;
1;48;16384;16384;measure;19.0763;0.222724;1.22187e+10;
1;48;16384;16384;measure;17.7363;0.224672;1.22687e+10;
1;48;16384;16384;measure;18.3987;0.214336;1.24178e+10;
1;48;16384;16384;measure;17.2334;0.236175;1.23343e+10;
1;48;16384;16384;measure;19.2985;0.269496;1.24172e+10;
1;48;16384;16384;measure;21.4447;0.192444;1.23365e+10;
1;48;16384;16384;measure;17.7649;0.143799;1.22971e+10;
1;48;16384;16384;measure;16.4377;0.225836;1.26632e+10;
1;48;16384;16384;measure;19.3951;0.253932;1.27299e+10;
1;48;16384;16384;measure;18.3539;0.174755;1.23513e+10;
1;48;16384;16384;measure;22.1688;0.282927;1.22187e+10;
1;48;16384;16384;measure;17.9624;0.376069;1.23349e+10;
1;48;16384;16384;measure;16.0707;0.517746;1.2334e+10;
1;48;16384;16384;measure;18.2931;0.188326;1.2334e+10;
1;48;16384;16384;measure;19.1525;0.141006;1.26302e+10;
1;48;16384;16384;measure;19.321;0.34657;1.26299e+10;
1;48;16384;16384;measure;20.2577;0.218415;1.23462e+10;
1;48;16384;16384;measure;24.437;0.206931;1.26157e+10;
1;48;16384;16384;measure;21.1933;0.25979;1.24987e+10;
1;48;16384;16384;measure;16.7885;0.515964;1.23499e+10;
1;48;16384;16384;measure;18.3867;0.187996;1.2597e+10;
1;48;16384;16384;measure;15.4434;0.421905;1.22478e+10;
1;48;16384;16384;measure;16.4224;0.398536;1.23998e+10;
1;48;16384;16384;measure;18.3523;0.163782;1.22681e+10;
1;48;16384;16384;measure;17.323;0.234047;1.22517e+10;
1;48;16384;16384;measure;20.3321;0.236411;1.23798e+10;
1;48;16384;16384;measure;20.2537;0.224428;1.26803e+10;
1;48;16384;16384;measure;19.0781;0.213961;1.22874e+10;
1;48;16384;16384;measure;18.9499;0.220371;1.22495e+10;
1;48;16384;16384;measure;18.2848;0.575413;1.23462e+10;
1;48;16384;16384;measure;17.7159;0.269578;1.23627e+10;
1;48;16384;16384;measure;19.9029;0.250197;1.2363e+10;
1;48;16384;16384;measure;18.175;0.277083;1.24178e+10;
1;48;16384;16384;measure;18.7158;0.190303;1.23833e+10;
2;48;16384;16384;measure;55.5095;5.06104;0;
2;48;16384;16384;measure;53.193;4.99226;0;
2;48;16384;16384;measure;54.9306;4.91474;0;
2;48;16384;16384;measure;50.083;5.05473;0;
2;48;16384;16384;measure;56.6505;5.56167;0;
2;48;16384;16384;measure;54.3538;6.47335;0;
2;48;16384;16384;measure;47.934;7.31243;0;
2;48;16384;16384;measure;58.3998;5.10796;0;
2;48;16384;16384;measure;53.6127;4.43076;0;
2;48;16384;16384;measure;57.4083;6.7175;0;
2;48;16384;16384;measure;52.6444;5.8055;0;
2;48;16384;16384;measure;49.8928;5.62457;0;
2;48;16384;16384;measure;54.7375;5.63145;0;
2;48;16384;16384;measure;57.7564;6.04823;0;
2;48;16384;16384;measure;55.4252;5.70636;0;
2;48;16384;16384;measure;53.7265;7.94763;0;
2;48;16384;16384;measure;53.5965;5.13389;0;
2;48;16384;16384;measure;52.3411;5.23303;0;
2;48;16384;16384;measure;58.8419;5.76227;0;
2;48;16384;16384;measure;54.9793;5.06964;0;
2;48;16384;16384;measure;54.2831;6.49224;0;
2;48;16384;16384;measure;50.9142;3.99194;0;
2;48;16384;16384;measure;54.9152;5.19601;0;
2;48;16384;16384;measure;54.4335;5.61633;0;
2;48;16384;16384;measure;52.8545;5.62389;0;
2;48;16384;16384;measure;56.3987;6.92727;0;
2;48;16384;16384;measure;54.4093;5.26387;0;
2;48;16384;16384;measure;55.9206;5.0506;0;
2;48;16384;16384;measure;55.348;5.4268;0;
2;48;16384;16384;measure;48.9287;4.28601;0;
2;48;16384;16384;measure;53.0736;6.54834;0;
2;48;16384;16384;measure;53.7245;5.61659;0;
2;48;16384;16384;measure;55.195;7.52393;0;
2;48;16384;16384;measure;54.5184;6.95865;0;
2;48;16384;16384;measure;56.0689;5.07142;0;
2;48;16384;16384;measure;54.1161;5.59604;0;
2;48;16384;16384;measure;54.6007;5.08577;0;
2;48;16384;16384;measure;54.2437;5.97214;0;
2;48;16384;16384;measure;55.9804;5.26955;0;
2;48;16384;16384;measure;55.1054;5.78185;0;
2;48;16384;16384;measure;53.6211;4.47382;0;
2;48;16384;16384;measure;56.0396;5.56098;0;
2;48;16384;16384;measure;54.5798;5.40541;0;
2;48;16384;16384;measure;55.6152;5.85767;0;
2;48;16384;16384;measure;58.3914;5.87094;0;
2;48;16384;16384;measure;55.8527;7.28454;0;
2;48;16384;16384;measure;60.656;5.96802;0;
2;48;16384;16384;measure;56.8972;5.28851;0;
