n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;16384;16384;measure;scatter;3.16748;2.65213;0.515324;0.0523299;0.0572059;0.000231295;0.122031;0.0409129;0.0566021;0.135326;0.0506844;
48;16384;16384;measure;scatter;3.13481;2.60817;0.526616;0.0523644;0.055479;0.00026643;0.122214;0.0545418;0.0573323;0.13367;0.0507487;
48;16384;16384;measure;scatter;3.14438;2.60532;0.539038;0.0528662;0.0570866;0.000237296;0.147706;0.0414518;0.056036;0.133058;0.0505962;
48;16384;16384;measure;scatter;3.13682;2.59449;0.542311;0.0527882;0.0574603;0.000257403;0.138394;0.0525789;0.0550591;0.135286;0.0504877;
48;16384;16384;measure;scatter;3.17823;2.62239;0.555818;0.0533248;0.0557024;0.000248066;0.153743;0.0514176;0.0564109;0.133728;0.0512427;
48;16384;16384;measure;scatter;3.09405;2.62252;0.471506;0.0513096;0.0577438;0.000270348;0.0659204;0.0538778;0.0576768;0.134032;0.050675;
48;16384;16384;measure;scatter;3.14854;2.62828;0.520234;0.0528025;0.0556507;0.000258857;0.119172;0.0511533;0.0556103;0.134299;0.051287;
48;16384;16384;measure;scatter;3.1815;2.60844;0.573038;0.0567201;0.0574159;0.000251934;0.161608;0.0543367;0.05605;0.133782;0.0528733;
48;16384;16384;measure;scatter;3.17627;2.61018;0.566073;0.0528452;0.0571643;0.000276479;0.154637;0.0594774;0.0558662;0.134266;0.05154;
48;16384;16384;measure;scatter;3.1378;2.60361;0.534169;0.0531641;0.057162;0.000208521;0.142361;0.0414304;0.0558367;0.133134;0.0508714;
48;16384;16384;measure;scatter;3.16853;2.62074;0.54777;0.0589271;0.0570534;0.000262723;0.140349;0.0488491;0.0554351;0.135367;0.051527;
48;16384;16384;measure;scatter;3.14696;2.60278;0.544155;0.0528508;0.0576201;0.00021834;0.150358;0.0415947;0.0564574;0.133194;0.0518614;
48;16384;16384;measure;scatter;3.18263;2.62671;0.555891;0.052682;0.0553585;0.000233138;0.15402;0.0527255;0.0553674;0.134662;0.0508421;
48;16384;16384;measure;scatter;3.09453;2.61544;0.479073;0.0613427;0.0569899;0.000257914;0.0669999;0.0523455;0.0559249;0.134239;0.0509735;
48;16384;16384;measure;scatter;3.15695;2.61717;0.539761;0.0626017;0.0569015;0.00026101;0.124316;0.0536348;0.0562624;0.134421;0.0513622;
48;16384;16384;measure;scatter;3.09241;2.62888;0.463503;0.0488867;0.0556767;0.000259929;0.0613305;0.0525612;0.0573471;0.136555;0.0508856;
48;16384;16384;measure;scatter;3.17852;2.62623;0.552257;0.052228;0.0579198;0.000259517;0.153833;0.0483714;0.0553303;0.134115;0.0501996;
48;16384;16384;measure;scatter;3.16795;2.63001;0.537912;0.0529195;0.0572929;0.0002502;0.137093;0.0506973;0.0545577;0.13358;0.0515219;
48;16384;16384;measure;scatter;3.15112;2.6149;0.536199;0.0566104;0.0555646;0.000220505;0.130932;0.0500393;0.0551913;0.13452;0.0531204;
48;16384;16384;measure;scatter;3.17718;2.63275;0.544409;0.0498221;0.0576542;0.000293321;0.137922;0.0508944;0.0562516;0.140081;0.0514911;
48;16384;16384;measure;scatter;3.19769;2.62818;0.56949;0.0551423;0.0571033;0.000264527;0.167679;0.0491803;0.0553292;0.133985;0.0508059;
48;16384;16384;measure;scatter;3.15609;2.61429;0.541783;0.0512256;0.0572052;0.0002716;0.151003;0.0418273;0.0546356;0.134822;0.0507922;
48;16384;16384;measure;scatter;3.1629;2.60862;0.554251;0.0528682;0.0571929;0.000248597;0.151352;0.0517935;0.0556342;0.133522;0.0516406;
48;16384;16384;measure;scatter;3.19664;2.63749;0.559118;0.0533199;0.0582602;0.000263565;0.135389;0.0536056;0.0741499;0.133668;0.0504628;
48;16384;16384;measure;scatter;3.16496;2.62296;0.541974;0.0601067;0.0561165;0.000242205;0.128625;0.0537193;0.0569787;0.134751;0.0514352;
48;16384;16384;measure;scatter;3.4788;2.62504;0.853729;0.0847884;0.102046;0.000263307;0.193589;0.0982301;0.113091;0.118059;0.143662;
