n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;16384;16384;measure;scatter;3.28065;2.78321;0.497413;0.0565017;0.0603465;0.000323448;0.0938442;0.0430444;0.0564502;0.134255;0.0526482;
48;16384;16384;measure;scatter;3.19926;2.73068;0.468555;0.0576459;0.0576649;0.000246183;0.0658605;0.0425742;0.0582073;0.133925;0.0524304;
48;16384;16384;measure;scatter;3.19262;2.69782;0.494781;0.0555195;0.0582608;0.000315082;0.0922279;0.0422726;0.0565774;0.134133;0.0554744;
48;16384;16384;measure;scatter;3.17219;2.69971;0.472458;0.053087;0.057683;0.000252414;0.064996;0.0502927;0.05842;0.133299;0.054428;
48;16384;16384;measure;scatter;3.18389;2.71077;0.473097;0.0526881;0.0592879;0.000288642;0.0639924;0.0523738;0.0578468;0.133675;0.0529453;
48;16384;16384;measure;scatter;3.16277;2.69857;0.464168;0.0564613;0.0588839;0.000269657;0.0651474;0.0417892;0.0574247;0.132875;0.0513169;
48;16384;16384;measure;scatter;3.17244;2.71044;0.461968;0.0541924;0.0588437;0.000286839;0.0646534;0.0420165;0.0565035;0.133474;0.0519969;
48;16384;16384;measure;scatter;3.16729;2.70498;0.46229;0.0533333;0.0586979;0.000251303;0.0640183;0.042448;0.0583067;0.132561;0.0526733;
48;16384;16384;measure;scatter;3.16541;2.70014;0.465247;0.0533048;0.0573466;0.000344647;0.0660151;0.0434924;0.0581151;0.132701;0.0539281;
48;16384;16384;measure;scatter;3.20276;2.70178;0.500955;0.0576144;0.0586443;0.00027688;0.0916687;0.050459;0.0574052;0.13317;0.0517166;
48;16384;16384;measure;scatter;3.16322;2.69877;0.464429;0.0479781;0.0590589;0.000270318;0.0650628;0.0477969;0.0578542;0.133642;0.0527658;
48;16384;16384;measure;scatter;3.1654;2.7009;0.464478;0.0564908;0.0572955;0.000254669;0.064594;0.0417139;0.0578699;0.133526;0.0527335;
48;16384;16384;measure;scatter;3.17541;2.71195;0.463434;0.0538811;0.0586488;0.000270729;0.0637944;0.0426053;0.0583063;0.133484;0.0524437;
48;16384;16384;measure;scatter;3.21824;2.70936;0.508855;0.0522842;0.059398;0.000262263;0.111507;0.0415348;0.05673;0.134668;0.0524706;
48;16384;16384;measure;scatter;3.15158;2.68625;0.465312;0.0545924;0.059138;0.000279365;0.0652862;0.0421378;0.0571412;0.133403;0.0533348;
48;16384;16384;measure;scatter;3.18508;2.69976;0.485299;0.0535903;0.058373;0.000278262;0.0881736;0.042395;0.0564419;0.133817;0.0522308;
48;16384;16384;measure;scatter;3.16807;2.70365;0.464394;0.0542591;0.056877;0.00019165;0.0657212;0.0415083;0.0582776;0.134282;0.0532775;
48;16384;16384;measure;scatter;3.15592;2.6942;0.461702;0.0544558;0.0586977;0.000249289;0.0653385;0.0413954;0.0574935;0.133001;0.0510706;
48;16384;16384;measure;scatter;3.18485;2.70028;0.484545;0.0533643;0.0573007;0.000281839;0.088096;0.0426432;0.0564679;0.135316;0.0510752;
48;16384;16384;measure;scatter;3.24424;2.70912;0.535093;0.0521623;0.0567196;0.00024441;0.140816;0.042048;0.0563099;0.134447;0.0523461;
48;16384;16384;measure;scatter;3.16728;2.70548;0.461771;0.0548574;0.0595339;0.000244629;0.0648098;0.0415028;0.0564638;0.13315;0.0512094;
48;16384;16384;measure;scatter;3.16371;2.69959;0.464094;0.0556935;0.0589242;0.000262833;0.0634375;0.042415;0.0582192;0.134622;0.0505193;
48;16384;16384;measure;scatter;3.15993;2.70016;0.459665;0.0535427;0.0569459;0.000265188;0.0633021;0.0420859;0.0565589;0.134291;0.0526734;
48;16384;16384;measure;scatter;3.19103;2.70341;0.487596;0.0529863;0.057309;0.000232497;0.0900803;0.042422;0.0576212;0.134372;0.0525733;
48;16384;16384;measure;scatter;3.15818;2.69905;0.459111;0.0533293;0.0560436;0.000277081;0.0649388;0.0423013;0.0560867;0.134064;0.0520695;
48;16384;16384;measure;scatter;3.16278;2.69989;0.462865;0.0546024;0.0572059;0.00027694;0.0626024;0.0428586;0.0579939;0.134712;0.0526127;
48;16384;16384;measure;scatter;3.16996;2.71208;0.457862;0.0530325;0.0566566;0.00026119;0.0652415;0.0415563;0.0564557;0.133076;0.0515816;
48;16384;16384;measure;scatter;3.1768;2.71498;0.461799;0.0547139;0.058727;0.000280266;0.0641529;0.0417116;0.0565783;0.133864;0.0517713;
48;16384;16384;measure;scatter;3.20294;2.703;0.499913;0.0534676;0.0575012;0.00026627;0.0901984;0.0549468;0.0570555;0.134012;0.0524661;
48;16384;16384;measure;scatter;3.183;2.72167;0.461304;0.0524296;0.0582681;0.000302989;0.0648368;0.0416869;0.0581502;0.133934;0.0516957;
48;16384;16384;measure;scatter;3.17771;2.71684;0.460839;0.0527397;0.0588243;0.00026069;0.0643965;0.0416809;0.0575725;0.133397;0.051968;
48;16384;16384;measure;scatter;3.1751;2.7069;0.468171;0.0534741;0.0582061;0.000296918;0.0660419;0.0460673;0.0577399;0.133402;0.0529435;
48;16384;16384;measure;scatter;3.25687;2.73995;0.516898;0.0517195;0.0581998;0.000277311;0.114041;0.0501702;0.0575973;0.134173;0.0507196;
48;16384;16384;measure;scatter;3.18148;2.7101;0.471358;0.0527551;0.0581466;0.000275387;0.0660083;0.0503819;0.0581491;0.133721;0.0519208;
48;16384;16384;measure;scatter;3.1886;2.73174;0.456841;0.0526101;0.0565923;0.000269096;0.0635983;0.0424779;0.0560501;0.133359;0.0518841;
48;16384;16384;measure;scatter;3.17358;2.71331;0.460242;0.0527426;0.0579656;0.000294814;0.065109;0.0412077;0.0582939;0.133713;0.0509159;
48;16384;16384;measure;scatter;3.21206;2.701;0.511027;0.0553324;0.0572834;0.000254808;0.114922;0.04227;0.0553966;0.133682;0.0518851;
48;16384;16384;measure;scatter;3.19398;2.72994;0.464016;0.0557444;0.0585111;0.000202691;0.0643936;0.0417458;0.0563644;0.134316;0.0527383;
48;16384;16384;measure;scatter;3.20616;2.69967;0.506465;0.0513897;0.0568532;0.000293401;0.0984475;0.0554762;0.0582713;0.133438;0.0522961;
48;16384;16384;measure;scatter;3.16326;2.70499;0.458244;0.052715;0.0566229;0.000313509;0.0658688;0.040896;0.056187;0.133923;0.0517177;
48;16384;16384;measure;scatter;3.1966;2.70742;0.489161;0.0524389;0.058691;0.000279816;0.063502;0.0508739;0.0582095;0.133724;0.0714411;
48;16384;16384;measure;scatter;3.21725;2.69453;0.522697;0.0590947;0.0567118;0.00026614;0.119504;0.0436835;0.0561564;0.134755;0.0525247;
48;16384;16384;measure;scatter;3.20409;2.71499;0.489072;0.0524099;0.0583564;0.000278554;0.0917608;0.0421514;0.0581542;0.133927;0.0520341;
48;16384;16384;measure;scatter;3.16091;2.70071;0.46018;0.0533606;0.0575732;0.000206278;0.0634387;0.041774;0.0563035;0.136577;0.0509466;
48;16384;16384;measure;scatter;3.18318;2.70842;0.474741;0.0523066;0.0581482;0.000298792;0.0645016;0.0544216;0.0566436;0.135489;0.0529313;
48;16384;16384;measure;scatter;3.15854;2.69845;0.460067;0.0518427;0.0585293;0.000272572;0.0643598;0.0421023;0.0580397;0.133336;0.0515839;
48;16384;16384;measure;scatter;3.14365;2.67807;0.465558;0.0530421;0.0584256;0.000290977;0.0646968;0.0453783;0.0575114;0.133733;0.0524802;
48;16384;16384;measure;scatter;3.15796;2.69836;0.459571;0.0531545;0.0580996;0.000283894;0.0637484;0.0418358;0.0566715;0.133447;0.0523306;
48;16384;16384;measure;scatter;3.15795;2.68768;0.470251;0.0554729;0.058487;0.00027093;0.0657692;0.0454889;0.0577756;0.13502;0.0519668;
48;16384;16384;measure;scatter;3.13766;2.67558;0.462051;0.0532564;0.0570105;0.000254338;0.0641523;0.0422442;0.0588452;0.134511;0.0517777;
48;16384;16384;measure;scatter;3.63558;1.58612;2.04944;0.0399818;0.0359411;0.710492;0.0482682;0.0315269;0.0842994;1.04341;0.0555205;
48;16384;16384;measure;scatter;3.63895;1.56132;2.0776;0.0306942;0.041477;0.675;0.0438119;0.0257693;0.069267;1.13624;0.0553431;
48;16384;16384;measure;scatter;3.47412;1.57752;1.89658;0.027513;0.0311737;0.646017;0.0564281;0.0256486;0.0756226;0.981954;0.052223;
48;16384;16384;measure;scatter;3.66019;1.59016;2.06999;0.0313799;0.0353916;0.683576;0.0512463;0.030228;0.0702577;1.1152;0.0527089;
48;16384;16384;measure;scatter;3.76372;1.57924;2.18446;0.0323012;0.0309313;0.860143;0.0461774;0.0270138;0.0748909;1.0125;0.100502;
48;16384;16384;measure;scatter;3.83543;1.59465;2.24076;0.028309;0.0313462;0.959307;0.0487845;0.0262112;0.0802371;0.954332;0.11223;
48;16384;16384;measure;scatter;3.43699;1.59709;1.83988;0.0311966;0.0306333;0.673744;0.0492595;0.0267613;0.0783461;0.89583;0.054109;
48;16384;16384;measure;scatter;3.56005;1.58098;1.97906;0.0280997;0.031657;0.688276;0.0504798;0.0313602;0.0804398;1.01732;0.0514294;
48;16384;16384;measure;scatter;3.46872;1.59109;1.87761;0.0352791;0.031209;0.620225;0.0460707;0.0260077;0.0664263;0.999301;0.0530891;
48;16384;16384;measure;scatter;3.72223;1.60767;2.11453;0.0378571;0.0360667;0.74855;0.0451381;0.0275341;0.0644025;1.04622;0.108758;
48;16384;16384;measure;scatter;3.53159;1.59398;1.93759;0.0298489;0.031332;0.590051;0.0453849;0.0277926;0.0708745;1.08023;0.0620748;
48;16384;16384;measure;scatter;3.52101;1.60218;1.9188;0.0274536;0.0308796;0.646902;0.0496258;0.0264281;0.0708887;1.01579;0.0508323;
48;16384;16384;measure;scatter;3.57049;1.5928;1.97767;0.0287861;0.0310745;0.630957;0.0450983;0.0314033;0.0661694;1.05595;0.0882346;
48;16384;16384;measure;scatter;3.53175;1.63402;1.8977;0.0411993;0.034105;0.598371;0.0473807;0.0268051;0.0813364;1.01434;0.0541708;
48;16384;16384;measure;scatter;3.77686;1.58683;2.19;0.0394674;0.0362601;0.827816;0.0498586;0.0345998;0.0757226;1.01396;0.112318;
48;16384;16384;measure;scatter;3.55192;1.60698;1.94492;0.0281055;0.0358874;0.638115;0.046278;0.0267281;0.0593844;1.05884;0.0515723;
48;16384;16384;measure;scatter;3.43507;1.59025;1.8448;0.0432416;0.0351323;0.588928;0.0507986;0.0261714;0.0674159;0.978983;0.0541321;
48;16384;16384;measure;scatter;3.58884;1.58599;2.00283;0.0285676;0.0356513;0.702039;0.0557982;0.0263276;0.0889899;1.01053;0.0549171;
48;16384;16384;measure;scatter;3.47906;1.57549;1.90355;0.034932;0.0310363;0.664992;0.047559;0.0312584;0.0651368;0.973363;0.0552679;
48;16384;16384;measure;scatter;3.18143;1.62882;1.55259;0.0353073;0.162431;0.295121;0.0453443;0.0334103;0.0791246;0.843951;0.0579033;
48;16384;16384;measure;scatter;3.50208;1.57894;1.92311;0.0320591;0.0313099;0.678399;0.0511522;0.0311306;0.0798933;0.967266;0.0519014;
48;16384;16384;measure;scatter;3.50671;1.58464;1.92204;0.0410521;0.0439413;0.586676;0.047971;0.0260736;0.0730263;1.049;0.0542968;
48;16384;16384;measure;scatter;3.44402;1.5968;1.84719;0.0312467;0.0357641;0.577417;0.0492449;0.0269871;0.0777318;0.996687;0.052112;
48;16384;16384;measure;scatter;3.4975;1.59755;1.89993;0.0292274;0.0313191;0.605507;0.0448981;0.0358358;0.0810237;1.01891;0.0532048;
48;16384;16384;measure;scatter;3.53766;1.5883;1.94933;0.0360547;0.0338022;0.599084;0.043819;0.0309277;0.0860299;1.05808;0.0615337;
48;16384;16384;measure;scatter;3.50196;1.57525;1.92668;0.0360551;0.0342649;0.610321;0.0444985;0.0258305;0.0626648;1.05762;0.0554304;
48;16384;16384;measure;scatter;3.47122;1.57907;1.89213;0.0279968;0.0314604;0.710252;0.0486331;0.0276774;0.0749539;0.919811;0.051345;
